name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"9,599,000,000","29,068,000,000","26,206,000,000","22,343,000,000","22,174,000,000","18,463,000,000","15,713,000,000","13,596,000,000","9,795,000,000","9,740,000,000","8,051,000,000","6,991,000,000","7,155,000,000","6,968,000,000","6,273,000,000","5,625,000,000","4,238,000,000","5,877,000,000","6,526,000,000","4,083,000,000","3,923,000,000","3,003,000,000","2,423,000,000","1,844,000,000","1,521,000,000","1,189,000,000","1,071,000,000","683,000,000","562,259,000","434,275,000","326,257,000","278,800,000","189,000,000","126,900,000","57,500,000","41,100,000"
	CashFlowFromContinuingOperatingActivities,"9,599,000,000","29,068,000,000","26,206,000,000","22,343,000,000","22,174,000,000","18,463,000,000","15,713,000,000","13,596,000,000","9,795,000,000","9,740,000,000","8,051,000,000","6,991,000,000","7,155,000,000","6,968,000,000","6,273,000,000","5,625,000,000","4,238,000,000","5,877,000,000","6,526,000,000","4,083,000,000","3,923,000,000","3,003,000,000","2,423,000,000","1,844,000,000","1,521,000,000","1,189,000,000","1,071,000,000","683,000,000","562,259,000","434,275,000","326,257,000","278,800,000","189,000,000","126,900,000","57,500,000","41,100,000"
		NetIncomeFromContinuingOperations,"14,913,000,000","23,144,000,000","20,639,000,000","17,732,000,000","15,769,000,000","14,239,000,000","12,382,000,000","10,823,000,000","7,073,000,000","5,868,000,000","5,619,000,000","5,673,000,000","5,526,000,000","5,142,000,000","4,634,000,000","3,822,000,000","2,977,000,000","4,654,000,000","4,159,000,000","3,083,000,000","2,411,000,000","1,825,000,000","1,352,000,000","913,000,000","736,000,000","568,000,000","-166,000,000","460,000,000","355,637,000","427,101,000","-1,089,000,000","194,600,000","114,200,000","74,800,000","33,900,000","13,700,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,000,000",,,,
		DepreciationAmortizationDepletion,"3,998,000,000","3,972,000,000","3,400,000,000","3,103,000,000","2,891,000,000","2,720,000,000","2,428,000,000","2,245,000,000","2,055,000,000","1,693,000,000","1,478,000,000","1,375,000,000","1,309,000,000","1,124,000,000","1,064,000,000","991,000,000","981,000,000","796,000,000","670,000,000","453,000,000","374,000,000","299,000,000","255,000,000","265,000,000","247,000,000","233,000,000","185,000,000","146,000,000","133,166,000","94,458,000","64,079,000","-50,300,000","-31,100,000","-14,300,000","-10,600,000","-7,800,000"
			DepreciationAndAmortization,"3,998,000,000","3,972,000,000","3,400,000,000","3,103,000,000","2,891,000,000","2,720,000,000","2,428,000,000","2,245,000,000","2,055,000,000","1,693,000,000","1,478,000,000","1,375,000,000","1,309,000,000","1,124,000,000","1,064,000,000","991,000,000","981,000,000","796,000,000","670,000,000","453,000,000","374,000,000","299,000,000","255,000,000","265,000,000","247,000,000","233,000,000","185,000,000","146,000,000","133,166,000","94,458,000","64,079,000","-50,300,000","-31,100,000","-14,300,000","-10,600,000","-7,800,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,079,000","-50,300,000","-31,100,000","-14,300,000","-10,600,000","-7,800,000"
		DeferredTax,"-121,000,000","-245,000,000","-673,000,000","130,000,000","-8,000,000","230,000,000","42,000,000","-965,000,000","81,000,000","-73,000,000","-117,000,000","1,000,000","308,000,000","59,000,000","45,000,000","-16,000,000","-166,000,000","86,000,000","-96,000,000","-171,000,000","-232,000,000","91,000,000","154,000,000","40,000,000","73,000,000","35,000,000","-184,000,000","91,000,000",,,,"-7,300,000","3,500,000","800,000","700,000","2,200,000"
			DeferredIncomeTax,"-121,000,000","-245,000,000","-673,000,000","130,000,000","-8,000,000","230,000,000","42,000,000","-965,000,000","81,000,000","-73,000,000","-117,000,000","1,000,000","308,000,000","59,000,000","45,000,000","-16,000,000","-166,000,000","86,000,000","-96,000,000","-171,000,000","-232,000,000","91,000,000","154,000,000","40,000,000","73,000,000","35,000,000","-184,000,000","91,000,000",,,,"-7,300,000","3,500,000","800,000","700,000","2,200,000"
		StockBasedCompensation,"1,049,000,000","1,059,000,000","925,000,000","800,000,000","679,000,000","697,000,000","638,000,000","597,000,000","485,000,000","406,000,000","364,000,000","331,000,000","421,000,000","401,000,000","326,000,000","334,000,000","305,000,000","505,000,000","404,000,000","306,000,000","244,000,000",,,,,,,,,,,,,,,
