name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"381,255,000,000","367,533,000,000","322,132,000,000","285,273,000,000","255,639,000,000","240,269,000,000","224,871,000,000","200,136,000,000","184,012,000,000","156,397,000,000","129,695,000,000","121,744,000,000","109,938,000,000","101,208,000,000","93,546,000,000","86,546,000,000","80,415,000,000","74,287,000,000","70,671,000,000","45,920,000,000","37,804,000,000","29,696,000,000","24,800,000,000","23,173,000,000","21,122,000,000","19,562,000,000","17,355,000,000","11,794,000,000","10,073,790,000","5,670,878,000","3,768,882,000","2,527,300,000","1,441,800,000","847,100,000","605,500,000","412,000,000","433,900,000","435,400,000","212,900,000","101,200,000"
	OperatingRevenue,"381,255,000,000","367,533,000,000","322,132,000,000","285,273,000,000","255,639,000,000","240,269,000,000","224,871,000,000","200,136,000,000","184,012,000,000","156,397,000,000","129,695,000,000","121,744,000,000","109,938,000,000","101,208,000,000","93,546,000,000","86,546,000,000","80,415,000,000","74,287,000,000","70,671,000,000","45,920,000,000","37,804,000,000","29,696,000,000","24,800,000,000","23,173,000,000","21,149,000,000","19,562,000,000","17,355,000,000","11,794,000,000","10,073,790,000","5,670,878,000","3,768,900,000","2,527,300,000","1,441,800,000","847,100,000","605,500,000","412,000,000","433,900,000","435,400,000","212,900,000","101,200,000"
CostOfRevenue,"294,987,000,000","280,664,000,000","244,545,000,000","217,945,000,000","190,141,000,000","184,557,000,000","172,401,000,000","154,148,000,000","141,454,000,000","120,081,000,000","97,459,000,000","92,550,000,000","82,749,000,000","76,717,000,000","70,957,000,000","67,054,000,000","61,839,000,000","56,203,000,000","53,907,000,000","33,758,000,000","27,912,000,000","20,714,000,000","18,192,000,000","17,644,000,000","16,155,000,000","15,043,000,000","13,523,000,000","8,542,000,000","7,179,679,000","3,930,933,000","2,643,107,000","1,762,600,000","959,200,000","533,700,000","383,700,000","243,600,000","304,700,000","298,500,000","123,100,000","52,200,000"
GrossProfit,"86,268,000,000","86,869,000,000","77,587,000,000","67,328,000,000","65,498,000,000","55,712,000,000","52,470,000,000","45,988,000,000","42,558,000,000","36,316,000,000","32,236,000,000","29,194,000,000","27,189,000,000","24,491,000,000","22,589,000,000","19,492,000,000","18,576,000,000","18,084,000,000","16,764,000,000","12,162,000,000","9,892,000,000","7,852,000,000","6,608,000,000","5,529,000,000","4,967,000,000","4,519,000,000","3,832,000,000","3,252,000,000","2,894,111,000","1,739,945,000","1,125,775,000","764,700,000","482,600,000","313,400,000","221,800,000","168,400,000","129,200,000","136,900,000","89,800,000","49,000,000"
OperatingExpense,"58,431,000,000","58,600,000,000","51,182,000,000","45,682,000,000","44,595,000,000","37,913,000,000","36,502,000,000","31,802,000,000","30,456,000,000","26,005,000,000","22,741,000,000","20,316,000,000","18,615,000,000","16,681,000,000","15,334,000,000","13,725,000,000","14,084,000,000","11,379,000,000","10,651,000,000","7,587,000,000","6,447,000,000","5,174,000,000","4,642,000,000","4,244,000,000","3,767,000,000","-18,619,000,000","3,149,000,000","2,510,000,000","2,282,733,000","1,125,364,000","583,788,000","458,800,000","304,900,000","198,300,000","166,500,000","142,500,000","136,900,000","157,600,000","81,500,000","44,900,000"
	SellingGeneralAndAdministration,,,,,,,,,,,,,,"15,557,000,000","14,270,000,000","12,734,000,000","13,103,000,000","10,583,000,000","9,981,000,000","7,134,000,000","6,073,000,000","4,875,000,000",,"3,979,000,000",,"3,343,000,000","2,964,000,000","2,364,000,000","2,164,535,000","1,030,906,000","555,649,000","408,500,000","273,800,000","184,000,000","155,900,000","134,700,000","128,600,000","149,800,000","78,000,000","43,300,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,998,000,000","3,972,000,000","3,400,000,000","3,103,000,000","2,891,000,000","2,720,000,000","2,428,000,000","2,245,000,000","2,055,000,000","1,693,000,000","1,478,000,000","1,375,000,000","1,309,000,000","1,124,000,000","1,064,000,000","991,000,000","981,000,000","796,000,000","670,000,000","453,000,000","374,000,000","299,000,000","255,000,000","265,000,000","247,000,000","233,000,000","185,000,000","146,000,000","133,166,000","94,458,000","64,079,000","50,300,000","31,100,000","14,300,000","10,600,000","7,800,000","8,300,000","7,800,000","3,500,000","1,600,000"
		DepreciationAndAmortizationInIncomeStatement,"3,998,000,000","3,972,000,000","3,400,000,000","3,103,000,000","2,891,000,000","2,720,000,000","2,428,000,000","2,245,000,000","2,055,000,000","1,693,000,000","1,478,000,000","1,375,000,000","1,309,000,000","1,124,000,000","1,064,000,000","991,000,000","981,000,000","796,000,000","670,000,000","453,000,000","374,000,000","299,000,000","255,000,000","265,000,000","247,000,000","233,000,000","185,000,000","146,000,000","133,166,000","94,458,000","64,079,000","50,300,000","31,100,000","14,300,000","10,600,000","7,800,000","8,300,000","7,800,000","3,500,000","1,600,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,079,000","50,300,000","31,100,000","14,300,000","10,600,000","7,800,000","8,300,000","7,800,000","3,500,000","1,600,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,"-67,582,000,000",,,,,"-22,834,000,000","-21,888,000,000","-19,922,000,000","-18,619,000,000","-16,672,000,000","-11,052,000,000","-9,477,380,000","-5,056,297,000",,,,,,,,,,
	OtherOperatingExpenses,"54,433,000,000","54,628,000,000","47,782,000,000","42,579,000,000","41,704,000,000","35,193,000,000","34,074,000,000","29,557,000,000","28,401,000,000","24,312,000,000","21,263,000,000","18,941,000,000","17,306,000,000","15,557,000,000","14,270,000,000",,,"78,165,000,000",,,"5,743,000,000",,"4,387,000,000","21,888,000,000","23,442,000,000","18,619,000,000","16,672,000,000","11,052,000,000","9,462,412,000","5,056,297,000","-35,940,000",,,,,,,,,
OperatingIncome,"27,837,000,000","28,269,000,000","26,405,000,000","21,646,000,000","20,903,000,000","17,799,000,000","15,968,000,000","14,186,000,000","12,102,000,000","10,311,000,000","9,495,000,000","8,878,000,000","8,574,000,000","7,810,000,000","7,255,000,000","5,767,000,000","4,492,000,000","6,705,000,000","6,113,000,000","4,575,000,000","3,445,000,000","29,696,000,000","1,966,000,000","1,285,000,000","1,200,000,000","38,181,000,000","683,000,000","742,000,000","611,378,000","614,581,000","541,987,000","305,900,000","177,700,000","115,100,000","55,300,000","25,900,000","-7,700,000","-20,700,000","8,300,000","4,100,000"
NetNonOperatingInterestIncomeExpense,"-3,493,000,000","-3,246,000,000","-2,092,000,000","-1,660,000,000","-1,663,000,000","-1,704,000,000","-1,400,000,000","-1,186,000,000","-1,067,000,000","-790,000,000","-618,000,000","-708,000,000","-632,000,000","-505,000,000","-481,000,000","-551,000,000","-639,000,000","-544,000,000","-456,000,000","-241,000,000","-128,000,000","-95,000,000","-90,000,000","-94,000,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"3,493,000,000","3,246,000,000","2,092,000,000","1,660,000,000","1,663,000,000","1,704,000,000","1,400,000,000","1,186,000,000","1,067,000,000","790,000,000","618,000,000","708,000,000","632,000,000","505,000,000","481,000,000","551,000,000","639,000,000","544,000,000","456,000,000","241,000,000","128,000,000","95,000,000","90,000,000","94,000,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-4,127,000,000","4,089,000,000","2,030,000,000","2,324,000,000","1,502,000,000","1,886,000,000","1,376,000,000","1,023,000,000","828,000,000","710,000,000","779,000,000","745,000,000","680,000,000","654,000,000","609,000,000","592,000,000","771,000,000","1,144,000,000","871,000,000","505,000,000","413,000,000","257,000,000","220,000,000","281,000,000","27,000,000",,"-725,000,000",,"-29,936,000","-153,796,000","-71,880,000","100,000",,,,,"-21,700,000","4,700,000","5,600,000","1,300,000"
	GainOnSaleOfSecurity,"4,184,000,000","4,089,000,000","2,030,000,000","2,324,000,000","1,502,000,000","1,886,000,000","1,376,000,000","1,023,000,000","828,000,000","710,000,000","779,000,000","745,000,000","680,000,000","654,000,000","609,000,000","592,000,000","771,000,000","1,144,000,000","871,000,000","505,000,000","413,000,000","257,000,000","220,000,000","281,000,000","27,000,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,"0",,,,,"0","0",,"0","-725,000,000","0","-29,936,000","-153,796,000","-71,880,000","100,000",,,,,"-21,700,000","4,700,000","5,600,000","1,300,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,"725,000,000","0","14,968,000","153,796,000","35,940,000",,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,968,000",,"35,940,000",,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,
