name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011
OperatingCashFlow,"996,757,000","911,339,000","780,470,000","764,463,000","551,246,000","437,375,000","310,827,000","233,438,000","144,011,000","80,154,000","67,574,000","41,753,000","30,799,000","4,736,000","4,903,000"
	CashFlowFromContinuingOperatingActivities,"996,757,000","911,339,000","780,470,000","764,463,000","551,246,000","437,375,000","310,827,000","233,438,000","144,011,000","80,154,000","67,574,000","41,753,000","30,799,000","4,736,000","4,903,000"
		NetIncomeFromContinuingOperations,"615,261,000","525,705,000","487,706,000","427,390,000","379,998,000","301,118,000","229,832,000","151,177,000","77,572,000","54,460,000","40,383,000","23,615,000","18,783,000","4,230,000","3,909,000"
		OperatingGainsLosses,"218,000","-222,000","971,000","-782,000","-365,000","-120,000","-177,000","265,000",,,,,,,
			GainLossOnSaleOfPPE,,,,,"10,347,000","7,966,000","0","0",,,,,,,
			NetForeignCurrencyExchangeGainLoss,"218,000","-222,000","971,000","-782,000","-365,000","-120,000","-177,000","265,000","0","0",,,,,
			GainLossOnInvestmentSecurities,,,,,"-365,000","-120,000","-177,000","265,000",,,,,,,
		DepreciationAmortizationDepletion,"36,511,000","32,628,000","29,122,000","27,448,000","29,455,000","19,859,000","14,071,000","14,277,000","13,825,000","8,464,000","3,929,000","2,410,000","789,000","407,000","219,000"
			DepreciationAndAmortization,"36,511,000","32,628,000","29,122,000","27,448,000","29,455,000","19,859,000","14,071,000","14,277,000","13,825,000","8,464,000","3,929,000","2,410,000","789,000","407,000","219,000"
		DeferredTax,"-118,448,000","-105,374,000","-127,502,000","11,079,000","-1,048,000","-6,663,000","-8,091,000","1,209,000","-1,120,000","-6,264,000","-4,268,000","-1,781,000","-639,000","530,000","-619,000"
			DeferredIncomeTax,"-118,448,000","-105,374,000","-127,502,000","11,079,000","-1,048,000","-6,663,000","-8,091,000","1,209,000","-1,120,000","-6,264,000","-4,268,000","-1,781,000","-639,000","530,000","-619,000"
		AmortizationOfSecurities,"-29,986,000","-26,515,000","-3,624,000","6,264,000","3,134,000","-3,274,000","-2,431,000","1,389,000","1,852,000","2,804,000","2,176,000","364,000","101,000","0","0"
		AssetImpairmentCharge,"431,000","693,000","256,000","272,000","-307,000","244,000","198,000","-242,000","130,000","201,000","227,000","35,000","540,000","300,000","0"
		StockBasedCompensation,"404,406,000","393,733,000","351,907,000","234,636,000","185,001,000","115,906,000","76,425,000","54,049,000","40,798,000","24,258,000","14,325,000","6,950,000","715,000","434,000","169,000"
		OtherNonCashItems,"27,701,000","29,868,000","34,294,000","37,495,000","31,024,000","28,487,000","18,378,000","16,647,000","14,187,000",,,,,,
		ChangeInWorkingCapital,"60,663,000","60,823,000","7,340,000","20,661,000","-75,646,000","-18,182,000","-17,378,000","-5,333,000","-3,233,000","-3,769,000","10,802,000","10,160,000","10,510,000","-1,165,000","1,225,000"
			ChangeInReceivables,"12,025,000","-104,001,000","-91,085,000","-83,080,000","-188,454,000","-70,086,000","-83,769,000","-52,128,000","-39,673,000","-46,653,000","-34,455,000","-19,738,000","-17,067,000","-12,838,000","-5,468,000"
				ChangesInAccountReceivables,"13,916,000","-149,810,000","-72,177,000","-67,020,000","-174,067,000","-55,531,000","-78,995,000","-47,799,000","-36,647,000","-46,653,000","-34,455,000","-19,738,000","-17,067,000","-12,838,000","-5,468,000"
			ChangeInPrepaidAssets,"-4,487,000","414,000","-47,399,000","-2,910,000","-12,424,000","-2,700,000","-10,562,000","-2,493,000","831,000","180,000","-4,652,000","-2,951,000",,,
			ChangeInPayablesAndAccruedExpense,"-48,791,000","-7,563,000","27,890,000","11,717,000","11,620,000","-11,286,000","3,422,000","6,025,000","2,360,000","1,554,000","3,862,000","3,603,000","6,867,000","4,212,000","945,000"
				ChangeInPayable,"-40,154,000","-3,314,000","18,614,000","2,278,000","-2,269,000","3,944,000","2,459,000","-1,124,000","2,024,000","-3,488,000","4,616,000","-6,087,000","6,871,000","-572,000","366,000"
					ChangeInTaxPayable,"-18,527,000","6,916,000","-2,815,000","5,275,000","-3,023,000","1,131,000","637,000","-2,520,000","911,000","-2,994,000","3,326,000","-4,784,000","5,124,000","-988,000","-64,000"
						ChangeInIncomeTaxPayable,"-18,527,000","6,916,000","-2,815,000","5,275,000","-3,023,000","1,131,000","637,000","-2,520,000","911,000","-2,994,000","3,326,000","-4,784,000","5,124,000","-988,000","-64,000"
					ChangeInAccountPayable,"-21,627,000","-10,230,000","21,429,000","-2,997,000","754,000","2,813,000","1,822,000","1,396,000","1,113,000","-494,000","1,290,000","-1,303,000","1,747,000","416,000","430,000"
				ChangeInAccruedExpense,"-8,637,000","-4,249,000","9,276,000","9,439,000","13,889,000","-15,230,000","963,000","7,149,000","336,000","5,042,000","-754,000","9,690,000","-4,000","4,784,000","579,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,"-4,652,000","-2,951,000","-593,000","-296,000","-90,000"
			ChangeInOtherCurrentLiabilities,"-1,176,000","-5,923,000","-1,723,000","-4,126,000","-6,703,000","-6,626,000","3,056,000","3,818,000","2,423,000","1,793,000","467,000","773,000","443,000","246,000","435,000"
			ChangeInOtherWorkingCapital,"103,092,000","177,896,000","119,657,000","99,060,000","120,315,000","72,516,000","70,475,000","39,445,000","30,826,000","39,357,000","45,580,000","28,473,000","20,860,000","7,511,000","5,403,000"
InvestingCashFlow,"-546,247,000","-1,076,351,000","-1,007,683,000","-346,152,000","-333,634,000","-516,910,000","-103,869,000","-154,520,000","-96,754,000","-96,683,000","-272,018,000","-26,576,000","-16,364,000","-1,683,000","-657,000"
	CashFlowFromContinuingInvestingActivities,"-546,247,000","-1,076,351,000","-1,007,683,000","-346,152,000","-333,634,000","-516,910,000","-103,869,000","-154,520,000","-96,754,000","-96,683,000","-272,018,000","-26,576,000","-16,364,000","-1,683,000","-657,000"
		CapitalExpenditureReported,,,,,,"-1,208,000","-1,379,000","-1,734,000","-584,000","-431,000","-413,000","-1,117,000","-590,000",,
