name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999
TotalAssets,"16,523,000,000","15,312,000,000","15,555,000,000","14,825,000,000","12,260,000,000","12,252,000,000","12,255,000,000","12,854,000,000","11,378,000,000","10,615,000,000","9,522,000,000","8,539,000,000","7,537,000,000","7,010,000,000","6,148,000,000","4,369,000,000","4,492,000,000","3,073,000,000","2,066,000,000","1,454,000,000","1,132,182,271","704,308,967","471,161,734","342,347,819","219,282,870","153,657,596"
	CurrentAssets,"10,722,000,000","8,626,000,000","8,865,000,000","8,307,000,000","7,212,000,000","7,644,000,000","7,673,000,000","8,282,000,000","7,802,000,000","7,551,000,000","7,180,000,000","6,505,000,000","5,945,000,000","5,312,000,000","4,653,000,000","3,120,000,000","3,129,000,000","2,098,000,000","1,509,000,000","1,060,000,000","871,857,436","507,857,817","299,153,061","206,744,312","159,089,296","124,700,000"
		CashCashEquivalentsAndShortTermInvestments,"3,433,000,000","2,359,000,000","3,229,000,000","3,751,000,000","3,085,000,000","3,787,000,000","4,023,000,000","5,027,000,000","4,946,000,000","4,999,000,000","4,841,000,000","4,341,000,000","4,121,000,000","3,784,000,000","3,545,000,000","2,167,000,000","2,076,000,000","1,409,000,000","1,059,000,000","688,000,000","662,157,978","354,362,918","210,485,940","124,084,245","116,599,486","98,900,000"
			CashAndCashEquivalents,"1,773,000,000","1,481,000,000","2,305,000,000","3,380,000,000","2,465,000,000","2,829,000,000","3,041,000,000","3,489,000,000","4,935,000,000","4,859,000,000","4,331,000,000","4,021,000,000","4,047,000,000","3,737,000,000","2,698,000,000","2,167,000,000","2,058,000,000","1,403,000,000","889,000,000","410,000,000","444,553,465","354,362,918","210,485,940","124,084,245","116,599,486","98,900,000"
				CashFinancial,"1,773,000,000","1,220,000,000","1,840,000,000","2,745,000,000","1,624,000,000","2,052,000,000","2,021,000,000","2,296,000,000","4,139,000,000","4,192,000,000","3,729,000,000","3,449,000,000","3,746,000,000",,,,,,,,,,,,,
				CashEquivalents,"0","261,000,000","465,000,000","635,000,000","841,000,000","777,000,000","1,020,000,000","1,193,000,000","796,000,000","667,000,000","602,000,000","572,000,000","301,000,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"1,660,000,000","878,000,000","924,000,000","371,000,000","620,000,000","958,000,000","982,000,000","1,538,000,000","11,000,000","140,000,000","510,000,000","320,000,000","74,000,000","47,000,000","847,000,000","0","18,000,000","6,000,000","170,000,000","278,000,000","217,604,513",,,,,
		Receivables,"6,436,000,000","5,448,000,000","4,865,000,000","4,062,000,000","3,688,000,000","3,363,000,000","2,982,000,000","2,884,000,000","2,591,000,000","2,325,000,000","2,077,000,000","1,945,000,000","1,698,000,000","1,322,000,000","965,000,000","872,000,000","944,000,000","639,000,000","409,000,000","335,000,000","173,827,705","128,822,042","72,653,099","64,942,062","31,233,515","20,100,000"
			AccountsReceivable,"3,620,000,000","3,094,000,000","2,995,000,000","2,639,000,000","2,443,000,000","2,144,000,000","2,016,000,000","1,900,000,000","1,710,000,000","1,554,000,000","1,394,000,000","1,305,000,000","1,156,000,000","1,043,000,000","778,000,000","724,000,000","944,000,000","565,000,000","361,000,000","303,000,000","150,102,586","109,119,856","69,017,110","64,942,062",,
				GrossAccountsReceivable,"3,706,000,000","3,177,000,000","3,083,000,000","2,724,000,000",,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-86,000,000","-83,000,000","-88,000,000","-85,000,000",,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"30,000,000","35,000,000","33,000,000","22,000,000","32,000,000","35,000,000","37,000,000","42,000,000","46,000,000","35,000,000","35,000,000","26,000,000","32,000,000",,,,,,,,,,,,,
			AccruedInterestReceivable,"64,000,000","59,000,000","48,000,000","85,000,000","62,000,000","131,000,000","117,000,000","89,000,000","106,000,000","63,000,000","3,000,000","18,000,000","8,000,000",,,,,,,,,,,,,
			TaxesReceivable,"1,191,000,000","399,000,000","263,000,000","286,000,000","210,000,000","276,000,000","158,000,000","291,000,000","272,000,000","218,000,000","176,000,000","147,000,000","134,000,000",,,,,,,,,,,,,
			OtherReceivables,"1,531,000,000","1,861,000,000","1,526,000,000","1,030,000,000","941,000,000","777,000,000","654,000,000","562,000,000","457,000,000","455,000,000","469,000,000","449,000,000","368,000,000","279,000,000","187,000,000","148,000,000",,"74,000,000","48,000,000","32,000,000","23,725,119","19,702,186","3,635,989",,,
		PrepaidAssets,"755,000,000","650,000,000","584,000,000","459,000,000","389,000,000","369,000,000","329,000,000","309,000,000","227,000,000","210,000,000","61,000,000","175,000,000","124,000,000","206,000,000","143,000,000","81,000,000","8,000,000","13,000,000","12,000,000","11,000,000","35,871,753","24,384,316","2,990,523","16,452,863",,
		RestrictedCash,,,,,"0","37,000,000","0",,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,"67,000,000","125,000,000","125,000,000","9,000,000","4,000,000","8,000,000","7,000,000","12,000,000","17,000,000","0","163,000,000",,,,,"33,000,000","2,000,000","2,000,000","1,000,000","2,000,000",,"288,541","774,107","1,265,142",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,"33,000,000","2,000,000","2,000,000","1,000,000","2,000,000",,"288,541","774,107","1,265,142",,
		AssetsHeldForSaleCurrent,,,,,,"0","316,000,000",,,,,,"6,000,000",,,,,,,,,,,,,
		HedgingAssetsCurrent,"10,000,000","12,000,000","19,000,000","26,000,000","8,000,000","48,000,000","2,000,000","44,000,000","17,000,000","16,000,000","36,000,000","19,000,000","0",,,,,,,,,,,,,
		OtherCurrentAssets,"21,000,000","32,000,000","43,000,000","46,000,000","38,000,000","32,000,000","14,000,000","6,000,000","4,000,000","1,000,000","2,000,000","25,000,000","2,000,000",,,"41,000,000","99,000,000","35,000,000","28,000,000","24,000,000",,,"12,249,392",,"11,256,295","5,700,000"
	TotalNonCurrentAssets,"5,801,000,000","6,686,000,000","6,690,000,000","6,518,000,000","5,048,000,000","4,608,000,000","4,582,000,000","4,572,000,000","3,576,000,000","3,064,000,000","2,342,000,000","2,034,000,000","1,592,000,000","1,698,000,000","1,495,000,000","1,249,000,000","1,363,000,000","975,000,000","557,000,000","394,000,000","260,324,835","196,451,150","172,008,673","135,603,507","60,193,574","28,957,596"
		NetPPE,"2,323,000,000","2,516,000,000","2,429,000,000","2,519,000,000","2,361,000,000","1,931,000,000","1,863,000,000","1,807,000,000","1,589,000,000","1,460,000,000","1,316,000,000","1,191,000,000","1,063,000,000","1,086,000,000","989,000,000","920,000,000","1,022,000,000","738,000,000","491,000,000","352,000,000","228,419,168","157,194,190","147,211,731","119,773,030","47,554,772","23,900,000"
			GrossPPE,"4,503,000,000","4,550,000,000","4,579,000,000","4,583,000,000","4,106,000,000","3,593,000,000","3,407,000,000","3,130,000,000","2,714,000,000","2,487,000,000","2,238,000,000","1,966,000,000","1,775,000,000","1,816,000,000","1,630,000,000","1,394,000,000","1,520,000,000","1,165,000,000","790,000,000","579,000,000","406,483,657","276,520,413","227,766,286","172,206,793","78,208,914","43,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,"243,000,000","250,000,000","271,000,000","277,000,000","257,000,000","276,000,000","292,000,000","272,000,000","244,000,000","250,000,000","190,000,000","157,000,000","140,000,000","124,000,000","73,000,000","56,000,000","57,000,000","39,000,000","31,000,000","27,000,000","20,796,805","9,948,480","8,955,962","7,865,351",,
				BuildingsAndImprovements,"1,807,000,000","1,881,000,000","1,970,000,000","1,990,000,000","1,785,000,000","1,291,000,000","1,247,000,000","1,123,000,000","955,000,000","940,000,000","839,000,000","773,000,000","760,000,000","813,000,000","735,000,000","574,000,000","489,000,000","343,000,000","231,000,000","168,000,000","105,902,504","81,114,141","58,481,413","33,871,448",,
				MachineryFurnitureEquipment,"2,399,000,000","2,364,000,000","2,271,000,000","2,171,000,000","1,897,000,000","1,755,000,000","1,557,000,000","1,432,000,000","1,229,000,000","1,067,000,000","904,000,000","730,000,000","672,000,000","761,000,000","731,000,000","630,000,000","643,000,000","559,000,000","400,000,000","311,000,000","231,846,819","169,175,961","129,447,207","93,818,270",,
				ConstructionInProgress,"54,000,000","55,000,000","67,000,000","145,000,000","167,000,000","271,000,000","311,000,000","303,000,000","286,000,000","230,000,000","305,000,000","306,000,000","203,000,000","118,000,000","91,000,000","134,000,000","331,000,000","224,000,000","128,000,000","73,000,000","47,937,529","16,281,831","30,881,704","36,651,724",,
			AccumulatedDepreciation,"-2,180,000,000","-2,034,000,000","-2,150,000,000","-2,064,000,000","-1,745,000,000","-1,662,000,000","-1,544,000,000","-1,323,000,000","-1,125,000,000","-1,027,000,000","-922,000,000","-775,000,000","-712,000,000","-730,000,000","-641,000,000","-474,000,000","-498,000,000","-427,000,000","-299,000,000","-227,000,000","-178,064,489","-119,326,223","-80,554,555","-52,433,763","-30,654,142","-19,700,000"
		GoodwillAndOtherIntangibleAssets,"1,042,000,000","1,095,000,000","1,042,000,000","1,115,000,000","950,000,000","612,000,000","377,000,000","683,000,000","717,000,000","597,000,000","417,000,000","432,000,000","229,000,000","196,000,000","195,000,000","142,000,000","175,000,000","148,000,000","8,000,000","8,000,000","9,712,374","6,471,236",,,,
			Goodwill,"875,000,000","882,000,000","817,000,000","832,000,000","699,000,000","512,000,000","339,000,000","563,000,000","568,000,000","495,000,000","360,000,000","364,000,000","195,000,000","185,000,000","183,000,000","135,000,000","150,000,000","128,000,000",,,,,,,,
			OtherIntangibleAssets,"167,000,000","213,000,000","225,000,000","283,000,000","251,000,000","100,000,000","38,000,000","120,000,000","149,000,000","102,000,000","57,000,000","68,000,000","34,000,000","11,000,000","12,000,000","7,000,000","25,000,000","20,000,000","8,000,000","8,000,000","9,712,374","6,471,236",,,,
		InvestmentsAndAdvances,"1,538,000,000","1,680,000,000","1,867,000,000","1,681,000,000","602,000,000","670,000,000","883,000,000","995,000,000","289,000,000","230,000,000","208,000,000","72,000,000","2,000,000","5,000,000","8,000,000",,,,,,,,,,,
			LongTermEquityInvestment,,,,,,"0","0","11,000,000","16,000,000","15,000,000","0",,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,,,,,,"0","0","11,000,000","16,000,000","15,000,000","0",,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"1,538,000,000","1,643,000,000","1,824,000,000","1,633,000,000","549,000,000","670,000,000","883,000,000","984,000,000","273,000,000","215,000,000","208,000,000","72,000,000","2,000,000",,,,,,,,,,,,,
				FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,"75,000,000","70,000,000","23,000,000","13,000,000","8,000,000","71,000,000",,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"1,252,000,000","1,358,000,000","1,550,000,000","1,620,000,000","541,000,000","599,000,000",,,"273,000,000","215,000,000","208,000,000","72,000,000","2,000,000",,,,,,,,,,,,,
				HeldToMaturitySecurities,"211,000,000","215,000,000","251,000,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"0","37,000,000","43,000,000","48,000,000","53,000,000","0",,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"659,000,000","1,044,000,000","1,018,000,000","972,000,000","814,000,000","1,048,000,000","1,150,000,000","881,000,000","789,000,000","654,000,000","254,000,000","201,000,000","204,000,000",,,,,,,,,,,,,
