name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999
TotalRevenue,"18,659,000,000","18,562,000,000","18,212,000,000","16,311,000,000","13,561,000,000","12,780,000,000","11,799,000,000","10,939,000,000","10,208,000,000","9,501,000,000","8,711,000,000","8,249,000,000","7,398,000,000","6,994,000,000","6,041,000,000","4,804,000,000","4,663,000,000","4,176,000,000","3,090,000,000","2,152,000,000","1,592,000,000","1,062,584,888","753,807,025","545,051,214","413,850,510","203,443,754","120,955,226"
	OperatingRevenue,"18,659,000,000","18,562,000,000","18,212,000,000","16,311,000,000","13,561,000,000","12,780,000,000","11,799,000,000","10,939,000,000","10,208,000,000","9,501,000,000","8,711,000,000","8,249,000,000","7,398,000,000","6,994,000,000","6,041,000,000","4,804,000,000","4,663,000,000","4,176,000,000","3,090,000,000","2,152,000,000","1,592,000,000","1,062,584,888","753,807,025","545,051,214","413,850,510","203,443,754","120,955,226"
CostOfRevenue,"13,023,000,000","12,975,000,000","12,709,000,000","10,996,000,000","8,828,000,000","8,552,000,000","7,687,000,000","7,001,000,000","6,446,000,000","5,950,000,000","5,374,000,000","5,292,000,000","4,637,000,000","4,118,000,000","3,497,000,000","2,749,000,000","2,699,000,000","2,453,000,000","1,777,000,000","1,244,000,000","904,000,000","602,289,263","417,359,025","290,032,232","213,613,744","98,812,377","43,900,000"
GrossProfit,"5,636,000,000","5,587,000,000","5,503,000,000","5,315,000,000","4,733,000,000","4,228,000,000","4,112,000,000","3,938,000,000","3,762,000,000","3,551,000,000","3,337,000,000","2,957,000,000","2,761,000,000","2,876,000,000","2,544,000,000","2,055,000,000","1,964,000,000","1,723,000,000","1,313,000,000","908,000,000","688,000,000","460,295,625","336,448,000","255,018,982","200,236,766","104,631,377","77,055,226"
OperatingExpense,"1,754,000,000","1,738,000,000","1,643,000,000","1,560,000,000","1,408,000,000","1,504,000,000","1,416,000,000","1,279,000,000","1,242,000,000","1,183,000,000","1,008,000,000","978,000,000","852,000,000","863,000,000","765,000,000","595,000,000","590,000,000","572,000,000","461,000,000","309,000,000","232,000,000","167,179,572","117,803,804","76,471,075","62,722,180","44,132,324","54,200,000"
	SellingGeneralAndAdministration,"1,594,000,000","1,578,000,000","1,490,000,000","1,560,000,000","1,408,000,000","1,504,000,000","1,416,000,000","1,279,000,000","1,242,000,000","1,035,000,000","890,000,000","978,000,000","852,000,000","863,000,000","686,000,000","595,000,000","590,000,000","564,000,000","458,000,000","309,000,000","230,000,000","159,035,588","113,458,358","71,461,303","57,640,385","26,746,520","29,100,000"
		GeneralAndAdministrativeExpense,"1,411,000,000","1,410,000,000","1,330,000,000","868,000,000","784,000,000","840,000,000","778,000,000","727,000,000","707,000,000","513,000,000","410,000,000","547,000,000","479,000,000","497,000,000","354,000,000","344,000,000","351,000,000",,,,,,,,,,
			SalariesAndWages,,"985,000,000","905,000,000","873,000,000","275,000,000","253,000,000","227,000,000","231,000,000","220,000,000","206,000,000","174,000,000",,"148,000,000",,"147,000,000",,,,,,,,,,,,
			RentAndLandingFees,,,"7,000,000","6,000,000","6,000,000","3,000,000","20,000,000","20,000,000","17,000,000","11,000,000","9,000,000",,"11,000,000",,"9,000,000",,,,,,,,,,,,
			InsuranceAndClaims,,"25,000,000","21,000,000","22,000,000","18,000,000","12,000,000","9,000,000","9,000,000","8,000,000","9,000,000","9,000,000",,"8,000,000",,"7,000,000",,,,,,,,,,,,
			OtherGandA,"401,000,000","400,000,000","404,000,000","868,000,000","784,000,000","840,000,000","778,000,000","727,000,000","707,000,000","287,000,000","218,000,000","547,000,000","479,000,000","497,000,000","191,000,000","344,000,000","351,000,000",,,,,,,,,,
		SellingAndMarketingExpense,"183,000,000","168,000,000","160,000,000","692,000,000","624,000,000","664,000,000","638,000,000","552,000,000","535,000,000","522,000,000","480,000,000","431,000,000","373,000,000","366,000,000","332,000,000","251,000,000","239,000,000",,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,"8,000,000","3,000,000",,"2,000,000","8,143,984","4,345,446","5,009,772","5,081,795","17,385,804","25,100,000"
