name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"385,603,000,000","383,285,000,000","394,328,000,000","365,817,000,000","274,515,000,000","260,174,000,000","265,595,000,000","229,234,000,000","215,639,000,000","233,715,000,000","182,795,000,000","170,910,000,000","156,508,000,000","108,249,000,000","65,225,000,000","42,905,000,000","37,491,000,000","24,578,000,000","19,315,000,000","13,931,000,000","8,279,000,000","6,207,000,000","5,742,000,000","5,363,000,000","7,983,000,000","6,134,000,000","5,941,000,000","7,081,000,000","9,833,000,000","11,062,000,000","9,189,000,000","7,977,000,000","7,086,542,000","6,308,800,000","5,558,400,000","5,284,000,000","4,071,400,000","2,661,100,000","1,901,900,000","1,918,300,000"
	OperatingRevenue,"385,603,000,000","383,285,000,000","394,328,000,000","365,817,000,000","274,515,000,000","260,174,000,000","265,595,000,000","229,234,000,000","215,639,000,000","233,715,000,000","182,795,000,000","170,910,000,000","156,508,000,000","108,249,000,000","65,225,000,000","42,905,000,000","37,491,000,000","24,578,000,000","19,315,000,000","13,931,000,000","8,279,000,000","6,207,000,000","5,742,000,000","5,363,000,000","7,983,000,000","6,134,000,000","5,941,000,000","7,081,000,000","9,833,000,000","11,062,000,000","9,189,000,000","7,977,000,000","7,086,542,000","6,308,800,000","5,558,400,000","5,284,000,000","4,071,400,000","2,661,100,000","1,901,900,000","1,918,300,000"
CostOfRevenue,"208,372,000,000","214,137,000,000","223,546,000,000","212,981,000,000","169,559,000,000","161,782,000,000","163,756,000,000","141,048,000,000","131,376,000,000","140,089,000,000","112,258,000,000","106,606,000,000","87,846,000,000","64,431,000,000","39,541,000,000","25,683,000,000","24,294,000,000","16,426,000,000","13,717,000,000","9,889,000,000","6,022,000,000","4,499,000,000","4,139,000,000","4,128,000,000","5,817,000,000","4,438,000,000","4,462,000,000","5,713,000,000","8,865,000,000","8,204,000,000","6,846,000,000","5,249,000,000","3,991,337,000","3,109,700,000","2,403,500,000","2,570,000,000","1,913,200,000","1,225,700,000","840,000,000","1,076,000,000"
GrossProfit,"177,231,000,000","169,148,000,000","170,782,000,000","152,836,000,000","104,956,000,000","98,392,000,000","101,839,000,000","88,186,000,000","84,263,000,000","93,626,000,000","70,537,000,000","64,304,000,000","68,662,000,000","43,818,000,000","25,684,000,000","17,222,000,000","13,197,000,000","8,152,000,000","5,598,000,000","4,042,000,000","2,257,000,000","1,708,000,000","1,603,000,000","1,235,000,000","2,166,000,000","1,696,000,000","1,479,000,000","1,368,000,000","968,000,000","2,858,000,000","2,343,000,000","2,728,000,000","3,095,205,000","3,199,100,000","3,154,900,000","2,714,000,000","2,158,200,000","1,435,400,000","1,061,900,000","842,300,000"
OperatingExpense,"56,637,000,000","54,847,000,000","51,345,000,000","43,887,000,000","38,668,000,000","34,462,000,000","30,941,000,000","26,842,000,000","24,239,000,000","22,396,000,000","18,034,000,000","15,305,000,000","13,421,000,000","10,028,000,000","7,299,000,000","5,482,000,000","4,870,000,000","3,745,000,000","3,145,000,000","2,399,000,000","1,921,000,000","1,683,000,000","1,556,000,000","1,579,000,000","1,546,000,000","1,310,000,000","1,218,000,000","2,146,000,000","2,172,000,000","2,197,000,000","1,948,000,000","2,297,000,000","2,289,397,000","2,751,800,000","2,442,900,000","2,079,700,000","1,537,900,000","1,063,900,000","788,400,000","695,000,000"
	SellingGeneralAndAdministration,"25,725,000,000","24,932,000,000","25,094,000,000","21,973,000,000","19,916,000,000","18,245,000,000","16,705,000,000","15,261,000,000","14,194,000,000","14,329,000,000","11,993,000,000","10,830,000,000","10,040,000,000","7,599,000,000","5,517,000,000","4,149,000,000","3,761,000,000","2,963,000,000","2,433,000,000","1,864,000,000","1,430,000,000","1,212,000,000","1,109,000,000","1,138,000,000","1,166,000,000","996,000,000","908,000,000","1,286,000,000","1,568,000,000","1,583,000,000","1,384,000,000","1,632,000,000","1,687,262,000","2,547,400,000","2,240,200,000","1,954,900,000","1,460,200,000","993,400,000","737,300,000","653,200,000"
	ResearchAndDevelopment,"30,912,000,000","29,915,000,000","26,251,000,000","21,914,000,000","18,752,000,000","16,217,000,000","14,236,000,000","11,581,000,000","10,045,000,000","8,067,000,000","6,041,000,000","4,475,000,000","3,381,000,000","2,429,000,000","1,782,000,000","1,333,000,000","1,109,000,000","782,000,000","712,000,000","535,000,000","491,000,000","471,000,000","447,000,000","441,000,000","380,000,000","314,000,000","310,000,000","860,000,000","604,000,000","614,000,000","564,000,000","665,000,000","602,135,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000,000","118,000,000","156,000,000",,,"166,100,000","217,200,000","204,400,000","202,700,000","124,800,000","77,700,000","70,500,000","51,100,000","41,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000,000","118,000,000","156,000,000",,,"166,100,000","217,200,000","204,400,000","202,700,000","124,800,000","77,700,000","70,500,000","51,100,000","41,800,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,"-2,000,000",,"98,000,000",,,"75,000,000",,,,,,,,,,,,
