name,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001
TotalAssets,"51,245,305,000","47,263,390,000","43,175,843,000","37,078,593,000","29,789,880,000","24,449,083,000","22,689,890,000","20,609,004,000","18,202,647,000","17,930,452,000","16,867,049,000","16,665,415,000","15,731,510,000","12,835,253,000","12,255,734,000","12,398,525,000","10,747,162,000","9,497,492,000","8,957,352,000","8,013,484,000","6,459,240,000","5,478,948,000","6,061,356,000"
	CurrentAssets,"23,381,931,000","21,610,871,000","19,666,511,000","17,749,756,000","15,450,601,000","13,585,559,000","12,097,289,000","11,976,222,000","10,700,074,000","11,904,442,000","11,844,178,000","12,587,931,000","11,471,183,000","9,563,625,000","8,990,514,000","9,159,128,000","7,971,178,000","7,190,859,000","6,685,267,000","6,139,194,000","5,037,211,000","4,052,311,000","4,579,637,000"
		CashCashEquivalentsAndShortTermInvestments,"9,049,607,000","7,893,806,000","8,172,468,000","8,509,639,000","6,130,166,000","5,064,552,000","4,129,871,000","4,908,484,000","4,363,214,000","4,923,907,000","5,634,410,000","6,642,787,000","5,706,007,000","4,841,279,000","4,549,566,000","3,623,042,000","3,545,674,000","3,419,939,000","2,947,450,000","2,838,246,000","2,332,161,000","1,316,976,000","1,880,083,000"
			CashAndCashEquivalents,"9,045,032,000","7,889,833,000","8,168,174,000","8,415,330,000","6,126,853,000","5,061,360,000","4,126,860,000","4,905,609,000","4,360,766,000","4,921,305,000","5,631,885,000","6,640,526,000","5,701,078,000","4,838,292,000","4,541,662,000","3,602,760,000","3,314,396,000","3,066,988,000","2,483,990,000","2,552,958,000","2,332,161,000","1,316,976,000","1,880,083,000"
			OtherShortTermInvestments,"4,575,000","3,973,000","4,294,000","94,309,000","3,313,000","3,192,000","3,011,000","2,875,000","2,448,000","2,602,000","2,525,000","2,261,000","4,929,000","2,987,000","7,904,000","20,282,000","231,278,000","352,951,000","463,460,000","285,288,000","0",,
		Receivables,"12,227,186,000","11,776,775,000","9,728,212,000","7,846,892,000","8,095,071,000","7,496,368,000","6,885,257,000","6,222,399,000","5,725,424,000","5,663,334,000","4,846,574,000","4,480,711,000","4,621,792,000","3,662,425,000","3,361,785,000","4,515,395,000","3,699,334,000","3,103,699,000","3,106,613,000","2,712,081,000","2,244,668,000","2,144,344,000","2,300,114,000"
			AccountsReceivable,"10,690,713,000","10,484,211,000","9,728,212,000","7,846,892,000","8,095,071,000","7,496,368,000","4,569,214,000","4,072,180,000","3,840,920,000","3,859,567,000","3,333,126,000","3,080,877,000","3,236,059,000","2,534,598,000","3,361,785,000","4,515,395,000","3,699,334,000","3,103,699,000","1,752,937,000","1,662,211,000","1,416,153,000","1,330,642,000","1,498,812,000"
			OtherReceivables,"1,536,473,000","1,292,564,000",,,,"2,499,914,000","2,316,043,000","2,150,219,000","1,884,504,000","1,803,767,000","1,513,448,000","1,399,834,000","1,385,733,000","1,127,827,000",,,,,"1,353,676,000","1,049,870,000","828,515,000","813,702,000","801,302,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,"0","83,280,000","79,445,000",
		CurrentDeferredAssets,,,,,,,,,"879,320,000","731,820,000","794,917,000","685,732,000","556,160,000","569,678,000","479,662,000","425,859,000","318,172,000","187,720,000","121,386,000","87,636,000","147,040,000","189,976,000","166,372,000"
