name,ttm,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001
TotalRevenue,"64,475,845,000","64,111,745,000","61,594,305,000","50,533,389,000","44,327,039,000","43,215,013,000","40,992,534,000","36,176,841,000","34,797,661,000","32,914,424,000","31,874,678,000","30,394,285,000","29,777,985,000","27,352,914,000","23,094,078,000","23,170,968,000","25,313,826,000","21,452,747,000","18,228,366,000","17,094,420,000","15,113,582,000","13,397,240,000","13,105,024,000","13,061,872,000"
	OperatingRevenue,"64,475,845,000","64,111,745,000","61,594,305,000","50,533,389,000","44,327,039,000","43,215,013,000","40,992,534,000","36,176,841,000","32,882,723,000","31,047,931,000","30,002,394,000","28,562,810,000","27,862,330,000","25,507,036,000","23,094,078,000","23,170,968,000","25,313,826,000","21,452,747,000","18,228,366,000","17,094,420,000","15,113,582,000","13,397,240,000","13,105,024,000","13,061,872,000"
CostOfRevenue,"43,469,355,000","43,380,138,000","41,892,766,000","34,169,261,000","30,350,881,000","29,900,325,000","28,499,170,000","25,105,349,000","24,520,234,000","23,105,185,000","22,190,212,000","21,010,110,000","20,790,284,000","18,966,195,000","15,843,331,000","16,329,854,000","18,128,241,000","15,411,274,000","13,234,327,000","12,002,221,000","10,497,265,000","9,087,300,000","8,427,730,000","7,817,365,000"
GrossProfit,"21,006,490,000","20,731,607,000","19,701,539,000","16,364,128,000","13,976,158,000","13,314,688,000","12,493,364,000","11,071,492,000","10,277,427,000","9,809,239,000","9,684,466,000","9,384,175,000","8,987,701,000","8,386,719,000","7,250,747,000","6,841,114,000","7,185,585,000","6,041,473,000","4,994,039,000","5,092,199,000","4,616,317,000","4,309,940,000","4,677,294,000","5,244,507,000"
OperatingExpense,"11,851,391,000","11,921,718,000","10,334,358,000","8,742,599,000","7,462,514,000","7,009,614,000","6,594,585,000","5,880,090,000","5,466,982,000","5,373,370,000","5,401,969,000","5,317,537,000","5,114,462,000","4,914,742,000","4,326,364,000","3,947,976,000","4,151,131,000","3,522,488,000","3,200,946,000","3,070,218,000","2,828,800,000","2,778,051,000","3,181,319,000","3,700,136,000"
	SellingGeneralAndAdministration,"11,047,015,000","10,858,572,000","10,334,358,000","8,742,599,000","7,462,514,000","7,009,614,000","6,594,585,000","5,880,090,000","5,466,982,000","5,373,370,000","5,401,969,000","5,317,537,000","5,114,462,000","4,914,742,000","4,326,364,000","3,947,976,000","4,151,131,000","3,522,488,000","3,200,946,000","3,070,218,000","2,828,800,000","2,778,051,000","3,181,319,000","2,733,026,000"
		GeneralAndAdministrativeExpense,"4,225,151,000","4,275,943,000","4,225,957,000","3,454,362,000","2,836,585,000","2,562,158,000","2,398,384,000","2,127,777,000","1,886,543,000","1,868,325,000","1,819,136,000","1,835,646,000","1,810,984,000","1,820,277,000","1,668,306,000","1,788,514,000","1,880,342,000",,,,"1,340,467,000","1,319,567,000","1,615,703,000",
			SalariesAndWages,,,,,,,"0","509,793,000","0","64,382,000",,"0",,,,,,,,,,,,
			OtherGandA,"4,225,151,000","4,275,943,000","4,225,957,000","3,454,362,000","2,836,585,000","2,562,158,000","2,398,384,000","2,127,777,000","1,886,543,000","1,803,943,000","1,819,136,000","1,835,646,000","1,810,984,000","1,820,277,000","1,668,306,000","1,788,514,000","1,880,342,000",,,,"1,340,467,000","1,319,567,000","1,615,703,000",
		SellingAndMarketingExpense,"6,821,864,000","6,582,629,000","6,108,401,000","5,288,237,000","4,625,929,000","4,447,456,000","4,196,201,000","3,752,313,000","3,580,439,000","3,505,045,000","3,582,833,000","3,481,891,000","3,303,478,000","3,094,465,000","2,658,058,000","2,159,462,000","2,270,789,000",,,,"1,488,333,000","1,458,484,000","1,565,616,000",
	OtherOperatingExpenses,"804,376,000","1,063,146,000",,,,,,,,,,,,,,,,,,,,,,"967,110,000"
OperatingIncome,"9,155,099,000","8,809,889,000","9,367,181,000","7,621,529,000","6,513,644,000","6,305,074,000","5,898,779,000","5,191,402,000","4,810,445,000","4,435,869,000","4,282,497,000","4,066,638,000","3,873,239,000","3,471,977,000","2,924,383,000","2,893,138,000","3,034,454,000","2,518,985,000","1,793,093,000","2,021,981,000","1,787,517,000","1,531,889,000","1,495,975,000","1,544,371,000"
NetNonOperatingInterestIncomeExpense,"271,029,000","232,884,000","-2,187,000","-26,127,000","36,260,000","64,545,000","36,798,000","22,395,000","14,226,000","19,413,000","12,749,000","18,858,000","27,489,000","26,083,000","15,254,000","35,801,000","91,917,000",,,,"37,895,000","20,114,000","-2,679,000",
	InterestIncomeNonOperating,"324,566,000","280,409,000","45,133,000","33,365,000","69,331,000","87,508,000","56,337,000","37,940,000","30,484,000","33,991,000","30,370,000","32,893,000","42,550,000","41,083,000","29,931,000","49,922,000","114,621,000",,,,"59,939,000","41,130,000","46,185,000",
	InterestExpenseNonOperating,"53,537,000","47,525,000","47,320,000","59,492,000","33,071,000","22,963,000","19,539,000","15,545,000","16,258,000","14,578,000","17,621,000","14,035,000","15,061,000","15,000,000","14,677,000","14,121,000","22,704,000",,,,"22,044,000","21,016,000","48,864,000",
OtherIncomeExpense,"-100,239,000","96,559,000","-168,827,000","165,714,000","224,427,000","-117,822,000","-127,484,000","-597,765,000","778,901,000","-44,752,000","2,455,000","253,798,000","3,446,000","13,962,000","-25,268,000","-251,203,000","-18,609,000","-29,597,000","22,173,000","99,758,000","-26,842,000","22,122,000","-425,738,000","-1,753,124,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,"3,397,000","10,123,000","-321,127,000",
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,"-1,508,000","-409,000","-9,080,000","-61,388,000"
	SpecialIncomeCharges,,"0","-96,294,000","0","0","0","0","-252,000","848,823,000","0","18,015,000","272,042,000","-1,691,000","-1,520,000","-25,268,000","-251,203,000","-18,609,000","-29,597,000","22,173,000","99,758,000","-25,334,000","12,408,000","-95,531,000","-1,691,736,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,"0","-18,015,000","-272,042,000","1,691,000","1,520,000","9,538,000","249,273,000","22,872,000","26,366,000","-47,966,000","-89,257,000","28,891,000","19,346,000","110,524,000","848,615,000"
		OtherSpecialCharges,,,,,,,,,,,,,"-5,137,000","-15,482,000","15,730,000","1,930,000","-4,263,000","3,231,000","25,793,000","-10,501,000","-3,557,000","-31,754,000","-14,993,000","843,121,000"
		GainOnSaleOfBusiness,,"0","-96,294,000","0","0","0","0","-252,000","848,823,000","0",,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-100,239,000","96,559,000","-72,533,000","165,714,000","224,427,000","-117,822,000","-127,484,000","-597,513,000","-69,922,000","-44,752,000","-15,560,000","-18,244,000","5,137,000","15,482,000",,,,,,,,,,
PretaxIncome,"9,325,889,000","9,139,332,000","9,196,167,000","7,761,116,000","6,774,331,000","6,251,797,000","5,808,093,000","4,616,032,000","5,603,572,000","4,410,530,000","4,297,701,000","4,339,294,000","3,904,174,000","3,512,022,000","2,914,369,000","2,677,736,000","3,107,762,000","2,618,918,000","1,923,667,000","2,206,002,000","1,798,570,000","1,612,817,000","1,067,558,000","794,857,000"
TaxProvision,"2,217,146,000","2,135,802,000","2,207,207,000","1,770,571,000","1,589,018,000","1,405,556,000","1,593,499,000","981,100,000","1,253,969,000","1,136,741,000","1,121,743,000","784,775,000","1,079,241,000","958,782,000","853,910,000","739,590,000","910,574,000","895,861,000","490,535,000","697,097,000","575,543,000","566,099,000","491,071,000","502,616,000"
