name,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalAssets,"29,779,000,000","27,165,000,000","27,241,000,000","24,284,000,000","20,762,000,000","18,768,682,000","14,535,556,000","12,697,246,000","11,726,472,000","10,785,829,000","10,380,298,000","10,040,229,000","8,991,183,000","8,141,148,000","7,282,237,000","5,821,598,000","5,713,679,000","5,962,548,000","2,440,315,000","1,958,632,000","1,555,045,000","1,051,610,000","930,623,000","1,069,416,000","803,859,000","767,331,000","940,071,000","1,001,393,000","884,732,000","710,000,000","352,900,000","281,300,000","221,200,000","145,700,000","94,100,000","65,500,000","32,300,000","20,000,000"
	CurrentAssets,"11,084,000,000","8,996,000,000","8,669,000,000","8,146,000,000","6,495,000,000","4,857,039,000","7,247,813,000","5,839,774,000","4,821,892,000","4,602,328,000","4,045,929,000","4,397,066,000","3,771,451,000","3,216,050,000","2,473,624,000","2,735,103,000","2,572,977,000","2,884,469,000","2,008,578,000","1,551,029,000","1,329,028,000","814,172,000","767,364,000","877,912,000","623,015,000","455,945,000","678,946,000","725,814,000","692,787,000","598,522,000","304,300,000","224,400,000","161,600,000","109,100,000","77,300,000","51,500,000","25,500,000","16,600,000"
		CashCashEquivalentsAndShortTermInvestments,"7,842,000,000","6,096,000,000","5,798,000,000","5,992,000,000","4,177,000,000","3,228,962,000","5,819,774,000","4,761,300,000","3,988,084,000","3,739,491,000","3,173,752,000","3,538,353,000","2,911,692,000","2,468,015,000","1,904,473,000","2,019,202,000","1,993,854,000","2,280,879,000","1,700,834,000","1,313,221,000","1,096,533,000","617,737,000","581,613,000","679,853,000","498,716,000","272,547,000","502,956,000","564,116,000","516,040,000","444,768,000","94,700,000","47,200,000","30,300,000","19,500,000","13,100,000","35,200,000","17,400,000","12,900,000"
			CashAndCashEquivalents,"7,141,000,000","4,236,000,000","3,844,000,000","4,478,000,000","2,650,000,000","1,642,775,000","2,306,072,000","1,011,315,000","876,560,000","1,117,400,000","834,556,000","1,425,052,000","989,500,000","749,891,000","999,487,000","886,450,000","946,422,000","772,500,000","420,818,000","259,061,000","189,917,000","183,684,000","218,662,000","236,866,000","171,145,000","110,871,000","267,576,000","110,745,000","58,493,000","204,120,000","94,700,000","47,200,000","30,300,000","19,500,000","13,100,000","35,200,000","17,400,000","12,900,000"
				CashFinancial,"618,000,000","657,000,000","750,000,000","849,000,000","467,000,000","368,564,000","280,488,000","208,635,000","352,371,000","348,283,000","286,221,000","200,771,000","261,206,000",,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"6,523,000,000","3,579,000,000","3,094,000,000","3,629,000,000","2,183,000,000","1,274,211,000","2,025,584,000","802,680,000","524,190,000","769,117,000","548,335,000","1,224,281,000","728,294,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"701,000,000","1,860,000,000","1,954,000,000","1,514,000,000","1,527,000,000","1,586,187,000","3,513,702,000","3,749,985,000","3,111,524,000","2,622,091,000","2,339,196,000","2,113,301,000","1,922,192,000","1,718,124,000","904,986,000","1,132,752,000","1,047,432,000","1,508,379,000","1,280,016,000","1,054,160,000","906,616,000","434,053,000","362,951,000","442,987,000","327,571,000","161,676,000","235,380,000","453,371,000","457,547,000","240,648,000",,,,,,,,
		Receivables,"2,224,000,000","2,065,000,000","1,878,000,000","1,398,000,000","1,535,000,000","1,315,578,000","1,217,968,000","833,033,000","672,006,000","591,800,000","599,820,000","617,233,000","634,373,000","554,328,000","410,879,000","467,234,000","362,811,000","408,666,000","204,749,000","167,440,000","174,042,000","146,873,000","142,405,000","160,113,000","78,766,000","141,180,000","130,974,000","115,823,000","133,208,000","111,290,000","49,800,000","48,900,000","37,900,000","31,300,000","24,000,000","14,600,000","7,500,000","3,600,000"
			AccountsReceivable,"2,224,000,000","2,065,000,000","1,878,000,000","1,398,000,000","1,535,000,000","1,315,578,000","1,217,968,000","833,033,000","672,006,000","591,800,000","599,820,000","617,233,000","634,373,000","554,328,000","410,879,000","467,234,000","318,145,000","356,815,000","173,245,000","141,945,000","146,311,000","116,506,000","124,106,000","140,514,000","68,371,000","141,180,000","130,974,000","115,823,000","133,208,000","111,290,000","49,800,000",,,,,,,
				GrossAccountsReceivable,"2,240,000,000","2,088,000,000","1,894,000,000","1,419,000,000","1,545,000,000","1,330,559,000","1,227,119,000","839,247,000","679,299,000","599,667,000","610,048,000","629,876,000","649,453,000","569,561,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-16,000,000","-23,000,000","-16,000,000","-21,000,000","-10,000,000","-14,981,000","-9,151,000","-6,214,000","-7,293,000","-7,867,000","-10,228,000","-12,643,000","-15,080,000","-15,233,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"44,666,000","51,851,000","31,504,000","25,495,000","27,731,000","30,367,000","18,299,000","19,599,000","10,395,000",,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,277,000","10,113,000","4,100,000","4,800,000","3,900,000","4,000,000","1,500,000","1,100,000","500,000",
		PrepaidAssets,,,"993,000,000","756,000,000","783,000,000","312,499,000","210,071,000","245,441,000","161,802,000","175,758,000","170,110,000","116,237,000","133,423,000","110,460,000","80,855,000","137,954,000","44,840,000","39,311,000","44,285,000","18,617,000",,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"0","95,279,000","102,247,000","125,243,000","91,963,000","83,247,000","77,417,000","110,713,000","171,472,000","155,613,000","58,710,000","51,751,000","35,875,000","31,530,000","22,726,000","23,460,000","36,185,000","32,028,000","25,824,000",,"24,338,000","21,049,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"0","95,279,000","102,247,000","125,243,000","91,963,000","83,247,000","77,417,000","110,713,000","171,472,000","155,613,000","58,710,000","51,751,000","35,875,000","31,530,000","22,726,000","23,460,000","36,185,000","32,028,000","25,824,000",,"24,338,000","21,049,000",,,,,,,,
		OtherCurrentAssets,"1,018,000,000","835,000,000","993,000,000","756,000,000","783,000,000","312,499,000","210,071,000","245,441,000","161,802,000","175,758,000","170,110,000","116,237,000","133,423,000",,,,,,,"18,617,000","22,578,000","18,032,000","20,620,000","14,486,000","9,348,000","10,190,000","19,192,000","45,875,000","11,924,000","11,302,000","155,700,000","123,500,000","89,500,000","54,300,000","38,700,000","600,000","100,000","100,000"
	TotalNonCurrentAssets,"18,695,000,000","18,169,000,000","18,572,000,000","16,138,000,000","14,267,000,000","13,911,643,000","7,287,743,000","6,857,472,000","6,904,580,000","6,183,501,000","6,334,369,000","5,643,163,000","5,219,732,000","4,925,098,000","4,808,613,000","3,086,495,000","3,140,702,000","3,078,079,000","431,737,000","407,603,000","226,017,000","237,438,000","163,259,000","191,504,000","180,844,000","311,386,000","261,125,000","275,579,000","191,945,000","111,478,000","48,600,000","56,900,000","59,600,000","36,600,000","16,800,000","14,000,000","6,800,000","3,400,000"
		NetPPE,"2,388,000,000","2,315,000,000","2,116,000,000","2,004,000,000","1,293,000,000","1,075,072,000","936,976,000","816,264,000","787,421,000","785,123,000","659,774,000","664,302,000","527,828,000","448,881,000","388,132,000","313,037,000","289,758,000","227,197,000","103,549,000","99,675,000","77,007,000","71,090,000","80,993,000","64,268,000","69,138,000","93,887,000","80,978,000","80,231,000","51,708,000","46,568,000","23,300,000","20,700,000","17,600,000","12,100,000","9,600,000","8,100,000","3,700,000","1,700,000"
