name,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalRevenue,"20,429,000,000","19,409,000,000","17,606,000,000","15,785,000,000","12,868,000,000","11,171,000,000","9,030,000,000","7,301,505,000","5,854,430,000","4,795,511,000","4,147,065,000","4,055,240,000","4,403,677,000","4,216,258,000","3,800,000,000","2,945,853,000","3,579,889,000","3,157,881,000","2,575,300,000","1,966,321,000","1,666,581,000","1,294,749,000","1,164,788,000","1,229,720,000","1,266,378,000","1,015,434,000","894,791,000","911,894,000","786,563,000","762,339,000","675,617,000","580,103,000","265,900,000","229,700,000","168,700,000","121,400,000","83,500,000","39,300,000","16,100,000"
	OperatingRevenue,"20,429,000,000","19,409,000,000","17,606,000,000","15,785,000,000","12,868,000,000","11,171,000,000","9,030,000,000","7,301,505,000","5,854,430,000","4,795,511,000","4,147,065,000","4,055,240,000","4,403,677,000","4,216,258,000","3,800,000,000","2,945,853,000","3,579,889,000","3,157,881,000","2,575,300,000","1,966,321,000","1,666,581,000","1,294,749,000","1,164,788,000","1,229,720,000","1,266,378,000","1,015,434,000","894,791,000","911,894,000","786,563,000","762,339,000","675,617,000","580,103,000","265,900,000","229,700,000","168,700,000","121,400,000","83,500,000","39,300,000","16,100,000"
CostOfRevenue,"2,402,000,000","2,354,000,000","2,165,000,000","1,865,000,000","1,722,000,000","1,673,000,000","1,195,000,000","1,010,491,000","819,908,000","744,317,000","622,080,000","586,557,000","483,782,000","437,873,000","403,502,000","296,732,000","362,630,000","354,694,000","292,457,000","112,578,000","104,378,000","93,022,000","104,288,000","81,451,000","87,255,000","94,540,000","101,034,000","116,188,000","141,147,000","130,301,000","122,023,000","107,792,000","29,400,000","61,700,000","39,400,000","13,800,000","11,400,000","8,100,000","900,000"
GrossProfit,"18,027,000,000","17,055,000,000","15,441,000,000","13,920,000,000","11,146,000,000","9,498,000,000","7,835,000,000","6,291,014,000","5,034,522,000","4,051,194,000","3,524,985,000","3,468,683,000","3,919,895,000","3,778,385,000","3,396,498,000","2,649,121,000","3,217,259,000","2,803,187,000","2,282,843,000","1,853,743,000","1,562,203,000","1,201,727,000","1,060,500,000","1,148,269,000","1,179,123,000","920,894,000","793,757,000","795,706,000","645,416,000","632,038,000","553,594,000","472,311,000","236,500,000","168,000,000","129,300,000","107,600,000","72,100,000","31,200,000","15,200,000"
OperatingExpense,"10,795,000,000","10,405,000,000","9,343,000,000","8,118,000,000","6,909,000,000","6,230,000,000","4,995,000,000","4,122,919,000","3,540,920,000","3,148,099,000","3,092,417,000","3,019,463,000","2,742,621,000","2,581,313,000","2,380,158,000","1,917,348,000","2,156,935,000","1,945,047,000","1,711,817,000","1,125,309,000","970,409,000","822,824,000","755,556,000","757,749,000","764,941,000","634,433,000","630,165,000","559,571,000","472,424,000","450,950,000","423,428,000","383,692,000","161,700,000","90,000,000","67,200,000","55,900,000","37,900,000","15,100,000","8,300,000"
	SellingGeneralAndAdministration,"6,934,000,000","6,764,000,000","6,187,000,000","5,406,000,000","4,559,000,000","4,125,000,000","3,366,000,000","2,822,298,000","2,486,399,000","2,216,720,000","2,195,640,000","2,140,578,000","1,951,141,000","1,800,427,000","1,627,696,000","1,280,652,000","1,426,632,000","1,259,370,000","1,102,260,000","759,981,000","659,113,000","545,844,000","488,501,000","519,346,000","517,716,000","432,127,000","434,159,000","391,146,000","317,006,000","301,239,000","295,302,000","272,994,000","142,700,000","74,800,000","56,100,000","50,300,000","34,600,000","13,500,000","7,600,000"
		GeneralAndAdministrativeExpense,"1,432,000,000","1,413,000,000","1,219,000,000","1,085,000,000","968,000,000","881,000,000","745,000,000","624,706,000","576,202,000","533,478,000","543,332,000","520,124,000","434,982,000","414,605,000","383,499,000","298,749,000","337,291,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,432,000,000","1,413,000,000","1,219,000,000","1,085,000,000","968,000,000","881,000,000","745,000,000","624,706,000","576,202,000","533,478,000","543,332,000","520,124,000","434,982,000","414,605,000","383,499,000","298,749,000","337,291,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"5,502,000,000","5,351,000,000","4,968,000,000","4,321,000,000","3,591,000,000","3,244,000,000","2,621,000,000","2,197,592,000","1,910,197,000","1,683,242,000","1,652,308,000","1,620,454,000","1,516,159,000","1,385,822,000","1,244,197,000","981,903,000","1,089,341,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"3,693,000,000","3,473,000,000","2,987,000,000","2,540,000,000","2,188,000,000","1,930,000,000","1,538,000,000","1,224,059,000","975,987,000","862,730,000","844,353,000","826,631,000","742,823,000","738,053,000","680,332,000","565,141,000","662,057,000","613,242,000","539,684,000","365,328,000","311,296,000","276,980,000","246,082,000","224,122,000","240,212,000","197,476,000","188,261,000","165,859,000","152,914,000","138,616,000","113,797,000","100,200,000",,,,,,,
