name,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
TotalAssets,"48,794,478,000","50,302,350,000","52,322,071,000","21,468,603,000","21,392,641,000","20,438,366,000","21,141,294,000","7,970,278,000","7,058,777,000","6,859,690,000","6,381,750,000","5,620,347,000","5,277,635,000","4,328,831,000","3,369,407,000","3,090,992,000","2,970,942,000","3,986,851,000","4,583,211,000","4,723,271,000","4,092,877,000","4,980,191,000","4,884,863,000","4,411,337,000","2,218,400,000","1,861,700,000","1,763,900,000","1,515,700,000","1,001,600,000","815,900,000","678,500,000","561,900,000","503,300,000","487,200,000","452,500,000","449,400,000","397,300,000","369,000,000","347,700,000"
	CurrentAssets,"4,384,022,000","4,937,992,000","5,378,317,000","2,517,688,000","1,985,126,000","2,112,126,000","2,351,338,000","4,974,863,000","4,079,548,000","3,811,886,000","5,472,425,000","4,696,185,000","4,386,348,000","3,478,999,000","2,490,636,000","2,089,577,000","1,978,852,000","3,011,302,000","3,732,456,000","3,495,945,000","2,885,716,000","3,624,225,000","3,434,919,000","3,168,014,000","1,379,100,000","903,500,000","895,400,000","820,300,000","526,000,000","505,500,000","403,200,000","297,000,000","248,900,000","232,400,000","223,000,000","221,300,000","176,500,000","161,700,000","151,900,000"
		CashCashEquivalentsAndShortTermInvestments,"958,061,000","1,470,572,000","1,977,964,000","1,055,860,000","648,322,000","816,591,000","1,047,838,000","4,055,793,000","3,028,928,000","2,866,468,000","4,682,912,000","3,900,378,000","3,592,462,000","2,687,768,000","1,815,973,000","1,309,686,000","1,081,207,000","2,128,334,000","2,705,942,000","2,684,970,000","2,116,743,000","2,898,023,000","2,793,227,000","2,235,265,000","762,500,000","263,300,000","340,600,000","210,100,000","151,100,000","181,800,000","80,700,000","17,700,000","16,500,000","8,300,000","30,100,000","22,700,000","5,800,000","6,300,000","11,300,000"
			CashAndCashEquivalents,"958,061,000","1,470,572,000","1,977,964,000","1,055,860,000","648,322,000","816,591,000","1,047,838,000","921,132,000","884,353,000","569,233,000","392,089,000","528,833,000","1,405,100,000","1,070,000,000","639,729,000","593,599,000","424,972,000","343,947,000","627,591,000","518,940,000","517,874,000","1,613,753,000","1,364,949,000","1,736,421,000","355,900,000","263,300,000","289,600,000","210,100,000","69,300,000","109,100,000","80,700,000","17,700,000","16,500,000","8,300,000","30,100,000","22,700,000","5,800,000","6,300,000","11,300,000"
				CashFinancial,"642,081,000","1,016,027,000","1,314,967,000","239,607,000","152,432,000","147,629,000","226,160,000","67,877,000","72,638,000","117,337,000","45,637,000","35,413,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"315,980,000","454,545,000","662,997,000","816,253,000","495,890,000","668,962,000","821,678,000","853,255,000","811,715,000","451,896,000","346,452,000","493,420,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,"0","3,134,661,000","2,144,575,000","2,297,235,000","4,290,823,000","3,371,545,000","2,187,362,000","1,617,768,000","1,176,244,000","716,087,000","656,235,000","1,784,387,000","2,078,351,000","2,166,030,000","1,598,869,000","1,284,270,000","1,428,278,000","498,844,000","406,600,000","41,600,000","51,000,000","89,800,000","81,800,000","72,700,000",,,,,,,,,
		Receivables,"1,469,734,000","1,800,462,000","1,459,056,000","737,536,000","635,136,000","639,717,000","688,953,000","477,609,000","466,527,000","396,605,000","325,144,000","339,881,000","348,416,000","387,169,000","301,036,000","315,290,000","323,777,000","305,761,000","320,523,000","330,183,000","294,781,000","228,338,000","218,151,000","463,912,000","267,100,000","207,400,000","255,900,000","241,800,000","181,300,000","162,300,000","145,700,000","111,700,000","95,100,000","97,600,000","81,700,000","87,900,000","76,300,000","65,600,000","56,500,000"
			AccountsReceivable,"1,469,734,000","1,800,462,000","1,459,056,000","737,536,000","635,136,000","639,717,000","688,953,000","477,609,000","466,527,000","396,605,000","325,144,000","339,881,000","348,416,000","387,169,000","301,036,000","315,290,000","323,777,000","305,761,000","320,523,000","330,183,000","294,781,000","228,338,000","218,151,000","463,912,000","267,100,000","207,400,000","255,900,000","241,800,000","181,300,000","162,300,000","145,700,000",,,,,,,,
				GrossAccountsReceivable,"1,472,497,000","1,805,033,000","1,461,714,000","741,886,000","643,523,000","642,001,000","696,166,000","482,726,000","468,608,000","399,524,000","327,737,000","342,602,000","349,881,000","388,750,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,763,000","-4,571,000","-2,658,000","-4,350,000","-8,387,000","-2,284,000","-7,213,000","-5,117,000","-2,081,000","-2,919,000","-2,593,000","-2,721,000","-1,465,000","-1,581,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,"2,721,000","1,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,"-2,721,000","-1,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,642,214,000","1,399,914,000","1,200,610,000","608,260,000","609,886,000","586,760,000","550,816,000","376,555,000","412,314,000","367,927,000","283,337,000","313,723,000","295,081,000","277,478,000","253,161,000","314,629,000","324,373,000","362,945,000","325,605,000","348,407,000","287,502,000","306,391,000","246,852,000","332,094,000","248,900,000","275,100,000","226,000,000","218,900,000","144,000,000","130,800,000","150,400,000","142,500,000","117,100,000","107,600,000","97,500,000","97,400,000","83,800,000","79,100,000","77,100,000"
			RawMaterials,"128,142,000","110,908,000","71,639,000","33,806,000","35,447,000","30,511,000","35,436,000","20,263,000","21,825,000","47,267,000","19,641,000","28,111,000","28,085,000","22,008,000","13,373,000","15,350,000","14,655,000","16,430,000","12,414,000","11,281,000","7,864,000","14,598,000","18,221,000","17,505,000","13,700,000","25,600,000","31,500,000","31,000,000","22,300,000","15,300,000",,,,,,,,,
			WorkInProcess,"1,125,819,000","904,648,000","858,627,000","443,690,000","400,409,000","375,908,000","376,476,000","232,196,000","261,520,000","216,765,000","175,155,000","185,773,000","170,398,000","171,390,000","173,696,000","200,436,000","224,211,000","255,233,000","240,064,000","226,106,000","217,963,000","225,680,000","159,463,000","179,918,000","150,400,000","142,100,000","128,200,000","115,800,000","77,500,000","69,800,000",,,,,,,,,
			FinishedGoods,"388,253,000","384,358,000","270,344,000","130,764,000","174,030,000","180,341,000","138,904,000","124,096,000","128,969,000","103,895,000","88,541,000","99,839,000","96,598,000","84,080,000","66,092,000","98,843,000","85,507,000","91,282,000","73,127,000","111,020,000","61,675,000","66,113,000","69,168,000","134,671,000","84,800,000","107,300,000","66,300,000","72,000,000","44,100,000","45,700,000",,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,"100,000","100,000",,,,,,,,,,
		PrepaidAssets,,"267,044,000","740,687,000","116,032,000","91,782,000","69,058,000","63,731,000","64,906,000","42,538,000","51,952,000","44,733,000","51,868,000","68,218,000","51,874,000","40,363,000","40,460,000","50,130,000","82,770,000","59,580,000","56,654,000","42,441,000","38,921,000","37,271,000","27,754,000","10,800,000","18,000,000","18,200,000","14,700,000","10,000,000","5,000,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,,,"0","129,241,000","128,934,000","136,299,000","90,335,000","82,171,000","74,710,000","80,103,000","102,676,000","110,675,000","91,045,000","86,430,000","70,343,000","144,249,000","152,552,000","139,418,000","108,989,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","129,241,000","128,934,000","136,299,000","90,335,000","82,171,000","74,710,000","78,740,000","102,676,000","110,675,000","91,045,000","86,430,000","70,343,000","144,249,000","152,552,000","139,418,000","108,989,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"314,013,000","267,044,000",,,,,,,,,,,,,"253,161,000","6,836,000","88,690,000","40,447,000","234,376,000","5,388,000",,,,"108,989,000","100,600,000","157,700,000","54,700,000","149,500,000","39,600,000","25,600,000","26,400,000","25,100,000","20,200,000","18,900,000","13,700,000","13,300,000","10,600,000","10,700,000","7,000,000"
	TotalNonCurrentAssets,"44,410,456,000","45,364,358,000","46,943,754,000","18,950,915,000","19,407,515,000","18,326,240,000","18,789,956,000","2,995,415,000","2,979,229,000","3,047,804,000","909,325,000","924,162,000","891,287,000","849,832,000","878,771,000","1,001,415,000","992,090,000","975,549,000","850,755,000","1,227,326,000","1,207,161,000","1,355,966,000","1,449,944,000","1,243,323,000","839,300,000","958,200,000","868,500,000","695,400,000","475,600,000","310,400,000","275,300,000","264,900,000","254,400,000","254,800,000","229,500,000","228,100,000","220,800,000","207,300,000","195,800,000"
		NetPPE,"3,219,157,000","2,401,304,000","1,979,051,000","1,120,561,000","1,219,989,000","1,154,328,000","1,107,304,000","636,116,000","644,110,000","622,422,000","508,171,000","500,867,000","478,839,000","472,665,000","476,516,000","567,439,000","556,075,000","554,941,000","599,906,000","667,779,000","671,140,000","780,904,000","907,942,000","779,226,000","642,800,000","703,400,000","661,600,000","583,300,000","432,000,000","281,800,000","248,400,000","237,400,000","224,000,000","223,900,000","208,700,000","200,700,000","186,200,000","173,200,000","160,800,000"
			GrossPPE,"6,643,932,000","5,549,507,000","4,935,297,000","3,885,656,000","3,811,257,000","3,527,825,000","3,304,427,000","2,676,878,000","2,602,095,000","2,478,348,000","2,292,894,000","2,228,151,000","2,136,901,000","2,101,545,000","2,030,114,000","2,019,489,000","1,924,642,000","1,886,423,000","1,860,814,000","1,815,344,000","1,781,715,000","1,905,468,000","1,965,557,000","1,706,762,000","1,438,100,000","1,367,400,000","1,230,600,000","1,067,200,000","856,300,000","658,900,000","591,900,000","531,300,000","475,600,000","452,800,000","395,300,000","359,300,000","315,700,000","271,300,000","235,800,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,
				LandAndImprovements,"1,715,572,000","1,459,981,000","1,392,364,000","974,604,000","956,099,000","873,186,000","794,456,000","564,329,000","559,660,000","495,738,000","458,853,000","447,818,000","430,453,000","401,277,000","395,151,000","378,187,000","372,162,000","353,912,000","345,103,000","301,439,000","294,349,000","294,037,000","294,598,000","238,550,000","166,100,000","158,800,000","146,000,000","140,800,000","139,700,000","111,900,000",,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,"65,247,000","62,883,000","107,524,000","108,345,000","106,826,000","118,054,000","131,113,000","130,528,000","120,710,000",,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"4,751,047,000","3,970,670,000","3,375,310,000","2,753,137,000","2,694,983,000","2,554,265,000","2,434,708,000","2,052,900,000","1,986,826,000","1,931,828,000","1,783,171,000","1,731,703,000","1,658,110,000","1,634,942,000","1,568,116,000","1,576,055,000","1,489,597,000","1,424,987,000","1,407,366,000","1,407,079,000","1,369,312,000","1,480,318,000","1,540,431,000","1,347,502,000","1,163,500,000","1,105,200,000","997,300,000","846,400,000","674,400,000","514,000,000",,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,"120,710,000","108,500,000","103,400,000","87,300,000","80,000,000","42,200,000","33,000,000",,,,,,,,,
				Leases,"177,313,000","118,856,000","167,623,000","157,915,000","160,175,000","100,374,000","75,263,000","59,649,000","55,609,000","50,782,000","50,870,000","48,630,000","48,338,000","65,326,000","66,847,000",,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-3,424,775,000","-3,148,203,000","-2,956,246,000","-2,765,095,000","-2,591,268,000","-2,373,497,000","-2,197,123,000","-2,040,762,000","-1,957,985,000","-1,855,926,000","-1,784,723,000","-1,727,284,000","-1,658,062,000","-1,628,880,000","-1,553,598,000","-1,452,050,000","-1,368,567,000","-1,331,482,000","-1,260,908,000","-1,147,565,000","-1,110,575,000","-1,124,564,000","-1,057,615,000","-927,536,000","-795,300,000","-664,000,000","-569,000,000","-483,900,000","-424,300,000","-377,100,000","-343,500,000","-293,900,000","-251,600,000","-228,900,000","-186,600,000","-158,600,000","-129,500,000","-98,100,000","-75,000,000"
