name,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"54,362,700,000","50,971,000,000","63,068,200,000","48,772,500,000","39,165,500,000","41,887,700,000","38,849,100,000","37,180,000,000","43,670,000,000","33,110,500,000","32,059,800,000","32,268,100,000","30,817,400,000","34,238,300,000","26,862,200,000","25,351,700,000","23,734,400,000","26,648,900,000","27,490,100,000","27,615,400,000","21,120,559,000","19,833,671,000","18,276,522,000","17,889,090,000","16,850,816,000","12,839,553,000","5,242,900,000","4,382,800,000","3,839,900,000","3,201,100,000","2,705,600,000","2,439,400,000","2,169,300,000","1,564,900,000","1,692,300,000","1,679,300,000","1,653,500,000","1,444,900,000","1,313,400,000"
	CurrentAssets,"45,542,500,000","42,170,600,000","54,804,900,000","40,741,800,000","31,564,100,000","34,342,300,000","31,823,300,000","32,658,700,000","39,500,400,000","28,809,200,000","27,493,000,000","26,214,500,000","25,272,600,000","28,583,500,000","22,316,700,000","20,705,500,000","18,808,900,000","3,364,200,000","5,482,800,000","4,869,900,000","2,761,589,000","3,675,501,000","2,817,257,000","3,083,460,000","3,064,452,000","2,194,257,000","1,880,500,000","1,805,300,000","1,454,300,000","1,211,100,000","985,400,000","771,300,000","733,700,000","621,800,000","735,100,000","728,400,000","831,900,000","754,900,000","769,500,000"
		CashCashEquivalentsAndShortTermInvestments,"2,913,400,000","2,083,500,000","1,436,300,000","2,575,200,000","1,908,500,000","1,959,700,000","2,170,000,000","2,780,400,000","3,191,100,000","1,665,900,000","3,616,200,000","1,727,100,000","1,578,500,000","1,425,700,000","1,671,200,000","2,296,100,000","1,583,800,000","1,816,500,000","2,127,600,000","1,549,400,000","1,129,075,000","2,005,384,000","1,475,815,000","1,790,601,000","1,824,429,000","1,092,494,000","908,000,000","590,600,000","314,400,000","313,600,000","238,600,000","180,800,000","304,000,000","139,100,000","247,900,000","240,500,000","526,400,000","480,900,000","505,900,000"
			CashAndCashEquivalents,"2,913,400,000","2,083,500,000","1,436,300,000","2,575,200,000","1,908,500,000","1,949,200,000","2,170,000,000","2,780,400,000","3,191,100,000","1,639,300,000","1,584,000,000","1,699,100,000","1,548,100,000","1,389,400,000","1,643,300,000","2,265,300,000","917,500,000","1,746,100,000","1,800,100,000","853,600,000","712,998,000","1,410,218,000","798,810,000","1,275,356,000","1,227,637,000","861,280,000","763,100,000","590,600,000","314,400,000","313,600,000","238,600,000","180,800,000","304,000,000","139,100,000","247,900,000","240,500,000","526,400,000","480,900,000","505,900,000"
			OtherShortTermInvestments,,"14,700,000","47,000,000",,"0","10,500,000",,,"23,500,000","26,600,000","2,032,200,000","28,000,000","30,400,000","36,300,000","27,900,000","30,800,000","666,300,000","70,400,000","327,500,000","695,800,000","416,077,000","595,166,000","677,005,000","515,245,000","596,792,000","231,214,000","144,900,000",,,,,,,,,,,,
		Receivables,"3,428,200,000","3,009,600,000","3,170,600,000","2,727,400,000","2,441,300,000","2,439,300,000","1,984,200,000","1,703,600,000","1,742,800,000","1,546,900,000","1,498,800,000","1,595,300,000","1,391,700,000","1,364,800,000","1,127,700,000","1,050,700,000","1,034,600,000","1,041,900,000","752,200,000","2,086,900,000","1,057,938,000","1,005,833,000","1,045,170,000","976,638,000","899,314,000","860,836,000","751,600,000","605,100,000","507,200,000","377,100,000","298,100,000","294,300,000","243,600,000","225,400,000","262,000,000","240,700,000","206,700,000","182,300,000","164,500,000"
			AccountsReceivable,"3,428,200,000","3,009,600,000","3,170,600,000","2,727,400,000","2,441,300,000","2,439,300,000","1,984,200,000","1,703,600,000","1,742,800,000","1,546,900,000","1,414,700,000","1,516,200,000","1,315,000,000","1,288,400,000","1,036,700,000","1,050,700,000","1,034,600,000","1,041,900,000","752,200,000","1,121,700,000","1,057,938,000","1,005,833,000","1,045,170,000","976,638,000","899,314,000","860,836,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"3,480,400,000","3,062,600,000","3,227,400,000","2,807,000,000","2,533,800,000","2,494,200,000","2,035,500,000","1,753,200,000","1,780,900,000","1,582,400,000","1,452,700,000","1,561,100,000","1,355,700,000","1,333,200,000","1,076,300,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-52,200,000","-53,000,000","-56,800,000","-79,600,000","-92,500,000","-54,900,000","-51,300,000","-49,600,000","-38,100,000","-35,500,000","-38,000,000","-44,900,000","-40,700,000","-44,800,000","-39,600,000",,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,"17,400,000","84,100,000","79,100,000","76,700,000","76,400,000","100,900,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"836,800,000","965,200,000",,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,"-8,400,000","-9,900,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,700,000","38,600,000","29,600,000","29,600,000","29,700,000"
		RestrictedCash,"37,996,100,000","36,333,600,000","49,569,200,000","34,905,800,000","26,708,100,000","29,434,200,000","27,137,800,000","27,291,500,000","33,841,200,000","24,865,300,000","19,258,000,000","22,228,800,000","21,539,100,000","25,135,600,000","18,832,600,000",,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"0","2,430,200,000","16,700,000","131,700,000","9,100,000","11,800,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,204,800,000","743,900,000","628,800,000","533,400,000","506,200,000","509,100,000","531,300,000","883,200,000","725,300,000","731,100,000","689,800,000","646,600,000","631,600,000","648,300,000","673,400,000","17,358,700,000","16,190,500,000","505,800,000","2,603,000,000","1,233,600,000","574,576,000","664,284,000","296,272,000","316,221,000","340,709,000","240,927,000","220,900,000","609,600,000","632,700,000","520,400,000","448,700,000","296,200,000","186,100,000","257,300,000","189,500,000","208,600,000","69,200,000","62,100,000","69,400,000"
	TotalNonCurrentAssets,"8,820,200,000","8,800,400,000","8,263,300,000","8,030,700,000","7,601,400,000","7,545,400,000","7,025,800,000","4,521,300,000","4,169,600,000","4,301,300,000","4,566,800,000","6,053,600,000","5,544,800,000","5,654,800,000","4,545,500,000","4,646,200,000","4,925,500,000","23,284,700,000","22,007,300,000","22,745,500,000","18,358,970,000","16,158,170,000","15,459,265,000","14,805,630,000","13,786,364,000","10,645,296,000","3,362,400,000","2,577,500,000","2,385,600,000","1,990,000,000","1,720,200,000","1,668,100,000","1,435,600,000","943,100,000","957,200,000","950,900,000","821,600,000","690,000,000","543,900,000"
		NetPPE,"1,056,200,000","1,083,800,000","1,103,500,000","1,146,700,000","1,197,600,000","764,200,000","793,700,000","779,900,000","685,000,000","672,700,000","667,100,000","728,600,000","706,300,000","716,200,000","673,800,000","734,300,000","742,900,000","723,800,000","700,000,000","637,900,000","642,353,000","614,701,000","596,451,000","614,650,000","597,269,000","579,294,000","590,300,000","519,300,000","468,300,000","416,000,000","395,800,000","361,200,000","356,600,000","372,300,000","400,300,000","432,800,000","422,300,000","350,100,000","363,600,000"
			GrossPPE,"2,873,900,000","2,841,400,000","2,732,600,000","2,706,700,000","2,722,400,000","2,181,800,000","2,136,300,000","2,031,400,000","1,840,800,000","1,776,400,000","1,718,700,000","2,040,700,000","1,956,500,000","1,951,700,000","1,828,800,000","1,908,900,000","1,869,400,000","1,744,300,000","1,634,600,000","1,703,000,000","1,891,180,000","1,861,177,000","1,695,524,000","1,644,634,000","1,549,984,000","1,400,808,000","1,526,600,000","1,351,700,000","1,232,600,000","1,098,200,000","1,001,200,000","911,900,000","943,300,000","909,900,000","914,500,000","915,100,000","882,300,000","749,700,000","706,100,000"
				Properties,"648,100,000","682,200,000","675,000,000","686,500,000","737,200,000","781,200,000","791,800,000","778,100,000","745,700,000","730,600,000","705,900,000","731,700,000","710,400,000","698,400,000","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,"698,400,000","700,100,000","721,100,000","714,300,000","684,500,000","640,900,000","506,700,000","518,134,000","477,682,000","458,478,000","457,110,000",,,,,,,,,,,,,,,
