name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997
TotalRevenue,"66,218,000","66,218,000","64,961,000","50,829,000","16,600,000","22,291,000","21,056,000","29,555,000","18,898,000","14,501,000","10,018,000","19,684,000","16,488,000","15,521,000","13,737,000","11,674,000","21,407,000","39,041,000","27,351,000","23,801,000","16,080,000","15,800,000","15,092,000","12,568,000","31,039,000","24,505,000","18,146,000","40,805,000","42,020,000"
	OperatingRevenue,"66,218,000","66,218,000","64,961,000","50,829,000","16,600,000","22,291,000","21,056,000","29,555,000","18,898,000","14,501,000","10,018,000","19,684,000","16,488,000","15,521,000","13,737,000","11,674,000","21,407,000","39,041,000","27,351,000","23,801,000","16,080,000","15,800,000","15,092,000","12,568,000","31,039,000","24,505,000","18,146,000","40,805,000","42,020,000"
CostOfRevenue,"33,675,000","33,675,000","32,215,000","27,164,000","10,568,000","13,920,000","13,454,000","17,169,000","12,118,000","9,356,000","6,180,000","9,462,000","9,712,000","9,314,000","8,225,000","5,571,000","20,223,000","19,072,000","13,438,000","13,165,000","11,817,000","10,092,000","9,354,000","6,488,000","17,923,000","17,267,000","12,201,000","24,359,000","25,715,000"
GrossProfit,"32,543,000","32,543,000","32,746,000","23,665,000","6,032,000","8,371,000","7,602,000","12,386,000","6,780,000","5,145,000","3,838,000","10,222,000","6,776,000","6,207,000","5,512,000","6,103,000","1,184,000","19,969,000","13,913,000","10,636,000","4,263,000","5,708,000","5,738,000","6,080,000","13,116,000","7,238,000","5,945,000","16,446,000","16,305,000"
OperatingExpense,"22,465,000","22,465,000","19,371,000","15,865,000","10,214,000","10,916,000","11,877,000","11,471,000","11,709,000","11,299,000","10,532,000","9,725,000","10,083,000","10,714,000","9,699,000","6,859,000","26,385,000","14,158,000","12,862,000","10,181,000","9,238,000","10,217,000","10,462,000","10,583,000","11,644,000","12,431,000","10,577,000","12,247,000","12,621,000"
	SellingGeneralAndAdministration,"13,746,000","13,746,000","12,237,000","10,047,000","6,562,000","7,530,000","7,724,000","7,290,000","7,052,000","6,975,000","6,470,000","6,323,000","6,872,000","6,526,000","5,964,000","6,094,000","20,623,000","7,657,000","6,538,000","5,842,000","5,215,000","5,572,000","5,919,000","6,547,000","7,262,000","7,930,000","6,892,000","8,618,000","8,878,000"
	ResearchAndDevelopment,"8,719,000","8,719,000","7,134,000","5,818,000","3,652,000","3,386,000","4,153,000","4,181,000","4,657,000","4,324,000","4,062,000","3,402,000","3,211,000","4,188,000","4,567,000","4,758,000","5,762,000","6,501,000","6,324,000","4,339,000","4,023,000","4,645,000","4,543,000","4,036,000","4,382,000","4,501,000","3,685,000","3,629,000","3,743,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-832,000","-3,993,000",,,,,,,,,,,,,
OperatingIncome,"10,078,000","10,078,000","13,375,000","7,800,000","-4,182,000","-2,545,000","-4,275,000","915,000","-4,929,000","-6,154,000","-6,694,000","497,000","-3,307,000","-4,507,000","-4,187,000","-756,000","-25,201,000","5,811,000","1,051,000","455,000","-4,975,000","-4,509,000","-4,724,000","-4,503,000","1,472,000","-5,193,000","-4,632,000","4,199,000","3,684,000"
NetNonOperatingInterestIncomeExpense,"2,388,000","2,388,000","1,245,000","13,000","-46,000","10,000","-252,000","-399,000","-678,000","-605,000","-130,000","-26,000","-49,000","-4,000","3,000","5,000","142,000",,,,,,,,,,,,
	InterestIncomeNonOperating,"2,388,000","2,388,000","1,245,000","13,000",,,,,,,,,,"0","3,000","5,000","142,000",,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,"252,000","399,000","678,000","605,000","130,000","26,000","49,000","4,000",,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,"-1,245,000","-13,000","46,000","-10,000","252,000","399,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-8,000","-8,000","-3,000","1,728,000","2,024,000","-231,000","-681,000","-61,000","-21,000","-16,000","211,000","-64,000","-33,000","1,107,000","762,000","131,000","3,000","-71,000","961,000","79,000","86,000","293,000","-146,000","-43,000","98,000","498,000","441,000","-364,000","-565,000"
	GainOnSaleOfSecurity,,,"-3,000","32,000","-111,000","-12,000","43,000","-63,000","-21,000",,,"-47,000","-36,000","1,107,000","710,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","1,698,000","2,186,000","-220,000","-725,000","0",,,,,,"1,107,000","762,000","131,000","3,000","-71,000","961,000","79,000","86,000","293,000","-146,000","-43,000","98,000","498,000","441,000","-364,000","-565,000"
		RestructuringAndMergernAcquisition,,,,"0","0","220,000","725,000","0",,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,"0","0","274,000",,,,,,,,,,,,
		OtherSpecialCharges,,,,"-1,698,000",,,,,,,,,,,"-762,000","-131,000","-277,000",,,,,,,,,,,,
		GainOnSaleOfBusiness,,,"0","0","2,186,000","0","0",,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,"2,186,000","0","0",,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-8,000","-8,000","-3,000","30,000","-51,000","1,000","1,000","2,000","-21,000","-16,000","211,000","-64,000","-33,000",,"52,000",,,,,,,,,,,,,,
PretaxIncome,"12,458,000","12,458,000","14,617,000","9,541,000","-2,204,000","-2,766,000","-5,208,000","455,000","-5,628,000","-6,775,000","-6,613,000","407,000","-3,389,000","-3,404,000","-3,422,000","-620,000","-25,056,000","5,971,000","2,503,000","789,000","-4,734,000","-3,883,000","-4,618,000","-4,026,000","2,534,000","-3,721,000","-3,007,000","4,739,000","2,542,000"
