name,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
TotalRevenue,"26,854,000,000","26,517,000,000","25,785,000,000","23,063,000,000","17,202,000,000","14,608,000,000","16,705,000,000","14,698,000,000","10,825,000,000","9,659,000,000","9,072,000,000","7,509,000,000","8,719,000,000","10,517,000,000","9,549,000,000","5,013,607,000","8,129,240,000","9,734,856,000","9,167,014,000","6,991,823,000","8,013,053,000","4,477,291,000","5,062,312,000","7,343,248,000","9,564,412,000","5,096,302,000","4,330,014,000","4,074,300,000","4,144,800,000","3,061,900,000","1,659,800,000","1,080,000,000","751,400,000","638,600,000","567,100,000","501,800,000","362,800,000","174,400,000","149,300,000","174,600,000"
	OperatingRevenue,"26,854,000,000","26,517,000,000","25,785,000,000","23,063,000,000","17,202,000,000","14,608,000,000","16,705,000,000","14,698,000,000","10,825,000,000","9,659,000,000","9,072,000,000","7,509,000,000","8,719,000,000","10,517,000,000","9,549,000,000","5,013,607,000","8,129,240,000","9,734,856,000","9,167,014,000","6,991,823,000","8,013,053,000","4,477,291,000","5,062,312,000","7,343,248,000","9,564,412,000","5,096,302,000","4,330,014,000","4,074,300,000","4,144,800,000","3,061,900,000","1,659,800,000","1,080,000,000","751,400,000","638,600,000","567,100,000","501,800,000","362,800,000","174,400,000","149,300,000","174,600,000"
CostOfRevenue,"14,123,000,000","14,133,000,000","13,792,000,000","12,149,000,000","9,510,000,000","8,222,000,000","9,188,000,000","8,086,000,000","6,314,000,000","5,707,000,000","5,229,000,000","4,518,000,000","5,406,000,000","6,157,000,000","5,834,000,000","3,582,802,000","4,686,412,000","5,242,413,000","4,875,212,000","3,905,949,000","4,311,808,000","2,872,836,000","3,005,651,000","4,091,215,000","4,708,684,000","2,388,674,000","2,020,202,000","2,173,400,000","2,046,200,000","1,652,000,000","891,500,000","565,500,000","414,300,000","345,500,000","286,000,000","245,400,000","180,700,000","93,800,000","81,100,000","89,000,000"
GrossProfit,"12,731,000,000","12,384,000,000","11,993,000,000","10,914,000,000","7,692,000,000","6,386,000,000","7,517,000,000","6,612,000,000","4,511,000,000","3,952,000,000","3,843,000,000","2,991,000,000","3,313,000,000","4,360,000,000","3,715,000,000","1,430,805,000","3,442,828,000","4,492,443,000","4,291,802,000","3,085,874,000","3,701,245,000","1,604,455,000","2,056,661,000","3,252,033,000","4,855,728,000","2,707,628,000","2,309,812,000","1,900,900,000","2,098,600,000","1,409,900,000","768,300,000","514,500,000","337,100,000","293,100,000","281,100,000","256,400,000","182,100,000","80,600,000","68,200,000","85,600,000"
OperatingExpense,"4,939,000,000","4,730,000,000","4,209,000,000","3,714,000,000","3,327,000,000","3,036,000,000","3,026,000,000","2,676,000,000","2,359,000,000","2,348,000,000","2,353,000,000","2,211,000,000","2,313,000,000","2,019,000,000","2,085,000,000","1,668,633,000","2,069,286,000","2,094,516,000","2,631,724,000","1,637,909,000","1,770,121,000","1,546,483,000","1,761,224,000","2,321,887,000","1,907,884,000","1,723,819,000","1,617,101,000","1,150,500,000","1,170,000,000","715,900,000","429,100,000","350,700,000","264,500,000","240,400,000","222,200,000","172,900,000","111,500,000","78,600,000","64,200,000","69,500,000"
	SellingGeneralAndAdministration,"1,775,000,000","1,628,000,000","1,438,000,000","1,229,000,000","1,093,000,000","982,000,000","1,004,000,000","895,000,000","819,000,000","897,000,000","925,000,000","891,000,000","1,076,000,000","901,000,000","942,000,000","734,518,000","965,164,000","952,443,000","906,742,000","697,402,000","751,621,000","625,865,000","708,955,000","901,924,000","960,753,000","695,296,000","626,311,000","566,600,000","1,021,100,000","386,200,000","242,000,000","311,800,000","235,600,000","215,900,000","206,200,000","161,200,000","100,100,000","69,300,000","56,400,000","64,300,000"
		GeneralAndAdministrativeExpense,"962,000,000","852,000,000","735,000,000","620,000,000","567,000,000","461,000,000","483,000,000","438,000,000","390,000,000","469,000,000","502,000,000","458,000,000","595,000,000","469,000,000","535,820,000","406,946,000","505,762,000","501,185,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"962,000,000","852,000,000","735,000,000","620,000,000","567,000,000","461,000,000","483,000,000","438,000,000","390,000,000","469,000,000","502,000,000","458,000,000","595,000,000","469,000,000","535,820,000","406,946,000","505,762,000","501,185,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"813,000,000","776,000,000","703,000,000","609,000,000","526,000,000","521,000,000","521,000,000","457,000,000","429,000,000","428,000,000","423,000,000","433,000,000","481,000,000","432,000,000","406,028,000","327,572,000","459,402,000","451,258,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"3,164,000,000","3,102,000,000","2,771,000,000","2,485,000,000","2,234,000,000","2,054,000,000","2,022,000,000","1,781,000,000","1,540,000,000","1,451,000,000","1,428,000,000","1,320,000,000","1,237,000,000","1,118,000,000","1,143,000,000","934,115,000","1,104,122,000","1,142,073,000","1,152,326,000","940,507,000","991,873,000","920,618,000","1,052,269,000","1,198,799,000","1,107,922,000","740,114,000","697,291,000","567,600,000","481,400,000","329,700,000","189,100,000",,,,,,,,,
