name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"9,946,806,000","6,775,410,000","5,734,429,000","4,738,919,000","4,185,290,000","3,081,983,000","2,460,860,000","1,729,007,000","1,159,890,000","811,023,000","364,520,000","220,168,000"
	CurrentAssets,"8,390,235,000","5,550,748,000","4,812,676,000","3,836,998,000","3,471,636,000","2,714,802,000","2,266,429,000","1,526,126,000","974,328,000","679,479,000","282,766,000","177,172,000"
		CashCashEquivalentsAndShortTermInvestments,"5,007,968,000","3,023,729,000","3,408,315,000","2,872,868,000","2,724,368,000","1,956,147,000","1,535,555,000","867,833,000","687,326,000","449,457,000","117,664,000","88,655,000"
			CashAndCashEquivalents,"1,938,606,000","671,707,000","620,813,000","893,219,000","1,111,286,000","649,950,000","859,192,000","567,923,000","687,326,000","240,031,000","113,664,000","88,655,000"
				CashFinancial,,,,,,,,,,,"66,628,000","47,644,000"
				CashEquivalents,,,,,,,,,,,"47,036,000","41,011,000"
			OtherShortTermInvestments,"3,069,362,000","2,352,022,000","2,787,502,000","1,979,649,000","1,613,082,000","1,306,197,000","676,363,000","299,910,000","0","209,426,000","4,000,000",
		Receivables,"1,024,569,000","923,096,000","516,509,000","389,540,000","391,987,000","331,777,000","247,346,000","253,119,000","144,263,000","96,982,000","77,999,000","50,902,000"
			AccountsReceivable,"1,024,569,000","923,096,000","516,509,000","389,540,000","391,987,000","331,777,000","247,346,000","253,119,000","144,263,000","96,982,000","77,999,000","49,902,000"
				GrossAccountsReceivable,"1,034,480,000","928,490,000","521,597,000","394,037,000","398,147,000","340,897,000","254,881,000","254,640,000","145,792,000","100,076,000","80,338,000","51,186,000"
				AllowanceForDoubtfulAccountsReceivable,"-9,911,000","-5,394,000","-5,088,000","-4,497,000","-6,160,000","-9,120,000","-7,535,000","-1,521,000","-1,529,000","-3,094,000","-2,339,000","-1,284,000"
