name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"3,544,600,000","3,585,700,000","3,502,800,000","3,278,000,000","2,941,400,000","2,687,800,000","1,810,129,000","1,752,667,000","1,767,307,000","1,251,839,000","1,258,809,000","1,114,463,000","410,665,000","341,116,000","343,462,000","401,850,000","384,680,000","186,995,000","93,705,000","92,382,000","131,981,000","218,059,000","125,251,000","105,556,000","71,740,000","62,028,000","44,900,000","31,900,000","21,700,000","16,100,000","11,000,000","7,900,000","5,200,000"
	CurrentAssets,"973,300,000","981,100,000","1,309,400,000","994,400,000","791,500,000","686,300,000","499,523,000","437,524,000","414,208,000","366,026,000","350,437,000","312,397,000","131,114,000","95,646,000","94,192,000","144,723,000","129,852,000","155,925,000","64,627,000","58,646,000","67,904,000","71,524,000","116,323,000","94,982,000","63,062,000","51,800,000","40,800,000","28,100,000","16,500,000","12,600,000","9,600,000","7,000,000","4,500,000"
		CashCashEquivalentsAndShortTermInvestments,"175,900,000","70,300,000","529,600,000","274,400,000","95,200,000","41,800,000","36,667,000","27,044,000","23,869,000","28,860,000","37,350,000","27,479,000","17,739,000","18,409,000","25,974,000","46,271,000","37,764,000","105,483,000","20,487,000","22,787,000","35,134,000","33,990,000","88,580,000","63,122,000","35,271,000","27,700,000","18,300,000","11,100,000","3,400,000","1,500,000","2,000,000","2,700,000","1,100,000"
			CashAndCashEquivalents,"175,900,000","70,300,000","529,600,000","274,400,000","95,200,000","41,800,000","36,667,000","27,044,000","23,869,000","28,860,000","37,350,000","27,479,000","17,739,000","18,409,000","25,974,000","46,271,000","37,764,000","105,483,000","20,487,000","20,787,000","35,134,000","31,990,000","65,694,000","51,202,000","24,120,000","27,700,000","18,300,000","11,100,000","3,400,000","1,500,000","2,000,000","2,700,000","1,100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,"2,000,000",,"2,000,000","22,886,000","11,920,000","11,151,000",,,,,,,,
		Receivables,"778,300,000","893,500,000","749,400,000","625,300,000","678,100,000","640,200,000","459,830,000","407,190,000","380,732,000","303,824,000","292,086,000","270,482,000","100,570,000","66,073,000","50,173,000","78,370,000","78,840,000","39,126,000","35,892,000","32,753,000","26,456,000","30,296,000","22,905,000","27,679,000","23,861,000","18,600,000","15,200,000","12,300,000","8,300,000","10,100,000","7,200,000","3,800,000","3,100,000"
			AccountsReceivable,"741,500,000","853,600,000","708,200,000","602,800,000","648,700,000","613,800,000","428,536,000","386,858,000","354,808,000","277,146,000","262,200,000","245,201,000","93,925,000","62,518,000","50,173,000","78,370,000","78,840,000","39,107,000","35,325,000","27,051,000","25,416,000","30,296,000","22,782,000","27,679,000",,,,,,,,,
				GrossAccountsReceivable,"745,500,000","857,600,000","711,300,000","606,700,000","653,800,000","618,625,000","438,436,000","394,951,000","361,490,000","281,550,000","265,291,000","249,171,000","96,702,000","64,693,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,000,000","-4,000,000","-3,100,000","-3,900,000","-5,100,000","-4,800,000","-9,900,000","-8,093,000","-6,682,000","-4,404,000","-3,067,000","-3,970,000","-2,777,000","-2,175,000",,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"36,800,000","39,900,000","41,200,000","22,500,000","29,400,000","11,400,000","18,592,000","6,331,000","12,686,000","13,308,000","8,686,000","8,839,000","6,645,000","3,555,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,"13,800,000","15,000,000","12,702,000","14,001,000","13,238,000","13,370,000","21,200,000","16,442,000",,,,,,"19,000","567,000","5,702,000","1,040,000",,"123,000",,,,,,,,,,
		PrepaidAssets,,"39,900,000","41,200,000","22,500,000","29,400,000","11,400,000","18,592,000","6,331,000","12,686,000","13,308,000","8,686,000","8,839,000","6,645,000","974,000","8,325,000","8,573,000","4,156,000","2,630,000","3,017,000","2,720,000","2,862,000","1,653,000","2,030,000",,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,"4,678,000","4,878,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"19,067,000","17,530,000","10,147,000","9,271,000","8,784,000","7,507,000","9,347,000","8,018,000","3,624,000",,,"3,306,000","2,732,000","2,659,000",,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"19,067,000","17,530,000","10,147,000","9,271,000","8,784,000","7,507,000","9,347,000","8,018,000","3,624,000",,,"3,306,000","2,732,000","2,659,000",,,,,,,,,,
		AssetsHeldForSaleCurrent,,,"0","77,400,000",,,,,"0","31,032,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"19,100,000","17,300,000","30,400,000","17,300,000","18,200,000","4,300,000","3,026,000","3,290,000","9,607,000","2,310,000","3,471,000","4,289,000","3,534,000","1,406,000","2,213,000","2,162,000","1,074,000","384,000","353,000","386,000","146,000","2,853,000","149,000","4,181,000","3,930,000","5,500,000","7,300,000","4,700,000","4,800,000","1,000,000","400,000","500,000","300,000"
	TotalNonCurrentAssets,"2,571,300,000","2,604,600,000","2,193,400,000","2,283,600,000","2,149,900,000","2,001,500,000","1,310,606,000","1,315,143,000","1,353,099,000","885,813,000","908,372,000","802,066,000","279,551,000","245,470,000","249,270,000","257,127,000","254,828,000","31,070,000","29,078,000","33,736,000","64,077,000","146,535,000","8,928,000","10,574,000","8,678,000","10,228,000","4,100,000","3,800,000","5,200,000","3,500,000","1,400,000","900,000","700,000"
		NetPPE,"145,600,000","117,400,000","112,100,000","127,900,000","168,300,000","79,100,000","57,996,000","56,942,000","53,196,000","44,311,000","38,128,000","26,862,000","18,057,000","15,818,000","15,618,000","17,495,000","13,898,000","9,116,000","9,639,000","11,697,000","9,175,000","7,377,000","2,804,000","3,338,000","3,510,000","2,700,000","2,600,000","2,300,000","1,500,000","1,400,000","700,000","900,000","700,000"
			GrossPPE,"307,800,000","314,700,000","285,900,000","279,000,000","333,300,000","204,500,000","154,193,000","129,286,000","115,185,000","91,694,000","78,889,000","62,034,000","47,880,000","42,087,000","37,122,000","39,416,000","31,553,000","24,853,000","21,109,000","19,947,000","15,979,000","12,272,000","7,490,000","6,727,000","7,778,000","6,200,000","5,200,000","4,300,000","2,800,000","3,200,000","2,100,000","1,900,000","1,400,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,"3,919,000","3,667,000","2,075,000","1,623,000","1,578,000",,"1,520,000",,,,,,,,,,,
				MachineryFurnitureEquipment,"210,100,000","229,200,000","196,200,000","178,500,000","207,000,000","181,600,000","133,000,000","111,094,000","100,495,000","74,114,000","58,364,000","46,680,000","38,496,000","34,212,000","9,333,000","9,128,000","7,449,000","5,037,000","17,960,000","16,584,000","4,801,000","7,349,000","6,151,000",,,,,,,,,,
				OtherProperties,"64,200,000","51,100,000","57,100,000","73,000,000","94,600,000",,,,,,,,,"24,649,000","19,688,000","22,773,000","17,753,000","16,209,000",,,"10,717,000",,"1,302,000",,,,,,,,,,
				ConstructionInProgress,"6,500,000","7,400,000","8,200,000","3,600,000","7,000,000","3,700,000","4,565,000","5,522,000","4,139,000","11,943,000","14,466,000","9,937,000","4,751,000","4,412,000","4,579,000","3,596,000","2,684,000","1,532,000","1,526,000","1,785,000","461,000","3,403,000","37,000",,,,,,,,,,
				Leases,"27,000,000","27,000,000","24,400,000","23,900,000","24,700,000","19,200,000","16,628,000","12,670,000","10,551,000","5,637,000","6,059,000","5,417,000","4,633,000","3,463,000","3,522,000","3,919,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-162,200,000","-197,300,000","-173,800,000","-151,100,000","-165,000,000","-125,400,000","-96,197,000","-72,344,000","-61,989,000","-47,383,000","-40,761,000","-35,172,000","-29,823,000","-26,269,000","-21,504,000","-21,921,000","-17,655,000","-15,737,000","-11,470,000","-8,250,000","-6,804,000","-4,895,000","-4,686,000","-3,389,000","-4,268,000","-3,500,000","-2,600,000","-2,000,000","-1,300,000","-1,800,000","-1,400,000","-1,000,000","-700,000"
		GoodwillAndOtherIntangibleAssets,"2,392,000,000","2,461,600,000","2,057,400,000","1,890,600,000","1,963,400,000","1,909,800,000","1,246,861,000","1,251,243,000","1,292,831,000","762,669,000","860,918,000","759,998,000","259,440,000","224,890,000","228,337,000","234,205,000","234,516,000","17,776,000","18,152,000","19,798,000","52,808,000","137,313,000","1,542,000","1,693,000","1,468,000","1,200,000","500,000","600,000","600,000","700,000",,,
			Goodwill,"1,894,100,000","1,892,000,000","1,569,500,000","1,420,700,000","1,486,900,000","1,421,100,000","894,095,000","873,513,000","874,906,000","512,060,000","573,063,000","496,158,000","229,234,000","199,720,000","202,814,000","202,777,000","193,552,000","17,109,000","16,596,000",,,,,,,,,,,,,,
			OtherIntangibleAssets,"497,900,000","569,600,000","487,900,000","469,900,000","476,500,000","488,700,000","352,766,000","377,730,000","417,925,000","250,609,000","287,855,000","263,840,000","30,206,000","25,170,000","25,523,000","31,428,000","40,964,000","667,000","1,556,000","19,798,000","52,808,000","137,313,000","1,542,000","1,693,000","1,468,000","1,200,000","500,000","600,000","600,000","700,000",,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,"865,000",,,,,"454,000",,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"865,000",,,,,"454,000",,,,,,,,,,
		OtherNonCurrentAssets,"33,700,000","25,600,000","23,900,000","265,100,000","18,200,000","12,600,000","5,749,000","6,958,000","7,072,000","78,833,000","9,326,000","15,206,000","2,054,000","4,762,000","5,315,000","5,427,000","6,414,000","3,313,000","1,287,000","2,241,000","2,094,000","1,845,000","4,128,000","5,543,000","3,700,000","6,328,000","1,000,000","900,000","3,100,000","1,400,000","700,000",,
TotalLiabilitiesNetMinorityInterest,"1,652,500,000","1,684,400,000","1,637,400,000","1,690,900,000","1,565,200,000","1,505,700,000","818,738,000","883,728,000","982,513,000","617,431,000","618,676,000","581,740,000","163,922,000","121,629,000","116,801,000","183,336,000","191,646,000","21,051,000","17,068,000","17,911,000","16,096,000","17,012,000","10,472,000","10,265,000","8,293,000","7,828,000","5,600,000","4,300,000","2,600,000","2,300,000","1,200,000","1,000,000","1,300,000"
	CurrentLiabilities,"394,100,000","441,900,000","450,900,000","416,200,000","340,900,000","308,200,000","166,717,000","162,499,000","160,350,000","164,755,000","168,295,000","135,169,000","56,409,000","45,050,000","31,954,000","53,531,000","50,843,000","20,424,000","16,998,000","17,689,000","14,646,000","14,371,000","10,472,000","10,265,000","8,293,000","7,800,000","5,600,000","4,200,000","2,600,000","2,300,000","1,200,000","1,000,000","1,300,000"
