name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
OperatingCashFlow,"4,996,600,000","5,443,400,000","8,486,800,000","10,845,800,000","4,627,600,000","3,276,400,000","3,072,700,000","1,818,300,000","1,665,900,000","2,025,500,000","1,025,206,000","1,054,173,000","703,478,000","2,070,440,000","940,048,000","99,194,000","280,746,000","702,115,516.82","492,279,527.59","710,952,924.12","251,081,190.88","508,443,611.99","-54,115,354.42","-235,961,532.77","185,045,423.56","38,062,157","-53,376,516","-15,909,075","40,494,888","35,875,860"
	CashFlowFromContinuingOperatingActivities,"4,996,600,000","5,443,400,000","8,486,800,000","10,845,800,000","4,627,600,000","3,276,400,000","3,072,700,000","1,818,300,000","1,665,800,000","2,025,500,000","1,025,206,000","1,054,173,000","703,478,000","2,070,440,000","940,048,000","99,194,000","280,746,000","702,115,516.82","492,279,527.59","712,969,136.4","256,956,812.08","508,443,611.99","-54,115,354.42","-235,961,532.77","185,045,423.56","38,062,157","-53,376,516","-15,909,075","40,494,888","35,875,860"
		NetIncomeFromContinuingOperations,"6,743,200,000","7,839,000,000","5,624,200,000","5,883,200,000","3,553,700,000","2,592,300,000","2,591,600,000","2,066,700,000","1,557,800,000","1,387,200,000","1,196,640,000","1,015,490,000","1,146,316,000","1,466,960,000","1,021,820,000","-150,925,000","322,370,000","672,058,635.81","618,547,808.4","311,227,863.58","235,285,986.72","-124,288,721.87","-87,986,767.13","-479,826,400.66","344,382,699.82","80,795,127","61,647,318","147,545,307","101,317,567","63,952,620"
		OperatingGainsLosses,"37,400,000","4,200,000","15,300,000","-263,500,000","11,000,000","56,900,000","61,600,000","39,200,000","5,200,000","1,600,000","3,502,000","2,823,000","2,272,000","3,368,000","2,913,000","4,053,000","4,257,000","14,232,488.37","5,106,072.91","22,015,383.25","40,320,113.44","53,550,177.23","132,727,755.66","378,106,926.11","-1,057,286.82",,,"-10,636,353","3,454,921","3,197,631"
			GainLossOnSaleOfBusiness,,"0","0","-213,700,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"3,100,000","3,600,000","2,800,000","5,200,000","1,600,000","3,502,000","2,823,000","2,272,000","3,368,000","2,913,000","4,053,000","4,257,000",,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"37,400,000","4,200,000","15,300,000","-49,800,000","11,000,000","56,900,000","61,600,000","36,400,000","0","0",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"830,200,000","739,800,000","583,600,000","471,000,000","490,800,000","448,500,000","422,700,000","417,500,000","356,900,000","296,900,000","254,644,000","228,775,000","186,620,000","165,185,000","151,444,000","141,631,000","119,190,000","126,543,015","87,091,919.36","90,461,906.33","90,148,184.4","144,547,603.29","165,925,418.58","159,074,849.67","66,031,980.58","42,534,212","33,850,602","15,818,166","9,480,946","6,473,253"
			DepreciationAndAmortization,"830,200,000","739,800,000","583,600,000","471,000,000","490,800,000","448,500,000","422,700,000","417,500,000","356,900,000","296,900,000","254,644,000","228,775,000","186,620,000","165,185,000","151,444,000","141,631,000","119,190,000","126,543,015","87,091,919.36","90,461,906.33","90,148,184.4","144,547,603.29","165,925,418.58","159,074,849.67","66,031,980.58","42,534,212","33,850,602","15,818,166","9,480,946","6,473,253"
		DeferredTax,"-189,700,000","-133,600,000","-564,200,000","-419,600,000","-211,300,000","-236,800,000","-238,500,000","-8,400,000","13,400,000","45,300,000","-59,050,000","-22,658,000","-72,374,000","63,250,000","28,053,000","-49,423,000","-34,155,000","106,570,480.6","-71,348,636.54","17,816,629.62","114,616,292.32","-79,437,937.32","-22,346,193.53","-196,227,942.54","-8,105,865.62","4,273,297","-3,836,970","3,636,360","2,330,063","2,417,721"
