name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
TotalRevenue,"1,290,172,000","1,290,172,000","1,058,468,000","641,959,000","238,265,000","157,600,000","108,351,000","64,865,000"
	OperatingRevenue,"1,290,172,000","1,290,172,000","1,058,468,000","641,959,000","238,265,000","157,600,000","108,351,000","64,865,000"
CostOfRevenue,"234,616,000","234,616,000","193,977,000","145,004,000","61,806,000","39,144,000","29,918,000","19,372,000"
GrossProfit,"1,055,556,000","1,055,556,000","864,491,000","496,955,000","176,459,000","118,456,000","78,433,000","45,493,000"
OperatingExpense,"1,202,133,000","1,202,133,000","1,160,264,000","813,773,000","290,426,000","152,654,000","88,236,000","53,310,000"
	SellingGeneralAndAdministration,"756,202,000","756,202,000","764,912,000","528,181,000","196,051,000","98,520,000","59,312,000","35,324,000"
		GeneralAndAdministrativeExpense,"277,662,000","277,662,000","249,054,000","221,030,000","128,116,000","53,450,000","29,198,000","16,034,000"
			OtherGandA,"277,662,000","277,662,000","249,054,000","221,030,000","128,116,000","53,450,000","29,198,000","16,034,000"
		SellingAndMarketingExpense,"478,540,000","478,540,000","515,858,000","307,151,000","67,935,000","45,070,000","30,114,000","19,290,000"
	ResearchAndDevelopment,"336,754,000","336,754,000","314,632,000","219,818,000","89,503,000","52,996,000","28,924,000","17,986,000"
	DepreciationAmortizationDepletionIncomeStatement,"49,072,000","49,072,000","48,496,000","45,630,000","4,872,000","1,138,000",,
		DepreciationAndAmortizationInIncomeStatement,"49,072,000","49,072,000","48,496,000","45,630,000","4,872,000","1,138,000",,
			Amortization,,,"48,496,000","45,630,000","4,872,000","1,138,000",,
				AmortizationOfIntangiblesIncomeStatement,,,"48,496,000","45,630,000","4,872,000","1,138,000",,
	ProvisionForDoubtfulAccounts,"60,105,000","60,105,000","32,224,000","20,144,000",,,,
OperatingIncome,"-146,577,000","-146,577,000","-295,773,000","-316,818,000","-113,967,000","-34,198,000","-9,803,000","-7,817,000"
NetNonOperatingInterestIncomeExpense,"103,116,000","103,116,000","76,076,000","-2,728,000","-25,166,000","3,863,000","2,382,000","631,000"
	InterestIncomeNonOperating,"122,298,000","122,298,000","91,279,000","6,691,000","2,992,000","4,092,000","3,207,000","1,058,000"
	InterestExpenseNonOperating,"19,182,000","19,182,000","15,203,000","9,419,000","28,158,000","229,000","825,000","427,000"
OtherIncomeExpense,"17,142,000","17,142,000","-3,220,000","-11,133,000","-204,000","-703,000","-49,000","1,000"
	GainOnSaleOfSecurity,,,,,,"-717,000","22,400,000","7,873,000"
	SpecialIncomeCharges,"17,685,000","17,685,000","0","0",,,,
		RestructuringAndMergernAcquisition,"27,587,000","27,587,000","0","0",,,,
		OtherSpecialCharges,"-45,272,000","-45,272,000",,,,,,
	OtherNonOperatingIncomeExpenses,"-543,000","-543,000","-3,220,000","-11,133,000","-204,000","-703,000","-49,000","1,000"
PretaxIncome,"-26,319,000","-26,319,000","-222,917,000","-330,679,000","-139,337,000","-31,038,000","-7,470,000","-7,185,000"
TaxProvision,"2,559,000","2,559,000","808,000","-4,318,000","-40,617,000","53,000","-156,000","10,000"
NetIncomeCommonStockholders,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
	NetIncome,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
		NetIncomeIncludingNoncontrollingInterests,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
			NetIncomeContinuousOperations,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
	OtherunderPreferredStockDividend,"-25,000",,,,,,"-25,000",
DilutedNIAvailtoComStockholders,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
BasicEPS,"-0.27","-0.27","-2.11","-3.226","-1.196","-0.704","-0.088","-0.087"
DilutedEPS,"-0.27","-0.27","-2.11","-3.226","-1.196","-0.704","-0.088","-0.087"
BasicAverageShares,"106,102,000","106,102,000","105,976,000","101,246,774","82,401,001","43,886,570","82,813,000","82,813,000"
DilutedAverageShares,"106,102,000","106,102,000","105,976,000","101,246,774","82,401,001","43,886,570","82,813,000","82,813,000"
TotalOperatingIncomeAsReported,"-174,164,000","-174,164,000","-295,773,000","-316,818,000","-113,967,000","-34,198,000","-9,803,000","-7,817,000"
TotalExpenses,"1,436,749,000","1,436,749,000","1,354,241,000","958,777,000","352,232,000","191,798,000","118,154,000","72,682,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-28,878,000","-28,878,000","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
NormalizedIncome,"-42,849,150","-42,849,150","-223,725,000","-326,361,000","-98,720,000","-31,091,000","-7,314,000","-7,195,000"
InterestIncome,"122,298,000","122,298,000","91,279,000","6,691,000","2,992,000","4,092,000","3,207,000","1,058,000"
InterestExpense,"19,182,000","19,182,000","15,203,000","9,419,000","28,158,000","229,000","825,000","427,000"
NetInterestIncome,"103,116,000","103,116,000","76,076,000","-2,728,000","-25,166,000","3,863,000","2,382,000","631,000"
EBIT,"-7,137,000","-7,137,000","-207,714,000","-321,260,000","-111,179,000","-30,809,000","-6,645,000","-6,758,000"
