name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001
TotalRevenue,"36,465,000,000","34,857,000,000","31,352,000,000","26,492,000,000","21,252,000,000","17,098,000,000","13,282,000,000","10,540,000,000","8,437,000,000","6,667,216,000","5,373,586,000","4,071,003,000","3,050,195,000","2,266,539,000","1,657,139,000","1,305,583,000","1,076,769,000","748,700,000","497,098,000","309,857,000","176,375,000","96,023,000","50,991,000","22,409,000","5,435,000"
	OperatingRevenue,"36,465,000,000","34,857,000,000","31,352,000,000","26,492,000,000","21,252,000,000","17,098,000,000","13,282,000,000","10,540,000,000","8,437,000,000","6,667,216,000","5,373,586,000","4,071,003,000","3,050,195,000","2,266,539,000","1,657,139,000","1,305,583,000","1,076,769,000","748,700,000","497,098,000","309,857,000","176,375,000","96,023,000","50,991,000","22,409,000","5,435,000"
CostOfRevenue,"8,624,000,000","8,541,000,000","8,360,000,000","7,026,000,000","5,438,000,000","4,235,000,000","3,451,000,000","2,773,000,000","2,234,000,000","1,654,548,000","1,289,270,000","968,428,000","683,579,000","488,886,000","323,813,000","257,925,000","220,471,000","171,591,000","118,890,000","69,126,000","33,454,000","17,273,000","10,363,000","6,047,000","3,422,000"
GrossProfit,"27,841,000,000","26,316,000,000","22,992,000,000","19,466,000,000","15,814,000,000","12,863,000,000","9,831,000,000","7,767,000,000","6,203,000,000","5,012,668,000","4,084,316,000","3,102,575,000","2,366,616,000","1,777,653,000","1,333,326,000","1,047,658,000","856,298,000","577,109,000","378,208,000","240,731,000","142,921,000","78,750,000","40,628,000","16,362,000","2,013,000"
OperatingExpense,"20,891,000,000","20,317,000,000","21,134,000,000","18,918,000,000","15,359,000,000","12,400,000,000","9,296,000,000","7,313,000,000","5,985,000,000","4,897,745,000","4,229,949,000","3,388,649,000","2,477,326,000","1,812,738,000","1,235,829,000","932,386,000","792,556,000","556,800,000","381,806,000","220,629,000","136,401,000","75,032,000","51,128,000","45,887,000","35,613,000"
	SellingGeneralAndAdministration,"15,695,000,000","15,411,000,000","16,079,000,000","14,453,000,000","11,761,000,000","9,634,000,000","7,410,000,000","5,760,000,000","4,777,000,000","3,951,445,000","3,437,032,000","2,764,851,000","2,047,847,000","1,517,391,000","1,047,942,000","800,489,000","693,026,000","492,988,000","337,192,000","197,584,000","126,579,000","71,515,000","46,480,000","32,922,000","32,247,000"
		GeneralAndAdministrativeExpense,"2,622,000,000","2,534,000,000","2,553,000,000","2,598,000,000","2,087,000,000","1,704,000,000","1,346,000,000","1,089,000,000","966,000,000","711,621,000","679,936,000","596,719,000","433,821,000","347,781,000","255,913,000","195,290,000","158,613,000",,,,,,,,
			SalariesAndWages,,"1,062,000,000","1,256,000,000","1,104,000,000",,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,"0","0","-36,617,000","0","0",,,,,,,,,,,,,
			OtherGandA,"2,622,000,000","2,534,000,000","2,553,000,000","2,598,000,000","2,087,000,000","1,704,000,000","1,346,000,000","1,089,000,000","966,000,000","748,238,000","679,936,000","596,719,000","433,821,000","347,781,000","255,913,000","195,290,000","158,613,000",,,,,,,,
		SellingAndMarketingExpense,"13,073,000,000","12,877,000,000","13,526,000,000","11,855,000,000","9,674,000,000","7,930,000,000","6,064,000,000","4,671,000,000","3,811,000,000","3,239,824,000","2,757,096,000","2,168,132,000","1,614,026,000","1,169,610,000","792,029,000","605,199,000","534,413,000",,,,,,,,
	ResearchAndDevelopment,"5,196,000,000","4,906,000,000","5,055,000,000","4,465,000,000","3,598,000,000","2,766,000,000","1,886,000,000","1,553,000,000","1,208,000,000","946,300,000","792,917,000","623,798,000","429,479,000","295,347,000","187,887,000","131,897,000","99,530,000","63,812,000","44,614,000","23,330,000","9,822,000","6,962,000","4,648,000","5,308,000","3,366,000"
	DepreciationAmortizationDepletionIncomeStatement,,"891,000,000","916,000,000","727,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,"891,000,000","916,000,000","727,000,000",,,,,,,,,,,,,,,,,,,,,
			Amortization,,"891,000,000","916,000,000","727,000,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,"891,000,000","916,000,000","727,000,000",,,,,,,,,,,,,,,,,,,,,
