name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017
TotalRevenue,"3,516,257,000","3,055,555,000","2,241,236,000","1,451,594,000","874,438,000","481,413,000","249,824,000","118,752,000","52,745,000"
	OperatingRevenue,"3,516,257,000","3,055,555,000","2,241,236,000","1,451,594,000","874,438,000","481,413,000","249,824,000","118,752,000","52,745,000"
CostOfRevenue,"865,980,000","755,723,000","601,231,000","383,221,000","229,545,000","141,627,000","87,238,000","54,486,000","34,006,000"
GrossProfit,"2,650,277,000","2,299,832,000","1,640,005,000","1,068,373,000","644,893,000","339,786,000","162,586,000","64,266,000","18,739,000"
OperatingExpense,"2,596,849,000","2,301,827,000","1,830,117,000","1,210,921,000","737,422,000","485,851,000","299,450,000","195,706,000","109,295,000"
	SellingGeneralAndAdministration,"1,700,622,000","1,533,330,000","1,221,753,000","839,638,000","522,752,000","355,663,000","214,899,000","136,819,000","70,150,000"
		GeneralAndAdministrativeExpense,"418,494,000","392,764,000","317,344,000","223,092,000","121,436,000","89,068,000","42,217,000","32,542,000","16,402,000"
			OtherGandA,"418,494,000","392,764,000","317,344,000","223,092,000","121,436,000","89,068,000","42,217,000","32,542,000","16,402,000"
		SellingAndMarketingExpense,"1,282,128,000","1,140,566,000","904,409,000","616,546,000","401,316,000","266,595,000","172,682,000","104,277,000","53,748,000"
	ResearchAndDevelopment,"896,227,000","768,497,000","608,364,000","371,283,000","214,670,000","130,188,000","84,551,000","58,887,000","39,145,000"
OperatingIncome,"53,428,000","-1,995,000","-190,112,000","-142,548,000","-92,529,000","-146,065,000","-136,864,000","-131,440,000","-90,556,000"
NetNonOperatingInterestIncomeExpense,"153,162,000","123,174,000","27,176,000","-21,443,000","3,409,000","-442,000","-428,000","-1,648,000","-615,000"
	InterestIncomeNonOperating,"179,147,000","148,930,000","52,495,000","3,788,000","4,968,000",,,,
	InterestExpenseNonOperating,"25,985,000","25,756,000","25,319,000","25,231,000","1,559,000","442,000","428,000","1,648,000","615,000"
OtherIncomeExpense,"9,767,000","1,638,000","3,053,000","3,968,000","1,251,000","6,725,000","-1,418,000","-1,473,000","-82,000"
	OtherNonOperatingIncomeExpenses,"9,767,000","1,638,000","3,053,000","3,968,000","1,251,000","6,725,000","-1,418,000","-1,473,000","-82,000"
PretaxIncome,"216,357,000","122,817,000","-159,883,000","-160,023,000","-87,869,000","-139,782,000","-138,710,000","-134,561,000","-91,253,000"
