name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"18,483,000,000","17,852,000,000","17,852,000,000","16,923,000,000","16,204,000,000","15,846,000,000","15,221,000,000","14,262,000,000","13,061,000,000","11,479,000,000","8,134,718,000","6,521,571,000","5,507,933,000","4,583,074,000","3,338,240,000","2,374,560,000","1,838,306,000","1,325,981,000","869,893,000","572,745,000","365,300,000","231,473,000","144,983,000","109,540,000","69,000,000","51,700,000"
	CurrentAssets,"7,506,000,000","7,266,000,000","7,342,000,000","6,851,000,000","7,611,000,000","8,610,000,000","9,111,000,000","8,600,000,000","7,909,000,000","6,420,600,000","6,147,882,000","4,814,294,000","4,085,506,000","3,518,234,000","2,307,568,000","1,468,119,000","1,242,179,000","1,040,391,000","663,423,000","453,997,000","283,208,000","175,834,000","117,335,000","88,223,000","56,700,000","42,400,000"
		CashCashEquivalentsAndShortTermInvestments,"2,635,000,000","2,501,000,000","2,719,000,000","2,724,000,000","3,424,000,000","4,511,000,000","5,056,000,000","5,169,000,000","4,949,000,000","3,774,700,000","3,747,473,000","2,863,758,000","2,432,264,000","2,226,388,000","1,399,332,000","762,579,000","670,425,000","648,159,000","424,001,000","314,761,000","194,221,000","126,211,000","84,977,000","61,976,000","42,600,000","28,400,000"
			CashAndCashEquivalents,"2,621,000,000","2,191,000,000","1,792,000,000","2,680,000,000","2,645,000,000","1,161,000,000","1,925,000,000","2,034,000,000","2,125,000,000","2,010,100,000","2,213,006,000","1,570,077,000","1,310,906,000","1,540,969,000","1,100,930,000","735,066,000","339,845,000","265,937,000","196,938,000","199,296,000","194,221,000","126,211,000","84,977,000","61,976,000","42,600,000","28,400,000"
			OtherShortTermInvestments,"14,000,000","310,000,000","927,000,000","44,000,000","779,000,000","3,350,000,000","3,131,000,000","3,135,000,000","2,824,000,000","1,764,600,000","1,534,467,000","1,293,681,000","1,121,358,000","685,419,000","298,402,000","27,513,000","330,580,000","382,222,000","227,063,000","115,465,000",,,,,,
		Receivables,"3,849,000,000","3,796,000,000","3,557,000,000","3,087,000,000","3,256,000,000","3,190,000,000","3,222,000,000","2,905,000,000","2,622,000,000","2,293,300,000","1,875,272,000","1,528,746,000","1,318,670,000","1,014,268,000","709,240,000","579,639,000","436,456,000","298,475,000","176,696,000","110,517,000","61,796,000","41,005,000","27,966,000","22,489,000","11,100,000","12,200,000"
			AccountsReceivable,"3,849,000,000","3,796,000,000","3,557,000,000","3,087,000,000","3,256,000,000","3,190,000,000","2,865,000,000","2,556,000,000","2,253,000,000","1,968,700,000","1,648,785,000","1,345,661,000","1,179,043,000","1,014,268,000","709,240,000","579,639,000","436,456,000","298,475,000","176,696,000","96,363,000","52,253,000","36,697,000","22,544,000",,,
				GrossAccountsReceivable,"3,881,000,000","3,839,000,000","3,607,000,000","3,144,000,000","3,323,000,000","3,268,000,000","2,930,000,000","2,604,000,000","2,292,000,000","2,005,600,000","1,675,609,000","1,371,477,000","1,203,701,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-32,000,000","-43,000,000","-50,000,000","-57,000,000","-67,000,000","-78,000,000","-65,000,000","-48,000,000","-39,000,000","-36,900,000","-26,824,000","-25,816,000","-24,658,000",,,,,,,,,,,,,
			OtherReceivables,,,,,,,"357,000,000","349,000,000","369,000,000","324,600,000","226,487,000","183,085,000","139,627,000",,,,,,"22,725,000","14,154,000","9,543,000","4,308,000","5,422,000",,,
