name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"19,265,000,000","19,353,000,000","19,428,000,000","18,507,000,000","16,652,000,000","16,783,000,000","16,125,000,000","14,810,000,000","13,487,000,000","12,416,000,000","10,263,000,000","8,843,200,000","7,346,472,000","6,121,156,000","4,592,389,000","3,278,663,000","2,816,304,000","2,135,577,000","1,424,267,000","885,830,000","586,673,000","368,231,000","229,086,000","177,778,000","137,031,000","88,900,000","58,600,000"
	OperatingRevenue,"19,265,000,000","19,353,000,000","19,428,000,000","18,507,000,000","16,652,000,000","16,783,000,000","16,125,000,000","14,810,000,000","13,487,000,000","12,416,000,000","9,069,000,000","7,850,700,000","6,469,013,000","5,338,051,000","3,971,206,000","3,278,663,000","2,816,304,000","2,135,577,000","1,424,267,000","885,830,000","586,673,000","365,656,000","208,657,000","158,969,000","137,031,000","88,900,000","58,600,000"
CostOfRevenue,"12,640,000,000","12,664,000,000","12,448,000,000","11,604,000,000","10,671,000,000","10,634,000,000","9,838,000,000","9,152,000,000","8,108,000,000","7,440,000,000","6,141,000,000","5,265,500,000","4,278,241,000","3,538,622,000","2,654,569,000","1,849,443,000","1,572,816,000","1,206,035,000","787,923,000","479,915,000","319,810,000","199,724,000","122,701,000","90,848,000","70,437,000","46,200,000","31,900,000"
GrossProfit,"6,625,000,000","6,689,000,000","6,980,000,000","6,903,000,000","5,981,000,000","6,149,000,000","6,287,000,000","5,658,000,000","5,379,000,000","4,976,000,000","4,122,000,000","3,577,700,000","3,068,231,000","2,582,534,000","1,937,820,000","1,429,220,000","1,243,488,000","929,542,000","636,344,000","405,915,000","266,863,000","168,507,000","106,385,000","86,930,000","66,594,000","42,700,000","26,700,000"
OperatingExpense,"3,648,000,000","3,771,000,000","4,012,000,000","4,077,000,000","3,652,000,000","3,479,000,000","3,467,000,000","3,105,000,000","3,090,000,000","2,834,000,000","2,237,000,000","1,899,800,000","1,706,735,000","1,446,066,000","1,075,968,000","810,730,000","726,818,000","548,020,000","377,401,000","228,299,000","149,243,000","94,185,000","59,507,000","51,310,000","40,466,000","26,100,000","17,700,000"
	SellingGeneralAndAdministration,"3,133,000,000","3,252,000,000","3,443,000,000","3,503,000,000","3,100,000,000","2,972,000,000","3,007,000,000","2,697,000,000","2,731,000,000","2,509,000,000","2,037,000,000","1,727,600,000","1,557,646,000","1,328,665,000","972,093,000","721,359,000","652,021,000","494,102,000","343,238,000","206,899,000","132,796,000","84,259,000","53,345,000","44,942,000","35,959,000","23,100,000","15,500,000"
	DepreciationAmortizationDepletionIncomeStatement,"515,000,000","519,000,000","569,000,000","574,000,000","552,000,000","507,000,000","460,000,000","408,000,000","359,000,000","325,000,000","200,000,000","172,200,000","149,089,000","117,401,000","103,875,000","89,371,000","74,797,000","53,918,000","34,163,000","21,400,000","16,447,000","11,936,000","7,842,000","6,368,000","4,507,000","3,000,000","2,200,000"
		DepreciationAndAmortizationInIncomeStatement,"515,000,000","519,000,000","569,000,000","574,000,000","552,000,000","507,000,000","460,000,000","408,000,000","359,000,000","325,000,000","200,000,000","172,200,000","149,089,000","117,401,000","103,875,000","89,371,000","74,797,000","53,918,000","34,163,000","21,400,000","16,447,000","11,936,000","7,842,000","6,368,000","4,507,000","3,000,000","2,200,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,"-2,010,000","-1,680,000",,,,
OperatingIncome,"2,977,000,000","2,918,000,000","2,968,000,000","2,826,000,000","2,329,000,000","2,670,000,000","2,820,000,000","2,553,000,000","2,289,000,000","2,142,000,000","1,885,000,000","1,677,900,000","1,361,496,000","1,136,468,000","861,852,000","618,490,000","516,670,000","381,522,000","258,943,000","177,616,000","117,620,000","74,322,000","46,878,000","35,620,000","26,128,000","16,600,000","9,000,000"
