name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016
TotalAssets,"82,089,000,000","89,611,000,000","92,735,000,000","123,415,000,000","118,861,000,000","111,820,000,000","124,193,000,000","118,206,000,000","45,122,000,000"
	CurrentAssets,"35,947,000,000","42,351,000,000","45,033,000,000","43,567,000,000","36,868,000,000","36,138,000,000","40,328,000,000","30,773,000,000","23,573,000,000"
		CashCashEquivalentsAndShortTermInvestments,"7,366,000,000","8,607,000,000","9,477,000,000","9,508,000,000","9,302,000,000","9,676,000,000","16,129,000,000","11,449,000,000","6,322,000,000"
			CashAndCashEquivalents,"7,366,000,000","8,607,000,000","9,477,000,000","9,508,000,000","9,302,000,000","9,676,000,000","13,942,000,000","9,474,000,000","6,322,000,000"
			OtherShortTermInvestments,,,,,,"0","2,187,000,000","1,975,000,000","0"
		Receivables,"13,986,000,000","18,141,000,000","18,132,000,000","15,994,000,000","17,379,000,000","16,769,000,000","15,640,000,000","12,642,000,000","7,802,000,000"
			AccountsReceivable,"9,343,000,000","12,482,000,000","12,912,000,000","10,731,000,000","12,484,000,000","12,371,000,000","11,721,000,000","9,420,000,000","4,887,000,000"
				GrossAccountsReceivable,"9,414,000,000","12,560,000,000","13,002,000,000","10,830,000,000","12,578,000,000","12,456,000,000","11,824,000,000","9,770,000,000","5,046,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-71,000,000","-78,000,000","-90,000,000","-99,000,000","-94,000,000","-85,000,000","-103,000,000","-350,000,000","-159,000,000"
			LoansReceivable,"4,643,000,000","5,281,000,000","5,089,000,000","5,148,000,000","4,895,000,000","4,398,000,000","3,919,000,000","3,222,000,000","2,915,000,000"
			DuefromRelatedPartiesCurrent,"0","378,000,000","131,000,000","115,000,000",,,,,
			OtherReceivables,,,,"5,148,000,000","4,895,000,000","4,398,000,000","3,919,000,000","3,222,000,000","2,915,000,000"
		Inventory,"3,622,000,000","4,776,000,000","5,898,000,000","3,403,000,000","3,281,000,000","3,649,000,000","2,678,000,000","2,538,000,000","1,619,000,000"
			RawMaterials,"2,321,000,000","3,225,000,000","3,653,000,000","1,718,000,000","1,590,000,000","1,794,000,000","967,000,000","925,000,000","657,000,000"
			WorkInProcess,"607,000,000","708,000,000","855,000,000","677,000,000","563,000,000","702,000,000","514,000,000","503,000,000","189,000,000"
			FinishedGoods,"694,000,000","843,000,000","1,390,000,000","1,008,000,000","1,128,000,000","1,153,000,000","1,197,000,000","1,110,000,000","773,000,000"
		AssetsHeldForSaleCurrent,,,"0","4,852,000,000",,,,"0","4,333,000,000"
		OtherCurrentAssets,"10,973,000,000","10,827,000,000","11,526,000,000","9,810,000,000","6,906,000,000","6,044,000,000","5,881,000,000","4,144,000,000","3,497,000,000"
	TotalNonCurrentAssets,"46,142,000,000","47,260,000,000","47,702,000,000","79,848,000,000","81,993,000,000","75,682,000,000","83,865,000,000","87,433,000,000","21,549,000,000"
		NetPPE,"6,432,000,000","6,209,000,000","5,415,000,000","4,833,000,000","7,835,000,000","5,259,000,000","5,390,000,000","5,653,000,000","1,649,000,000"
			GrossPPE,"13,617,000,000","13,092,000,000","12,306,000,000","11,884,000,000","16,407,000,000","13,607,000,000","13,273,000,000","13,114,000,000","1,907,000,000"
				Properties,"2,877,000,000","3,059,000,000","3,095,000,000","3,169,000,000","4,700,000,000","4,559,000,000","4,343,000,000","4,299,000,000","919,000,000"
				LandAndImprovements,,,,"4,745,000,000","4,700,000,000","4,559,000,000","4,343,000,000","4,299,000,000","919,000,000"
				MachineryFurnitureEquipment,"5,718,000,000","5,369,000,000","9,211,000,000","8,715,000,000","9,927,000,000","9,048,000,000","8,930,000,000","8,815,000,000","988,000,000"
				OtherProperties,"5,022,000,000","4,664,000,000",,"2,117,000,000","1,780,000,000",,,,
