name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
OperatingCashFlow,"6,068,000,000","8,676,000,000","3,565,000,000","10,307,000,000","11,407,000,000","9,291,000,000","6,991,000,000","6,843,000,000","2,367,000,000","2,162,000,000","2,551,000,000"
	CashFlowFromContinuingOperatingActivities,"6,068,000,000","8,676,000,000","3,565,000,000","10,307,000,000","11,407,000,000","9,291,000,000","6,991,000,000","6,843,000,000","2,367,000,000","2,162,000,000","2,551,000,000"
		NetIncomeFromContinuingOperations,"3,958,000,000","3,195,000,000","2,422,000,000","5,707,000,000","3,505,000,000","5,529,000,000","-2,181,000,000","-2,926,000,000","-1,158,000,000","-1,104,000,000","-1,221,000,000"
		OperatingGainsLosses,,,,,,,"-30,000,000","129,000,000","-2,165,000,000","122,000,000","90,000,000"
			GainLossOnSaleOfBusiness,,,,,,,"-30,000,000","16,000,000","-2,165,000,000","0","0"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,"113,000,000","74,000,000","122,000,000","90,000,000"
		DepreciationAmortizationDepletion,"3,247,000,000","3,303,000,000","3,156,000,000","4,551,000,000","5,390,000,000","6,143,000,000","7,746,000,000","8,634,000,000","4,938,000,000","2,872,000,000","2,977,000,000"
			DepreciationAndAmortization,"3,247,000,000","3,303,000,000","3,156,000,000","4,551,000,000","5,390,000,000","6,143,000,000","7,746,000,000","8,634,000,000","4,938,000,000","2,872,000,000","2,977,000,000"
		DeferredTax,"-241,000,000","-91,000,000","-717,000,000","-365,000,000","-399,000,000","-6,339,000,000","-1,331,000,000","-2,605,000,000","-2,052,000,000","-205,000,000","-465,000,000"
			DeferredIncomeTax,"-241,000,000","-91,000,000","-717,000,000","-365,000,000","-399,000,000","-6,339,000,000","-1,331,000,000","-2,605,000,000","-2,052,000,000","-205,000,000","-465,000,000"
		AssetImpairmentCharge,,,,,,"619,000,000","190,000,000","0",,,
		ProvisionandWriteOffofAssets,"183,000,000",,,,,"178,000,000","172,000,000","164,000,000","120,000,000","171,000,000","216,000,000"
		StockBasedCompensation,"831,000,000","878,000,000","931,000,000","1,622,000,000","1,609,000,000","1,262,000,000","918,000,000","835,000,000","398,000,000","72,000,000","72,000,000"
		OtherNonCashItems,"586,000,000","609,000,000","961,000,000","-3,130,000,000","-88,000,000","938,000,000","756,000,000","590,000,000","441,000,000","115,000,000","153,000,000"
		ChangeInWorkingCapital,"-2,313,000,000","782,000,000","-3,188,000,000","1,922,000,000","1,390,000,000","1,758,000,000","1,083,000,000","2,151,000,000","1,845,000,000","119,000,000","729,000,000"
			ChangeInReceivables,"-1,421,000,000","3,286,000,000","-348,000,000","-2,434,000,000","-1,124,000,000","-1,615,000,000","-2,406,000,000","-3,243,000,000","-2,686,000,000","-134,000,000","-788,000,000"
				ChangesInAccountReceivables,"-1,208,000,000","2,977,000,000","113,000,000","-2,193,000,000","-396,000,000","-286,000,000","-1,104,000,000","-1,590,000,000","-1,935,000,000","187,000,000","-238,000,000"
			ChangeInInventory,"-2,592,000,000","975,000,000","875,000,000","-2,514,000,000","-243,000,000","311,000,000","-1,445,000,000","-325,000,000","1,076,000,000","-5,000,000","71,000,000"
			ChangeInPayablesAndAccruedExpense,"3,039,000,000","-335,000,000","-8,546,000,000","5,742,000,000","1,598,000,000","894,000,000","952,000,000","4,366,000,000","1,405,000,000","-581,000,000","638,000,000"
				ChangeInPayable,"3,039,000,000","-335,000,000","-8,546,000,000","5,742,000,000","1,598,000,000","894,000,000","952,000,000","3,779,000,000","751,000,000","-374,000,000","1,029,000,000"
					ChangeInAccountPayable,"3,039,000,000","-335,000,000","-8,546,000,000","5,742,000,000","1,598,000,000","894,000,000","952,000,000","3,779,000,000","751,000,000","-374,000,000","1,029,000,000"
				ChangeInAccruedExpense,"-57,000,000",,,,,"-124,000,000","1,098,000,000","587,000,000","654,000,000","-207,000,000","-391,000,000"
			ChangeInOtherCurrentAssets,,,,,,"-1,435,000,000","-534,000,000","-1,395,000,000","117,000,000","-28,000,000","-623,000,000"
			ChangeInOtherWorkingCapital,"-1,339,000,000","-3,144,000,000","4,831,000,000","1,128,000,000","1,159,000,000","2,168,000,000","3,982,000,000","2,748,000,000","1,933,000,000","867,000,000","1,431,000,000"
InvestingCashFlow,"-2,507,000,000","-2,783,000,000","-3,024,000,000","1,306,000,000","-460,000,000","-4,686,000,000","3,389,000,000","-2,875,000,000","-31,236,000,000","-321,000,000","-355,000,000"
	CashFlowFromContinuingInvestingActivities,"-2,507,000,000","-2,783,000,000","-3,024,000,000","1,306,000,000","-460,000,000","-4,686,000,000","3,389,000,000","-2,875,000,000","-31,236,000,000","-321,000,000","-355,000,000"
