name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990
OperatingCashFlow,"1,472,000,000","1,361,000,000","1,415,000,000","1,501,000,000","124,000,000","2,350,000,000","1,783,000,000","2,567,000,000","619,000,000","802,000,000","1,473,000,000","1,577,000,000","1,119,000,000","1,176,000,000","1,564,000,000","1,643,000,000","1,986,000,000","1,342,900,000","1,578,600,000","1,551,300,000","1,941,500,000","1,677,500,000","1,148,200,000","1,305,400,000","854,200,000","946,268,000","847,400,000","593,400,000","500,400,000","384,000,000","279,500,000","191,800,000","193,800,000","105,200,000","76,200,000","69,100,000"
	CashFlowFromContinuingOperatingActivities,"1,472,000,000","1,361,000,000","1,415,000,000","1,501,000,000","124,000,000","2,350,000,000","1,783,000,000","2,567,000,000","619,000,000","802,000,000","1,473,000,000","1,577,000,000","1,119,000,000","1,176,000,000","1,564,000,000","1,643,000,000","1,986,000,000","1,342,900,000","1,578,600,000","1,551,300,000","1,941,500,000","1,677,500,000","1,148,200,000","1,305,400,000","854,200,000","946,268,000","847,400,000","593,400,000","500,400,000","384,000,000","279,500,000","191,800,000","193,800,000","105,200,000","76,200,000","69,100,000"
		NetIncomeFromContinuingOperations,"69,000,000","86,000,000","-566,000,000","736,000,000","-146,000,000","-5,358,000,000","1,262,000,000","1,782,000,000","-100,000,000","263,000,000","17,000,000","968,000,000","779,000,000","-602,000,000","759,000,000","834,000,000","1,123,000,000",,,"77,300,000","28,600,000",,,,"233,200,000","402,872,000","355,500,000","274,600,000","192,400,000","109,400,000","143,200,000","90,900,000","78,100,000","68,200,000","65,000,000","65,500,000"
		OperatingGainsLosses,"292,000,000","307,000,000","1,179,000,000","-806,000,000","-1,459,000,000","-219,000,000","10,000,000","-194,000,000","117,000,000","189,000,000","756,000,000","-373,000,000","-537,000,000","501,000,000","-83,000,000","-5,000,000","-1,000,000","-24,800,000","-68,700,000","-60,900,000","-229,700,000",,,,"144,000,000","23,084,000","9,200,000","122,200,000","45,400,000","93,800,000","8,900,000","10,100,000","6,300,000","3,300,000","-700,000","-8,000,000"
			NetForeignCurrencyExchangeGainLoss,"-30,000,000","-7,000,000","8,000,000","-12,000,000","-36,000,000","24,000,000","30,000,000","22,000,000","24,000,000","43,000,000","-4,000,000","-29,000,000","-37,000,000","-8,000,000","-9,000,000",,"97,900,000","-27,300,000","-45,500,000",,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,"445,000,000","1,431,000,000","-684,000,000","519,000,000","-244,000,000","143,000,000","-220,000,000","87,000,000","92,000,000","782,000,000","-259,000,000","297,000,000","479,000,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,415,000,000","1,433,000,000","1,551,000,000","1,742,000,000","1,988,000,000","1,960,000,000","2,023,000,000","2,014,000,000","658,000,000","767,000,000","977,000,000","1,018,000,000","1,070,000,000","1,139,000,000","1,140,000,000","1,156,000,000","1,270,000,000","1,286,400,000","1,162,000,000","1,187,500,000","1,145,500,000","1,038,100,000","857,500,000","857,600,000","649,300,000","545,723,000","456,900,000","397,800,000","333,200,000","272,100,000","190,200,000","130,700,000","118,700,000","81,700,000","40,200,000","34,000,000"
			DepreciationAndAmortization,"1,415,000,000","1,433,000,000","1,551,000,000","1,742,000,000","1,988,000,000","1,960,000,000","2,023,000,000","2,014,000,000","658,000,000","767,000,000","977,000,000","1,018,000,000","1,070,000,000","1,139,000,000","1,140,000,000","1,156,000,000","1,270,000,000","1,286,400,000","1,162,000,000","1,187,500,000","1,145,500,000","1,038,100,000","857,500,000","857,600,000","649,300,000","545,723,000","456,900,000","397,800,000","333,200,000","272,100,000","190,200,000","130,700,000","118,700,000","81,700,000","40,200,000","34,000,000"
		DeferredTax,"-416,000,000","-416,000,000","-609,000,000","255,000,000","-403,000,000","-56,000,000","97,000,000","-842,000,000","-92,000,000","-37,000,000","-449,000,000","169,000,000","99,000,000","-251,000,000","101,000,000","8,000,000","247,000,000","-65,300,000","-207,800,000","129,400,000","192,700,000","182,400,000","145,900,000","129,900,000","42,300,000","68,791,000","89,400,000","-96,300,000",,,,,,,,
			DeferredIncomeTax,"-416,000,000","-416,000,000","-609,000,000","255,000,000","-403,000,000","-56,000,000","97,000,000","-842,000,000","-92,000,000","-37,000,000","-449,000,000","169,000,000","99,000,000","-251,000,000","101,000,000","8,000,000","247,000,000","-65,300,000","-207,800,000","129,400,000","192,700,000","182,400,000","145,900,000","129,900,000","42,300,000","68,791,000","89,400,000","-96,300,000",,,,,,,,
