name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"135,241,000,000","127,243,000,000","132,001,000,000","155,971,000,000","152,186,000,000","123,382,000,000","125,356,000,000","117,470,000,000","110,495,000,000","117,271,000,000","126,223,000,000","119,213,000,000","116,433,000,000","113,452,000,000","109,022,000,000","109,524,000,000","120,431,000,000","103,234,000,000","105,748,000,000","111,003,000,000","104,457,000,000","96,484,000,000","90,303,000,000","88,349,000,000","87,495,000,000","86,100,000,000","81,499,000,000","81,132,000,000","80,292,000,000","81,091,000,000","81,113,000,000","86,705,000,000","92,473,000,000","87,568,000,000","77,734,000,000","73,037,000,000","63,688,000,000","57,814,000,000","52,634,000,000"
	CurrentAssets,"32,908,000,000","29,118,000,000","29,539,000,000","39,165,000,000","38,420,000,000","49,146,000,000","49,735,000,000","43,888,000,000","42,504,000,000","47,377,000,000","51,350,000,000","49,433,000,000","50,928,000,000","48,116,000,000","48,935,000,000","49,004,000,000","53,177,000,000","44,660,000,000","45,661,000,000","47,143,000,000","44,662,000,000","41,652,000,000","42,461,000,000","43,880,000,000","43,155,000,000","42,360,000,000","40,418,000,000","40,695,000,000","40,691,000,000","41,338,000,000","39,202,000,000","39,692,000,000","40,969,000,000","38,920,000,000","35,875,000,000","35,343,000,000","31,020,000,000","27,749,000,000","26,070,000,000"
		CashCashEquivalentsAndShortTermInvestments,"13,441,000,000","8,738,000,000","7,250,000,000","13,788,000,000","8,868,000,000","11,997,000,000","12,580,000,000","8,527,000,000","8,194,000,000","8,476,000,000","11,066,000,000","11,129,000,000","11,922,000,000","11,651,000,000","13,974,000,000","12,907,000,000","16,146,000,000","10,656,000,000","13,686,000,000","10,570,000,000","7,647,000,000","5,975,000,000","6,393,000,000","3,722,000,000","5,831,000,000","5,768,000,000","7,553,000,000","8,137,000,000","7,701,000,000","10,554,000,000","7,133,000,000","4,446,000,000","3,945,000,000","3,853,000,000","3,700,000,000","6,123,000,000","6,967,000,000","7,257,000,000","5,622,000,000"
			CashAndCashEquivalents,"13,068,000,000","7,886,000,000","6,650,000,000","13,188,000,000","8,172,000,000","11,379,000,000","11,972,000,000","7,826,000,000","7,686,000,000","8,476,000,000","10,716,000,000","10,412,000,000","11,922,000,000","10,661,000,000","12,183,000,000","12,741,000,000","14,991,000,000","8,022,000,000","12,568,000,000","10,053,000,000","7,290,000,000","5,382,000,000","6,330,000,000","3,563,000,000","5,043,000,000","5,375,000,000","7,106,000,000","7,687,000,000","7,259,000,000","7,922,000,000","5,861,000,000","4,446,000,000","3,945,000,000","3,853,000,000","3,700,000,000","6,123,000,000","6,967,000,000","7,257,000,000","5,622,000,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,746,000,000","1,240,000,000","873,000,000",,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,513,000,000","6,682,000,000","4,988,000,000",,,,,,,,
			OtherShortTermInvestments,"373,000,000","852,000,000","600,000,000","600,000,000","696,000,000","618,000,000","608,000,000","701,000,000","508,000,000","0","350,000,000","717,000,000","0","990,000,000","1,791,000,000","166,000,000","1,155,000,000","2,634,000,000","1,118,000,000","517,000,000","357,000,000","593,000,000","63,000,000","159,000,000","788,000,000","393,000,000","447,000,000","450,000,000","442,000,000","2,632,000,000","1,272,000,000",,,,,,,,
		Receivables,"13,956,000,000","14,209,000,000","14,977,000,000","16,994,000,000","23,795,000,000","30,563,000,000","31,630,000,000","29,245,000,000","28,554,000,000","31,831,000,000","31,836,000,000","30,578,000,000","29,561,000,000","28,225,000,000","26,793,000,000","27,555,000,000","28,789,000,000","26,848,000,000","24,428,000,000","28,136,000,000","28,923,000,000","27,358,000,000","27,018,000,000","30,726,000,000","27,618,000,000","26,781,000,000","23,826,000,000","23,167,000,000","23,402,000,000","21,533,000,000","19,412,000,000","21,604,000,000","25,523,000,000","22,644,000,000","20,164,000,000","18,100,000,000","13,849,000,000","10,825,000,000","10,566,000,000"
			AccountsReceivable,"7,214,000,000","6,541,000,000","6,754,000,000","5,790,000,000","7,870,000,000","7,432,000,000","8,928,000,000","9,182,000,000","8,333,000,000","9,090,000,000","10,465,000,000","10,667,000,000","11,179,000,000","11,968,000,000","11,879,000,000","12,078,000,000","12,500,000,000","11,753,000,000","10,678,000,000","12,335,000,000","11,340,000,000","11,362,000,000","10,362,000,000","12,021,000,000","10,462,000,000","20,271,000,000","18,106,000,000","17,446,000,000","17,441,000,000","15,182,000,000","12,984,000,000","21,604,000,000",,,,,,,
				GrossAccountsReceivable,"7,406,000,000","6,774,000,000","6,972,000,000","6,050,000,000","8,169,000,000","7,741,000,000","9,225,000,000","9,472,000,000","8,700,000,000","9,426,000,000","10,756,000,000","10,922,000,000","11,435,000,000","12,302,000,000","12,111,000,000","12,359,000,000","12,754,000,000","11,989,000,000","10,952,000,000","12,625,000,000","11,708,000,000",,,,"21,398,000,000","20,271,000,000","18,106,000,000","17,446,000,000","17,441,000,000","15,182,000,000","12,984,000,000",,,,,,,,
