name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"62,363,000,000","61,860,000,000","60,530,000,000","57,351,000,000","55,179,000,000","57,714,000,000","79,591,000,000","79,139,000,000","79,920,000,000","81,742,000,000","92,793,000,000","98,368,000,000","102,874,000,000","106,916,000,000","99,871,000,000","95,758,000,000","103,630,000,000","98,786,000,000","91,424,000,000","91,134,000,000","96,293,000,000","89,131,000,000","81,186,000,000","83,067,000,000","88,396,000,000","87,548,000,000","81,667,000,000","78,508,000,000","73,424,000,000","71,940,000,000","62,668,000,000","62,716,000,000","64,523,000,000","64,792,000,000","69,018,000,000","62,710,000,000","59,681,000,000","54,217,000,000","51,250,000,000","50,056,000,000"
	OperatingRevenue,"62,363,000,000","61,860,000,000","60,530,000,000","57,351,000,000","55,179,000,000","57,714,000,000","79,591,000,000","79,139,000,000","79,920,000,000","81,742,000,000","92,793,000,000","98,368,000,000","102,874,000,000","106,916,000,000","99,871,000,000","95,758,000,000","103,630,000,000","98,786,000,000","91,424,000,000","91,134,000,000","96,293,000,000","89,131,000,000","81,186,000,000","83,067,000,000","88,396,000,000","87,548,000,000","81,667,000,000","78,508,000,000","73,424,000,000","71,940,000,000","62,668,000,000","62,716,000,000","64,523,000,000","64,792,000,000","69,018,000,000","62,710,000,000","59,681,000,000","54,217,000,000","51,250,000,000","50,056,000,000"
CostOfRevenue,"27,382,000,000","27,560,000,000","27,842,000,000","25,865,000,000","24,314,000,000","26,181,000,000","42,655,000,000","42,196,000,000","41,403,000,000","41,057,000,000","46,386,000,000","49,683,000,000","52,513,000,000","56,778,000,000","53,857,000,000","51,973,000,000","57,969,000,000","57,057,000,000","53,129,000,000","54,602,000,000","60,724,000,000","56,584,000,000","50,902,000,000","51,178,000,000","55,972,000,000","55,619,000,000","50,795,000,000","47,899,000,000","45,408,000,000","41,573,000,000","37,384,000,000","38,568,000,000","35,069,000,000","27,324,000,000","26,506,000,000","23,461,000,000","21,777,000,000","21,083,000,000","19,390,000,000","18,209,000,000"
GrossProfit,"34,982,000,000","34,300,000,000","32,687,000,000","31,486,000,000","30,865,000,000","31,533,000,000","36,936,000,000","36,943,000,000","38,516,000,000","40,684,000,000","46,407,000,000","48,684,000,000","50,361,000,000","50,138,000,000","46,014,000,000","43,785,000,000","45,661,000,000","41,729,000,000","38,295,000,000","36,532,000,000","35,569,000,000","32,547,000,000","30,284,000,000","31,889,000,000","32,424,000,000","31,929,000,000","30,872,000,000","30,609,000,000","28,016,000,000","30,367,000,000","25,284,000,000","24,148,000,000","29,454,000,000","37,468,000,000","42,512,000,000","39,249,000,000","37,904,000,000","33,134,000,000","31,860,000,000","31,847,000,000"
OperatingExpense,"25,349,000,000","24,926,000,000","24,533,000,000","24,621,000,000","26,203,000,000","23,995,000,000","23,719,000,000","23,804,000,000","24,877,000,000","24,763,000,000","27,541,000,000","28,215,000,000","28,155,000,000","28,656,000,000","26,670,000,000","26,773,000,000","29,722,000,000","28,213,000,000","26,366,000,000","27,156,000,000","25,953,000,000","23,915,000,000","23,488,000,000","22,034,000,000","20,790,000,000","20,002,000,000","21,708,000,000","21,511,000,000","21,943,000,000","22,776,000,000","20,279,000,000","23,840,000,000","26,048,000,000","36,526,000,000","31,480,000,000","32,356,000,000","29,158,000,000","25,392,000,000","24,001,000,000","20,617,000,000"
	SellingGeneralAndAdministration,"18,148,000,000","17,997,000,000","17,483,000,000","18,745,000,000","20,561,000,000","18,724,000,000","19,366,000,000","19,680,000,000","20,279,000,000","19,894,000,000","22,472,000,000","22,924,000,000","23,085,000,000","23,217,000,000","21,545,000,000","20,521,000,000","22,773,000,000","22,060,000,000","20,259,000,000","21,314,000,000","20,079,000,000","18,601,000,000","18,738,000,000","17,048,000,000","15,639,000,000","14,729,000,000","16,662,000,000","16,634,000,000","16,854,000,000","16,766,000,000","15,916,000,000","18,282,000,000","19,526,000,000","31,376,000,000","27,263,000,000","28,116,000,000","25,287,000,000","21,865,000,000","20,685,000,000","17,723,000,000"
		GeneralAndAdministrativeExpense,"16,965,000,000","16,760,000,000","16,153,000,000","16,286,000,000","20,308,000,000","18,107,000,000","17,397,000,000","18,110,000,000","18,952,000,000","18,604,000,000","21,165,000,000","21,630,000,000","21,746,000,000","21,844,000,000","20,208,000,000","19,269,000,000","21,514,000,000",,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,100,000,000","1,054,000,000","616,000,000","736,000,000","3,508,000,000","1,008,000,000","959,000,000","1,542,000,000","1,439,000,000","1,961,000,000","2,633,000,000","2,452,000,000","2,214,000,000","1,557,000,000","1,623,000,000","739,000,000","1,547,000,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"15,865,000,000","15,706,000,000","15,537,000,000","15,550,000,000","16,800,000,000","17,099,000,000","16,438,000,000","16,568,000,000","17,513,000,000","16,643,000,000","18,532,000,000","19,178,000,000","19,532,000,000","20,287,000,000","18,585,000,000","18,530,000,000","19,967,000,000",,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,183,000,000","1,237,000,000","1,330,000,000","1,413,000,000","1,542,000,000","1,647,000,000","1,466,000,000","1,445,000,000","1,327,000,000","1,290,000,000","1,307,000,000","1,294,000,000","1,339,000,000","1,373,000,000","1,337,000,000","1,252,000,000","1,259,000,000",,,,,,,,,,,,,,,,,,,,,,,
