name,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,09/30/1993
TotalAssets,"32,132,000,000","27,780,000,000","27,734,000,000","15,516,000,000","10,931,000,000","6,283,000,000","5,134,000,000","4,068,000,000","4,250,000,000","4,968,000,000","5,201,000,000","5,486,000,000","4,684,000,000","5,110,000,000","5,198,000,000","4,826,000,000","4,666,584,000","4,252,026,000","2,770,027,000","2,716,451,000","2,730,741,000","2,790,267,000","2,928,005,000","2,862,273,000","2,878,902,000","2,489,100,000","1,498,600,000","663,700,000","418,000,000","384,200,000","244,600,000","73,800,000"
	CurrentAssets,"9,678,000,000","5,557,000,000","5,047,000,000","5,157,000,000","7,980,000,000","3,594,000,000","2,422,000,000","1,415,000,000","1,614,000,000","2,560,000,000","2,621,000,000","2,396,000,000","1,523,000,000","2,254,000,000","2,295,000,000","1,968,000,000","1,773,562,000","1,951,932,000","1,817,030,000","1,614,339,000","1,528,784,000","1,668,870,000","1,960,472,000","2,048,757,000","2,128,794,000","1,722,900,000","980,100,000","454,800,000","280,400,000","259,400,000","119,900,000","66,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,074,000,000","3,662,000,000","3,281,000,000","3,870,000,000","7,050,000,000","2,740,000,000","1,716,000,000","777,000,000","1,080,000,000","1,697,000,000","1,914,000,000","1,661,000,000","744,000,000","1,421,000,000","1,622,000,000","1,347,000,000","827,833,000","1,303,671,000","1,197,200,000","994,258,000","1,017,963,000","1,207,666,000","1,246,881,000","1,298,913,000","1,693,051,000","1,436,400,000","138,100,000","46,800,000","44,600,000","70,000,000","19,700,000","7,900,000"
			CashAndCashEquivalents,"3,609,000,000","2,848,000,000","2,796,000,000","2,562,000,000","6,442,000,000","2,116,000,000","1,464,000,000","529,000,000","638,000,000","808,000,000","849,000,000","1,009,000,000","393,000,000","722,000,000","214,000,000","679,000,000","413,340,000","255,201,000","179,601,000","83,842,000","25,992,000","170,043,000","414,748,000","94,301,000","416,953,000","554,200,000","138,100,000","46,800,000","44,600,000","70,000,000","19,700,000","7,900,000"
			OtherShortTermInvestments,"465,000,000","814,000,000","485,000,000","1,308,000,000","608,000,000","624,000,000","252,000,000","248,000,000","442,000,000","889,000,000","1,065,000,000","652,000,000","351,000,000","699,000,000","1,408,000,000","668,000,000","414,493,000","1,048,470,000","1,017,599,000","910,416,000","991,971,000","1,037,623,000","832,133,000","1,204,612,000","1,276,098,000","882,200,000",,,,,,
		Receivables,"1,317,000,000","1,121,000,000","1,048,000,000","646,000,000","161,000,000","152,000,000","137,000,000","166,000,000","128,000,000","175,000,000","150,000,000","192,000,000","195,000,000","243,000,000","162,000,000","202,000,000","187,794,000","185,869,000","161,975,000","124,790,000","81,615,000","88,156,000","54,186,000","26,778,000","67,420,000","63,700,000","59,400,000","42,200,000","49,500,000","35,300,000","10,100,000","15,500,000"
			AccountsReceivable,"457,000,000","405,000,000","446,000,000","391,000,000","149,000,000","87,000,000","98,000,000","103,000,000","108,000,000","91,000,000","115,000,000","130,000,000","142,000,000","171,000,000","135,000,000","135,000,000","127,230,000","131,691,000","97,797,000","86,125,000","81,615,000","88,156,000","51,999,000","26,778,000",,,,,,,,
				GrossAccountsReceivable,"462,000,000","412,000,000","477,000,000","487,000,000","161,000,000","90,000,000","103,000,000","149,000,000","159,000,000","136,000,000","155,000,000","168,000,000","188,000,000","191,000,000","157,000,000","151,000,000","142,866,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,000,000","-7,000,000","-31,000,000","-96,000,000","-12,000,000","-3,000,000","-5,000,000","-46,000,000","-51,000,000","-45,000,000","-40,000,000","-38,000,000","-46,000,000","-20,000,000","-22,000,000","-16,000,000","-15,636,000",,,,,,,,,,,,,,,
			NotesReceivable,"782,000,000","687,000,000","509,000,000","132,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
