name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,09/30/1993
OperatingCashFlow,"4,884,000,000","4,884,000,000","5,046,000,000","3,889,000,000","3,250,000,000","2,414,000,000","2,324,000,000","2,112,000,000","1,599,000,000","1,460,000,000","1,589,000,000","1,446,000,000","1,366,000,000","1,246,000,000","1,013,000,000","998,000,000","812,000,000","830,000,000","726,760,000","609,550,000","597,606,000","578,863,000","562,390,000","576,833,000","233,213,000","6,064,000","73,200,000","68,300,000","81,100,000","61,500,000","76,500,000","9,300,000","11,700,000"
	CashFlowFromContinuingOperatingActivities,"4,884,000,000","4,884,000,000","5,046,000,000","3,889,000,000","3,250,000,000","2,414,000,000","2,324,000,000","2,112,000,000","1,599,000,000","1,460,000,000","1,589,000,000","1,446,000,000","1,366,000,000","1,246,000,000","1,013,000,000","998,000,000","812,000,000","830,000,000","726,760,000","634,993,000","596,550,000","552,513,000","552,047,000","351,623,000","233,213,000","6,064,000","73,200,000","68,300,000","81,100,000","61,500,000","76,500,000","9,300,000","11,700,000"
		NetIncomeFromContinuingOperations,"2,963,000,000","2,963,000,000","2,384,000,000","2,066,000,000","2,062,000,000","1,826,000,000","1,557,000,000","1,329,000,000","985,000,000","625,000,000","365,000,000","867,000,000","805,000,000","792,000,000","634,000,000","516,000,000","447,000,000","477,000,000","441,143,000","416,963,000","381,627,000","323,322,000","343,034,000","53,615,000","-82,793,000","305,661,000","376,500,000","-12,200,000","68,300,000","-20,700,000","-45,400,000","-176,300,000","8,400,000"
		OperatingGainsLosses,,,,,,,,"79,000,000",,,,"-21,000,000",,,,"-58,000,000",,"-98,000,000","-31,676,000","4,732,000","13,343,000","49,204,000","-17,894,000","290,897,000","159,632,000","-386,438,000","-579,300,000","50,700,000","-69,900,000","8,000,000","52,500,000","156,200,000",
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"0","0","79,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"-21,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"789,000,000","789,000,000","806,000,000","746,000,000","363,000,000","218,000,000","225,000,000","253,000,000","236,000,000","238,000,000","231,000,000","197,000,000","232,000,000","242,000,000","241,000,000","256,000,000","275,000,000","217,000,000","158,528,000","117,008,000","128,977,000","112,110,000","98,097,000","77,862,000","325,624,000","213,204,000","141,300,000","53,200,000","58,700,000","68,400,000","64,000,000","38,500,000","3,600,000"
			DepreciationAndAmortization,"789,000,000","789,000,000","806,000,000","746,000,000","363,000,000","218,000,000","225,000,000","253,000,000","236,000,000","238,000,000","231,000,000","197,000,000","232,000,000","242,000,000","241,000,000","256,000,000","275,000,000","217,000,000","158,528,000","117,008,000","128,977,000","112,110,000","98,097,000","77,862,000","325,624,000","213,204,000","141,300,000","53,200,000","58,700,000","68,400,000","64,000,000","38,500,000","3,600,000"
				Depreciation,"159,000,000","159,000,000","160,000,000","187,000,000","166,000,000","189,000,000","199,000,000","228,000,000","214,000,000","195,000,000","157,000,000","144,000,000","166,000,000","171,000,000","164,000,000","148,000,000","149,000,000","117,000,000","94,175,000","94,237,000","99,970,000","77,261,000","73,371,000","58,841,000","59,942,000",,,,,,,,
				AmortizationCashFlow,"630,000,000","630,000,000","646,000,000","559,000,000","197,000,000","29,000,000","26,000,000","25,000,000","22,000,000","43,000,000","74,000,000","53,000,000","66,000,000","71,000,000","77,000,000","108,000,000","126,000,000","100,000,000","64,353,000","22,771,000","29,007,000","34,849,000","24,726,000","19,021,000","265,682,000",,,,,,,,
					AmortizationOfIntangibles,"630,000,000","630,000,000","646,000,000","559,000,000","197,000,000","29,000,000","26,000,000","25,000,000","22,000,000","43,000,000","74,000,000","53,000,000","66,000,000","71,000,000","77,000,000","108,000,000","126,000,000","100,000,000","64,353,000","22,771,000","29,007,000","34,849,000","24,726,000","19,021,000","265,682,000",,,,,,,,
		DeferredTax,"-554,000,000","-554,000,000","-628,000,000","120,000,000","-42,000,000","-179,000,000","-7,000,000","-5,000,000","17,000,000","129,000,000","-15,000,000","175,000,000","82,000,000","9,000,000","112,000,000","-33,000,000","40,000,000","99,000,000","16,881,000","-18,943,000","18,460,000","66,702,000","22,376,000","-21,575,000","-76,682,000","-140,368,000","-25,100,000","-39,200,000","-14,500,000",,"-16,300,000","-5,100,000","-5,200,000"
			DeferredIncomeTax,"-554,000,000","-554,000,000","-628,000,000","120,000,000","-42,000,000","-179,000,000","-7,000,000","-5,000,000","17,000,000","129,000,000","-15,000,000","175,000,000","82,000,000","9,000,000","112,000,000","-33,000,000","40,000,000","99,000,000","16,881,000","-18,943,000","18,460,000","66,702,000","22,376,000","-21,575,000","-76,682,000","-140,368,000","-25,100,000","-39,200,000","-14,500,000",,"-16,300,000","-5,100,000","-5,200,000"
		AssetImpairmentCharge,,,,,,,,,"0","0","297,000,000","0","46,000,000","0","30,000,000","0",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"1,940,000,000","1,940,000,000","1,712,000,000","1,308,000,000","753,000,000","435,000,000","401,000,000","382,000,000","326,000,000","281,000,000","257,000,000","204,000,000","195,000,000","169,000,000","153,000,000","135,000,000","133,000,000","113,000,000","77,314,000",,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"-59,000,000","-85,000,000","-82,000,000","-69,000,000","-70,000,000","-71,000,000","-18,000,000","-9,000,000","-21,000,000","-30,913,000",,,,,,,,,,,,,,
		OtherNonCashItems,"175,000,000","175,000,000","171,000,000","85,000,000","125,000,000","-18,000,000","15,000,000","6,000,000","13,000,000","17,000,000","4,000,000","24,000,000","19,000,000","11,000,000","19,000,000","23,000,000","13,000,000","13,000,000","4,644,000","102,336,000","31,861,000",,,,,,,,"-100,000","100,000","100,000","100,000","100,000"
		ChangeInWorkingCapital,"-429,000,000","-429,000,000","601,000,000","-436,000,000","-11,000,000","132,000,000","133,000,000","68,000,000","22,000,000","170,000,000","450,000,000","82,000,000","56,000,000","93,000,000","-105,000,000","119,000,000","-87,000,000","30,000,000","90,839,000","12,897,000","22,282,000","1,175,000","106,434,000","-49,176,000","-92,568,000","14,005,000","159,800,000","15,800,000","38,600,000","5,700,000","21,600,000","-4,100,000","4,800,000"
			ChangeInReceivables,"-100,000,000","-100,000,000","106,000,000","-2,000,000","-155,000,000","-6,000,000","16,000,000","4,000,000","-39,000,000","44,000,000","-25,000,000","22,000,000","3,000,000","9,000,000","-36,000,000","2,000,000","-18,000,000","11,000,000","-3,913,000","-10,981,000","-4,708,000","-2,037,000","-28,155,000","-13,707,000","39,875,000","-3,643,000","-3,000,000","-17,100,000","7,500,000","-10,500,000","-23,400,000","21,000,000","-7,300,000"
				ChangesInAccountReceivables,"-52,000,000","-52,000,000","42,000,000","-31,000,000","-104,000,000","-59,000,000","11,000,000","5,000,000","5,000,000","-20,000,000","24,000,000","-5,000,000","12,000,000","-10,000,000","-36,000,000","2,000,000","-18,000,000","11,000,000","-3,913,000",,,,,,,,,,,,,,
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,200,000","-1,000,000","1,400,000","2,100,000","-3,100,000","2,000,000","-400,000"
			ChangeInPrepaidAssets,"-30,000,000","-30,000,000","-75,000,000","-121,000,000","30,000,000","-31,000,000","-37,000,000","-33,000,000","-13,000,000","-10,000,000","22,000,000","-14,000,000","-33,000,000","12,000,000","-70,000,000","20,000,000","-12,000,000","-14,000,000","1,600,000","-2,912,000","-40,409,000","-23,517,000","83,284,000","-11,144,000","-63,415,000",,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-558,000,000","-558,000,000","593,000,000","-89,000,000","198,000,000","33,000,000","90,000,000","12,000,000","0","-23,000,000","35,000,000","15,000,000","4,000,000","19,000,000","-39,000,000","54,000,000","-80,000,000","-4,000,000","21,013,000","4,256,000","-3,060,000","12,287,000","-16,908,000","8,522,000","-23,020,000","12,655,000","18,100,000","8,200,000",,"21,500,000","4,800,000","-4,000,000","4,400,000"
				ChangeInPayable,"-558,000,000","-558,000,000","593,000,000","-89,000,000","198,000,000","33,000,000","90,000,000","12,000,000",,"-23,000,000","35,000,000","15,000,000","4,000,000","19,000,000","-39,000,000","54,000,000","-25,000,000","-33,000,000","17,372,000",,,,,,,,,,,,,,
					ChangeInTaxPayable,"-691,000,000","-691,000,000","690,000,000","6,000,000","-8,000,000",,,,,,,,"2,000,000","0","-15,000,000","14,000,000","-18,000,000","-15,000,000","-1,202,000",,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-691,000,000","-691,000,000","690,000,000","6,000,000","-8,000,000",,,,,,,,"2,000,000","0","-15,000,000","14,000,000","-18,000,000","-15,000,000","-1,202,000",,,,,,,,,,,,,,
					ChangeInAccountPayable,"133,000,000","133,000,000","-97,000,000","-95,000,000","206,000,000","33,000,000","90,000,000","12,000,000","0","-23,000,000","35,000,000","15,000,000","4,000,000","19,000,000","-24,000,000","40,000,000","-7,000,000","-18,000,000","18,574,000",,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,"8,000,000","33,000,000","-55,000,000","29,000,000","3,641,000",,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,"-5,598,000","-50,938,000","-54,467,000","32,453,000","-31,800,000","-14,100,000","-4,100,000","-6,800,000","3,800,000","-7,100,000","-200,000"
			ChangeInOtherCurrentLiabilities,"51,000,000","51,000,000","-222,000,000","62,000,000","-36,000,000","-2,000,000","9,000,000","4,000,000","0","-22,000,000","-4,000,000","1,000,000","12,000,000","-2,000,000","4,000,000","-22,000,000",,"60,833,000","25,689,000","38,818,000","53,336,000","14,442,000","68,213,000","-32,847,000","8,459,000","-27,460,000","177,700,000","39,800,000","33,800,000","-600,000","39,500,000","-16,000,000","8,300,000"
			ChangeInOtherWorkingCapital,"208,000,000","208,000,000","199,000,000","-286,000,000","-48,000,000","138,000,000","55,000,000","81,000,000","74,000,000","181,000,000","422,000,000","58,000,000","70,000,000","55,000,000","36,000,000","65,000,000","23,000,000","37,000,000","72,139,000","-16,284,000","17,123,000",,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,"755,000","1,140,000","-25,443,000","1,056,000","26,350,000","10,343,000","225,210,000",,,,,,,,,
InvestingCashFlow,"-227,000,000","-227,000,000","-922,000,000","-5,421,000,000","-3,965,000,000","-97,000,000","-635,000,000","-532,000,000","-17,000,000","371,000,000","-182,000,000","-49,000,000","-485,000,000","-225,000,000","497,000,000","-997,000,000","-432,000,000","-87,000,000","-1,392,627,000","-38,164,000","8,061,000","-210,366,000","-146,193,000","-38,386,000","-283,314,000","-202,680,000","180,400,000","-473,200,000","-118,000,000","-102,900,000","-116,900,000","1,700,000","-29,700,000"
