name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,09/30/1993
TotalRevenue,"16,285,000,000","16,285,000,000","14,368,000,000","12,726,000,000","9,633,000,000","7,679,000,000","6,784,000,000","6,025,000,000","5,196,000,000","4,694,000,000","4,192,000,000","4,243,000,000","3,946,000,000","3,808,000,000","3,449,000,000","3,403,000,000","3,109,000,000","2,993,000,000","2,672,947,000","2,293,010,000","1,993,103,000","1,802,224,000","1,597,071,000","1,312,228,000","1,261,461,000","1,093,825,000","847,600,000","592,700,000","598,900,000","538,600,000","395,700,000","194,100,000","121,400,000"
	OperatingRevenue,"16,285,000,000","16,285,000,000","14,368,000,000","12,726,000,000","9,633,000,000","7,679,000,000","6,784,000,000","6,025,000,000","5,196,000,000","4,694,000,000","4,192,000,000","4,243,000,000","3,946,000,000","3,808,000,000","3,449,000,000","3,403,000,000","3,109,000,000","2,993,000,000","2,672,947,000","2,293,010,000","1,993,103,000","1,802,224,000","1,597,071,000","1,312,228,000","1,261,461,000","1,093,825,000","847,600,000","592,700,000","598,900,000","538,600,000","395,700,000","194,100,000","121,400,000"
CostOfRevenue,"3,465,000,000","3,465,000,000","3,143,000,000","2,406,000,000","1,683,000,000","1,378,000,000","1,167,000,000","978,000,000","810,000,000","752,000,000","725,000,000","621,000,000","540,000,000","585,000,000","490,000,000","634,000,000","637,000,000","590,000,000","509,446,000","407,322,000","359,724,000","353,031,000","337,048,000","289,373,000","312,040,000","77,979,000","160,800,000","94,400,000","226,400,000","109,300,000","93,100,000","51,000,000","35,600,000"
GrossProfit,"12,820,000,000","12,820,000,000","11,225,000,000","10,320,000,000","7,950,000,000","6,301,000,000","5,617,000,000","5,047,000,000","4,386,000,000","3,942,000,000","3,467,000,000","3,622,000,000","3,406,000,000","3,223,000,000","2,959,000,000","2,769,000,000","2,472,000,000","2,403,000,000","2,163,501,000","1,885,688,000","1,633,379,000","1,449,193,000","1,260,023,000","1,022,855,000","949,421,000","1,015,846,000","686,800,000","498,300,000","372,500,000","429,300,000","302,600,000","143,100,000","85,800,000"
OperatingExpense,"8,943,000,000","8,943,000,000","8,072,000,000","7,761,000,000","5,422,000,000","4,120,000,000","3,760,000,000","3,480,000,000","2,961,000,000","2,700,000,000","2,578,000,000","2,316,000,000","2,191,000,000","2,055,000,000","1,871,000,000","1,861,000,000","1,789,000,000","1,759,000,000","1,505,967,000","1,310,616,000","1,091,992,000","1,006,275,000","887,621,000","810,809,000","744,521,000","869,949,000","666,900,000","481,000,000","362,200,000","435,200,000","316,300,000","320,200,000","72,600,000"
	SellingGeneralAndAdministration,"5,706,000,000","5,706,000,000","5,050,000,000","4,998,000,000","3,598,000,000","2,722,000,000","2,521,000,000","2,288,000,000","1,961,000,000","1,807,000,000","1,768,000,000","1,595,000,000","1,527,000,000","1,414,000,000","1,294,000,000","1,255,000,000","1,191,000,000","1,131,000,000","1,033,451,000","924,821,000","799,386,000","720,040,000","625,589,000","537,672,000","522,487,000","487,662,000","382,200,000","319,200,000","199,500,000","366,800,000","198,900,000","281,700,000","69,000,000"
		GeneralAndAdministrativeExpense,"1,394,000,000","1,394,000,000","1,288,000,000","1,472,000,000","954,000,000","674,000,000","594,000,000","657,000,000","546,000,000","518,000,000","480,000,000","438,000,000","405,000,000","381,000,000","335,000,000","342,000,000","284,000,000","290,000,000","291,083,000",,,,,,,,,,,,,,
			SalariesAndWages,"-24,000,000","-24,000,000","-12,000,000","12,000,000","-28,000,000","-5,000,000","-3,000,000","-7,000,000","-7,000,000","0","-3,000,000","-6,000,000","-7,000,000","0","-6,000,000","-4,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,"1,418,000,000","1,418,000,000","1,300,000,000","1,460,000,000","982,000,000","679,000,000","597,000,000","664,000,000","553,000,000","518,000,000","483,000,000","444,000,000","412,000,000","381,000,000","341,000,000","346,000,000","284,000,000","290,000,000","291,083,000",,,,,,,,,,,,,,
		SellingAndMarketingExpense,"4,312,000,000","4,312,000,000","3,762,000,000","3,526,000,000","2,644,000,000","2,048,000,000","1,927,000,000","1,631,000,000","1,415,000,000","1,289,000,000","1,288,000,000","1,157,000,000","1,122,000,000","1,033,000,000","959,000,000","913,000,000","907,000,000","841,000,000","742,368,000",,,,,,,,,,,,,,
