name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"996,566,000","928,725,000","767,084,000","663,643,000","586,372,000","617,949,000","559,157,000","594,599,000","604,557,000","556,371,000","492,104,000","414,518,000","376,248,000","329,253,000","297,117,000","246,667,000","337,201,000","337,401,000","288,868,000","246,404,000","214,919,000","196,814,000","175,721,000","156,378,000","138,619,000","81,300,000","62,100,000","32,500,000"
	OperatingRevenue,"996,566,000","928,725,000","767,084,000","663,643,000","586,372,000","617,949,000","559,157,000","594,599,000","604,557,000","556,371,000","492,104,000","414,518,000","376,248,000","329,253,000","297,117,000","246,667,000","337,201,000","337,401,000","288,868,000","246,404,000","214,919,000","196,814,000","175,721,000","156,378,000","138,619,000","81,300,000","62,100,000","32,500,000"
CostOfRevenue,"457,500,000","430,614,000","358,237,000","297,827,000","269,887,000","284,967,000","240,881,000","245,733,000","249,879,000","235,428,000","212,578,000","181,151,000","161,737,000","139,101,000","128,792,000","107,461,000","151,938,000","147,360,000","123,738,000","101,255,000","90,009,000","78,811,000","67,565,000","66,919,000","61,883,000","37,500,000","26,300,000","14,100,000"
GrossProfit,"539,066,000","498,111,000","408,847,000","365,816,000","316,485,000","332,982,000","318,276,000","348,866,000","354,678,000","320,943,000","279,526,000","233,367,000","214,511,000","190,152,000","168,325,000","139,206,000","185,263,000","190,041,000","165,130,000","145,149,000","124,910,000","118,003,000","108,156,000","89,459,000","76,736,000","43,800,000","35,800,000","18,400,000"
OperatingExpense,"300,935,000","288,230,000","256,147,000","231,483,000","202,424,000","217,058,000","184,389,000","160,300,000","160,371,000","159,497,000","152,402,000","132,080,000","134,438,000","131,308,000","126,398,000","114,182,000","149,428,000","146,983,000","132,872,000","108,563,000","93,301,000","86,586,000","71,378,000","65,809,000","53,446,000","43,300,000","26,500,000","10,000,000"
	SellingGeneralAndAdministration,"160,244,000","155,664,000","137,607,000","125,941,000","109,202,000","121,463,000","103,880,000","93,536,000","96,545,000","97,874,000","97,072,000","81,706,000","84,096,000","81,652,000","76,729,000","66,083,000","88,322,000","86,772,000","77,887,000","69,932,000","53,697,000","54,911,000","47,356,000","41,156,000","33,174,000","28,000,000","15,800,000","6,500,000"
		GeneralAndAdministrativeExpense,"83,299,000","81,174,000","73,070,000","68,086,000","61,444,000","64,603,000","52,618,000","46,054,000","48,322,000","49,259,000","44,455,000","37,147,000","38,474,000","37,708,000","34,027,000","29,946,000","37,145,000",,,,,,,,,,,
			OtherGandA,"83,299,000","81,174,000","73,070,000","68,086,000","61,444,000","64,603,000","52,618,000","46,054,000","48,322,000","49,259,000","44,455,000","37,147,000","38,474,000","37,708,000","34,027,000","29,946,000","37,145,000",,,,,,,,,,,
		SellingAndMarketingExpense,"76,945,000","74,490,000","64,537,000","57,855,000","47,758,000","56,860,000","51,262,000","47,482,000","48,223,000","48,615,000","52,617,000","44,559,000","45,622,000","43,944,000","42,702,000","36,137,000","51,177,000",,,,,,,,,,,
	ResearchAndDevelopment,"134,764,000","126,814,000","111,877,000","97,628,000","84,276,000","87,608,000","71,896,000","57,704,000","54,736,000","53,859,000","48,953,000","44,549,000","44,704,000","42,372,000","40,508,000","36,681,000","48,407,000","46,594,000","41,468,000","34,139,000","28,822,000","27,358,000","20,780,000","19,413,000","16,106,000","10,200,000","9,000,000","3,000,000"
