name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
OperatingCashFlow,"118,548,000,000","118,548,000,000","87,582,000,000","89,035,000,000","76,740,000,000","60,675,000,000","52,185,000,000","43,884,000,000","39,507,000,000","33,325,000,000","29,668,000,000","32,502,000,000","28,833,000,000","31,626,000,000","26,994,000,000","24,073,000,000","19,037,000,000","21,612,000,000","17,796,000,000","14,404,000,000","16,605,000,000","14,626,000,000","15,797,000,000","14,509,000,000","13,422,000,000","11,426,000,000","13,137,000,000","8,433,000,000","4,689,000,000","3,719,000,000","1,990,000,000","1,593,000,000","1,074,000,000","907,000,000","557,900,000","278,300,000","222,500,000"
	CashFlowFromContinuingOperatingActivities,"118,548,000,000","118,548,000,000","87,582,000,000","89,035,000,000","76,740,000,000","60,675,000,000","52,185,000,000","43,884,000,000","39,507,000,000","33,325,000,000","29,668,000,000","32,502,000,000","28,833,000,000","31,626,000,000","26,994,000,000","24,073,000,000","19,037,000,000","21,612,000,000","17,796,000,000","14,404,000,000","16,605,000,000","14,626,000,000","15,797,000,000","14,509,000,000","13,422,000,000","11,426,000,000","13,137,000,000","8,433,000,000","4,689,000,000","3,719,000,000","1,990,000,000","1,593,000,000","1,074,000,000","907,000,000","557,900,000","278,300,000","222,500,000"
		NetIncomeFromContinuingOperations,"88,136,000,000","88,136,000,000","72,361,000,000","72,738,000,000","61,271,000,000","44,281,000,000","39,240,000,000","16,571,000,000","25,489,000,000","20,539,000,000","12,193,000,000","22,074,000,000","21,863,000,000","16,978,000,000","23,150,000,000","18,760,000,000","14,569,000,000","17,681,000,000","14,065,000,000","12,599,000,000","12,254,000,000","8,168,000,000","7,531,000,000","7,829,000,000","7,346,000,000","9,421,000,000","7,785,000,000","4,490,000,000","3,454,000,000","2,195,000,000","1,453,000,000","1,146,000,000","953,000,000","708,100,000","462,700,000","279,200,000","170,500,000"
		OperatingGainsLosses,"305,000,000","305,000,000","196,000,000","-409,000,000","-1,249,000,000","-219,000,000","-792,000,000","-2,212,000,000","-2,073,000,000","-223,000,000","-443,000,000","-109,000,000","80,000,000","-200,000,000","-362,000,000","-208,000,000","683,000,000","-572,000,000","-292,000,000","-270,000,000","385,000,000","4,788,000,000","6,721,000,000","4,020,000,000","4,662,000,000","3,803,000,000","2,947,000,000","296,000,000",,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"-219,000,000","-792,000,000","-2,212,000,000","-2,073,000,000","-223,000,000","-443,000,000","-109,000,000","80,000,000","-200,000,000","-362,000,000","-208,000,000","683,000,000","-572,000,000","-292,000,000","-270,000,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"22,287,000,000","22,287,000,000","13,861,000,000","14,460,000,000","11,686,000,000","12,796,000,000","11,682,000,000","10,261,000,000","8,778,000,000","6,622,000,000","5,957,000,000","5,212,000,000","3,755,000,000","2,967,000,000","2,766,000,000","2,673,000,000","2,562,000,000","2,056,000,000","1,440,000,000","903,000,000","855,000,000","1,186,000,000","1,393,000,000","1,084,000,000","1,536,000,000","1,250,000,000","926,000,000","1,024,000,000","557,000,000","480,000,000","269,000,000","237,000,000","151,000,000","112,300,000","75,800,000","46,300,000","24,200,000"
			DepreciationAndAmortization,"22,287,000,000","22,287,000,000","13,861,000,000","14,460,000,000","11,686,000,000","12,796,000,000","11,682,000,000","10,261,000,000","8,778,000,000","6,622,000,000","5,957,000,000","5,212,000,000","3,755,000,000","2,967,000,000","2,766,000,000","2,673,000,000","2,562,000,000","2,056,000,000","1,440,000,000","903,000,000","855,000,000","1,186,000,000","1,393,000,000","1,084,000,000","1,536,000,000","1,250,000,000","926,000,000","1,024,000,000","557,000,000","480,000,000","269,000,000","237,000,000","151,000,000","112,300,000","75,800,000","46,300,000","24,200,000"
				Depreciation,"22,287,000,000","22,287,000,000","13,861,000,000","14,460,000,000","11,686,000,000","12,796,000,000","11,682,000,000","10,261,000,000","8,778,000,000","6,622,000,000","5,957,000,000","5,212,000,000","3,755,000,000","2,967,000,000","2,766,000,000","2,673,000,000",,"2,056,000,000",,,,,,,,,,,,,,,,,,,
		DeferredTax,"-4,738,000,000","-4,738,000,000","-6,059,000,000","-5,702,000,000","-150,000,000","11,000,000","-6,463,000,000","-5,143,000,000","-829,000,000","2,479,000,000","224,000,000","-331,000,000","-19,000,000","954,000,000","2,000,000","-220,000,000","762,000,000","935,000,000","421,000,000","219,000,000","-179,000,000","-1,479,000,000","-1,348,000,000","-416,000,000","-420,000,000","-425,000,000",,,,,,,,,,,
			DeferredIncomeTax,"-4,738,000,000","-4,738,000,000","-6,059,000,000","-5,702,000,000","-150,000,000","11,000,000","-6,463,000,000","-5,143,000,000","-829,000,000","2,479,000,000","224,000,000","-331,000,000","-19,000,000","954,000,000","2,000,000","-220,000,000","762,000,000","935,000,000","421,000,000","219,000,000","-179,000,000","-1,479,000,000","-1,348,000,000","-416,000,000","-420,000,000","-425,000,000",,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,"0","0","630,000,000","7,498,000,000","0","0","6,193,000,000","0","0",,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"10,734,000,000","10,734,000,000","9,611,000,000","7,502,000,000","6,118,000,000","5,289,000,000","4,652,000,000","3,940,000,000","3,266,000,000","2,668,000,000","2,574,000,000","2,446,000,000","2,406,000,000","2,244,000,000","2,166,000,000","1,891,000,000","1,708,000,000","1,479,000,000","1,550,000,000","1,715,000,000",,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,"-588,000,000","-271,000,000","-209,000,000","-93,000,000","-17,000,000","-45,000,000","-52,000,000","-120,000,000","-77,000,000","-89,000,000",,,,,,,,,,,,,,,,,
