name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"13,336,000,000","12,814,000,000","12,189,000,000","10,876,000,000","10,642,000,000","9,409,000,000","8,208,000,000","8,463,000,000","8,346,000,000","10,423,000,000","11,851,000,000","12,679,000,000","13,929,000,000","25,577,000,000","25,603,000,000","27,869,000,000","34,812,000,000","38,592,000,000","35,802,000,000","30,922,000,000","32,098,000,000","31,152,000,000","33,398,000,000","42,343,000,000","40,489,000,000","28,728,000,000","27,278,000,000","24,076,000,000","22,801,000,000","17,536,000,000","13,498,000,000","10,629,000,000","9,375,000,000","8,742,000,000","7,686,000,000","6,710,000,000","5,321,000,000","4,682,000,000","4,370,000,000"
	CurrentAssets,"5,725,000,000","5,255,000,000","5,412,000,000","4,327,000,000","4,178,000,000","4,272,000,000","3,950,000,000","3,468,000,000","4,619,000,000","6,879,000,000","7,020,000,000","7,401,000,000","8,768,000,000","17,154,000,000","16,032,000,000","17,363,000,000","22,222,000,000","30,975,000,000","28,022,000,000","21,115,000,000","17,907,000,000","17,134,000,000","17,149,000,000","19,885,000,000","17,585,000,000","13,531,000,000","13,236,000,000","11,319,000,000","10,510,000,000","8,925,000,000","6,713,000,000","5,218,000,000","4,487,000,000","4,452,000,000","3,915,000,000","3,380,000,000","2,707,000,000","2,239,000,000","2,109,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,705,000,000","1,325,000,000","1,874,000,000","1,254,000,000","1,001,000,000","1,257,000,000","1,205,000,000","1,013,000,000","2,418,000,000","3,954,000,000","3,225,000,000","3,603,000,000","5,091,000,000","8,863,000,000","7,963,000,000","6,979,000,000","3,364,000,000","15,640,000,000","14,785,000,000","10,708,000,000","8,016,000,000","6,566,000,000","6,162,000,000","3,655,000,000","4,236,000,000","1,453,000,000","1,445,000,000","1,513,000,000","725,000,000","741,000,000","1,244,000,000","677,000,000","302,000,000","265,000,000","231,000,000","340,000,000","258,000,000","185,000,000","176,000,000"
			CashAndCashEquivalents,"1,705,000,000","1,325,000,000","1,874,000,000","1,254,000,000","1,001,000,000","1,257,000,000","1,205,000,000","967,000,000","1,980,000,000","3,954,000,000","3,225,000,000","1,468,000,000","1,881,000,000","4,208,000,000","2,869,000,000","3,064,000,000","2,752,000,000","3,212,000,000","3,774,000,000","2,846,000,000","7,877,000,000","6,507,000,000","6,082,000,000","3,301,000,000","3,537,000,000","1,453,000,000","1,445,000,000","1,513,000,000","725,000,000","741,000,000","886,000,000","677,000,000","302,000,000","265,000,000","231,000,000","340,000,000","258,000,000","185,000,000","176,000,000"
			OtherShortTermInvestments,,,,,,,"0","46,000,000","438,000,000","0","2,000,000","2,135,000,000","3,210,000,000","4,655,000,000","5,094,000,000","3,915,000,000","612,000,000","12,428,000,000","11,011,000,000","7,862,000,000","139,000,000","59,000,000","80,000,000","354,000,000","699,000,000","171,000,000","335,000,000","298,000,000","350,000,000",,"358,000,000",,,,,,,,
		Receivables,"2,940,000,000","2,633,000,000","2,569,000,000","2,398,000,000","2,559,000,000","2,473,000,000","2,224,000,000","1,976,000,000","1,780,000,000","1,978,000,000","1,881,000,000","2,392,000,000","2,253,000,000","3,268,000,000","2,845,000,000","3,493,000,000","5,324,000,000","7,509,000,000","5,652,000,000","5,511,000,000","4,436,000,000","4,437,000,000","4,583,000,000","7,092,000,000","5,627,000,000","5,057,000,000","4,847,000,000","4,035,000,000","4,081,000,000","3,739,000,000","2,476,000,000","2,289,000,000","1,953,000,000","1,857,000,000","1,683,000,000","1,400,000,000","1,101,000,000","851,000,000","813,000,000"
			AccountsReceivable,"1,710,000,000","1,518,000,000","1,386,000,000","1,390,000,000","1,412,000,000","1,293,000,000","1,523,000,000","1,410,000,000","1,362,000,000","1,409,000,000","1,369,000,000","1,881,000,000","1,866,000,000","3,268,000,000","2,845,000,000","3,493,000,000","5,324,000,000","7,509,000,000","5,652,000,000","4,525,000,000","4,436,000,000","4,437,000,000","4,583,000,000","7,092,000,000","5,627,000,000","5,057,000,000","4,847,000,000","4,035,000,000","4,081,000,000","3,739,000,000","2,476,000,000","2,289,000,000",,,,,,,
				GrossAccountsReceivable,"1,779,000,000","1,579,000,000","1,456,000,000","1,465,000,000","1,475,000,000","1,344,000,000","1,568,000,000","1,454,000,000","1,390,000,000","1,444,000,000","1,422,000,000","1,932,000,000","1,911,000,000","3,366,000,000","2,920,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-69,000,000","-61,000,000","-70,000,000","-75,000,000","-63,000,000","-51,000,000","-45,000,000","-44,000,000","-28,000,000","-35,000,000","-53,000,000","-51,000,000","-45,000,000","-98,000,000","-75,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"32,000,000","33,000,000","41,000,000","52,000,000","77,000,000","138,000,000","90,000,000","90,000,000","44,000,000","103,000,000","107,000,000","95,000,000","85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,198,000,000","1,082,000,000","1,142,000,000","956,000,000","1,070,000,000","1,042,000,000","611,000,000","476,000,000","374,000,000","466,000,000","405,000,000","416,000,000","302,000,000",,,,"960,000,000",,"1,599,000,000","986,000,000",,,,,,,,,,,,,,,,,,,
