name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"2,521,000,000","2,044,000,000","1,823,000,000","1,837,000,000","1,613,000,000","1,823,000,000","1,075,000,000","1,346,000,000","1,165,000,000","1,021,000,000","-542,000,000","944,000,000","1,070,000,000","874,000,000","1,972,000,000","629,000,000","242,000,000","785,000,000","3,499,000,000","4,308,000,000","4,265,000,000","2,787,000,000","1,339,000,000","1,976,000,000","-1,164,000,000","2,140,000,000","1,295,000,000","2,596,000,000","4,188,000,000","3,287,000,000","2,552,000,000","2,314,000,000","1,942,000,000","1,358,000,000","1,308,000,000","1,211,000,000"
	CashFlowFromContinuingOperatingActivities,"2,521,000,000","2,044,000,000","1,823,000,000","1,837,000,000","1,613,000,000","1,823,000,000","1,075,000,000","1,346,000,000","1,165,000,000","1,021,000,000","-637,000,000","555,000,000","674,000,000","848,000,000","803,000,000","-95,000,000","242,000,000","841,000,000","3,899,000,000","4,367,000,000","2,335,000,000","1,991,000,000","1,339,000,000","1,976,000,000","-1,164,000,000","2,140,000,000","1,295,000,000","2,596,000,000","4,188,000,000","3,287,000,000","2,552,000,000","2,314,000,000","1,942,000,000","1,358,000,000","1,308,000,000","1,211,000,000"
		NetIncomeFromContinuingOperations,"1,469,000,000","1,714,000,000","1,367,000,000","1,250,000,000","953,000,000","871,000,000","969,000,000","-151,000,000","562,000,000","643,000,000","-696,000,000","939,000,000","670,000,000","741,000,000","261,000,000","-344,000,000","-4,240,000,000","-49,000,000","3,661,000,000","4,578,000,000","1,532,000,000","928,000,000","-2,485,000,000","-3,937,000,000","1,318,000,000","891,000,000","-907,000,000","1,180,000,000","1,154,000,000","1,781,000,000","1,560,000,000","1,022,000,000","576,000,000","454,000,000","499,000,000","498,000,000"
		OperatingGainsLosses,,,"3,000,000","17,000,000","58,000,000","400,000,000","-22,000,000","45,000,000","34,000,000","-139,000,000","1,894,000,000","-37,000,000","-20,000,000","58,000,000","-37,000,000","-141,000,000","-82,000,000","-50,000,000","-41,000,000","-1,845,000,000","-460,000,000","-381,000,000","3,922,000,000","4,107,000,000","245,000,000","780,000,000","2,189,000,000","-116,000,000","-78,000,000","-111,000,000","-9,000,000",,,,,
			GainLossOnSaleOfPPE,,,,,,,,,"0","0","-21,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"-3,000,000","-1,000,000","2,000,000","-5,000,000","-16,000,000","-3,000,000","6,000,000","-107,000,000","-5,000,000","-37,000,000","-26,000,000","-23,000,000","-49,000,000",,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,"0","0","359,000,000","0","48,000,000","26,000,000","-32,000,000","1,883,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"337,000,000","356,000,000","440,000,000","438,000,000","409,000,000","394,000,000","360,000,000","343,000,000","295,000,000","150,000,000","173,000,000","158,000,000","151,000,000","366,000,000","353,000,000","642,000,000","831,000,000","903,000,000","558,000,000","540,000,000","566,000,000","818,000,000","2,108,000,000","2,552,000,000","2,522,000,000","2,360,000,000","2,331,000,000","2,339,000,000","2,316,000,000","1,931,000,000","1,547,000,000","1,196,000,000","1,029,000,000","886,000,000","790,000,000","650,000,000"
			DepreciationAndAmortization,"337,000,000","356,000,000","440,000,000","438,000,000","409,000,000","394,000,000","360,000,000","343,000,000","295,000,000","150,000,000","173,000,000","158,000,000","151,000,000","366,000,000","353,000,000","642,000,000","831,000,000","903,000,000","558,000,000","540,000,000","566,000,000","818,000,000","2,108,000,000","2,552,000,000","2,522,000,000","2,360,000,000","2,331,000,000","2,339,000,000","2,316,000,000","1,931,000,000","1,547,000,000","1,196,000,000","1,029,000,000","886,000,000","790,000,000","650,000,000"
				Depreciation,,,,,,,,,,,,,,,,"751,000,000","831,000,000",,,,,,,,,,,,,,"1,525,000,000",,,,,
