name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"10,421,000,000","9,978,000,000","9,112,000,000","8,171,000,000","7,414,000,000","7,887,000,000","7,343,000,000","6,380,000,000","6,038,000,000","5,695,000,000","5,881,000,000","6,227,000,000","6,269,000,000","8,203,000,000","7,617,000,000","18,147,000,000","30,146,000,000","36,622,000,000","42,879,000,000","35,262,000,000","29,663,000,000","23,155,000,000","27,279,000,000","30,486,000,000","37,346,000,000","33,075,000,000","31,340,000,000","29,794,000,000","27,973,000,000","27,037,000,000","22,245,000,000","16,963,000,000","13,303,000,000","11,341,000,000","10,885,000,000","9,620,000,000","8,250,000,000","6,707,000,000","5,888,000,000","5,443,000,000"
	OperatingRevenue,"10,421,000,000","9,978,000,000","9,112,000,000","8,171,000,000","7,414,000,000","7,887,000,000","7,343,000,000","6,380,000,000","6,038,000,000","5,695,000,000","5,881,000,000","6,227,000,000","6,269,000,000","8,203,000,000","7,617,000,000","18,147,000,000","30,146,000,000","36,622,000,000","42,879,000,000","35,262,000,000","29,663,000,000","23,155,000,000","27,279,000,000","30,486,000,000","37,346,000,000","33,075,000,000","31,340,000,000","29,794,000,000","27,973,000,000","27,037,000,000","22,245,000,000","16,963,000,000","13,303,000,000","11,341,000,000","10,885,000,000","9,620,000,000","8,250,000,000","6,707,000,000","5,888,000,000","5,443,000,000"
CostOfRevenue,"5,155,000,000","5,008,000,000","4,883,000,000","4,131,000,000","3,806,000,000","3,956,000,000","3,863,000,000","3,356,000,000","3,169,000,000","2,976,000,000","3,050,000,000","3,118,000,000","3,075,000,000","4,057,000,000","3,805,000,000","12,406,000,000","21,751,000,000","26,670,000,000","30,152,000,000","23,833,000,000","19,698,000,000","15,652,000,000","18,307,000,000","23,121,000,000","25,168,000,000","20,631,000,000","19,396,000,000","19,993,000,000","18,982,000,000","17,533,000,000","13,760,000,000","10,351,000,000","8,479,000,000","7,245,000,000","6,882,000,000","5,905,000,000","5,040,000,000","4,059,000,000","3,647,000,000","3,406,000,000"
GrossProfit,"5,266,000,000","4,970,000,000","4,229,000,000","4,040,000,000","3,608,000,000","3,931,000,000","3,480,000,000","3,024,000,000","2,869,000,000","2,719,000,000","2,831,000,000","3,109,000,000","3,194,000,000","4,146,000,000","3,812,000,000","5,741,000,000","8,395,000,000","9,952,000,000","12,727,000,000","11,429,000,000","9,965,000,000","7,503,000,000","8,972,000,000","7,365,000,000","12,178,000,000","12,444,000,000","11,944,000,000","9,801,000,000","8,991,000,000","9,504,000,000","8,485,000,000","6,612,000,000","4,824,000,000","4,096,000,000","4,003,000,000","3,715,000,000","3,210,000,000","2,648,000,000","2,241,000,000","2,037,000,000"
OperatingExpense,"2,542,000,000","2,512,000,000","2,363,000,000","2,200,000,000","2,113,000,000","2,220,000,000","2,061,000,000","1,698,000,000","1,665,000,000","1,649,000,000","1,869,000,000","2,092,000,000","2,263,000,000","3,147,000,000","3,036,000,000","6,233,000,000","10,650,000,000","10,119,000,000","8,635,000,000","6,821,000,000","6,999,000,000","6,175,000,000","9,021,000,000","11,310,000,000","10,687,000,000","11,023,000,000","11,180,000,000","7,854,000,000","7,031,000,000","6,573,000,000","5,906,000,000","4,946,000,000","3,867,000,000","3,354,000,000","3,204,000,000","2,939,000,000","2,500,000,000","2,153,000,000","1,890,000,000","1,916,000,000"
	SellingGeneralAndAdministration,"1,518,000,000","1,462,000,000","1,327,000,000","1,230,000,000","1,212,000,000","1,325,000,000","1,179,000,000","979,000,000","999,000,000","1,021,000,000","1,184,000,000","1,330,000,000","1,472,000,000","1,912,000,000","1,874,000,000","3,058,000,000","4,330,000,000","5,092,000,000","4,504,000,000","3,628,000,000","3,508,000,000","3,285,000,000","4,472,000,000","4,919,000,000","5,733,000,000","5,220,000,000","5,807,000,000","5,515,000,000","4,715,000,000","4,642,000,000","4,381,000,000","3,776,000,000","2,838,000,000","2,468,000,000","2,414,000,000","2,289,000,000","1,957,000,000","1,659,000,000","1,431,000,000","1,475,000,000"
		GeneralAndAdministrativeExpense,"1,518,000,000","1,462,000,000","1,327,000,000","1,230,000,000","1,212,000,000","1,325,000,000","1,179,000,000","979,000,000","999,000,000","1,021,000,000","1,184,000,000","1,330,000,000","1,472,000,000","1,912,000,000","1,874,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"-113,000,000","-99,000,000","-123,000,000","-123,000,000","-81,000,000","-78,000,000","-75,000,000","-46,000,000","-45,000,000","0","1,917,000,000","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,631,000,000","1,561,000,000","1,450,000,000","1,353,000,000","1,293,000,000","1,403,000,000","1,254,000,000","1,025,000,000","1,044,000,000","1,021,000,000","1,184,000,000","1,330,000,000","1,472,000,000","1,912,000,000","1,874,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"869,000,000","858,000,000","779,000,000","734,000,000","686,000,000","687,000,000","637,000,000","568,000,000","553,000,000","620,000,000","681,000,000","761,000,000","790,000,000","1,035,000,000","1,037,000,000","2,598,000,000","4,109,000,000","4,429,000,000","4,106,000,000","3,600,000,000","3,316,000,000","2,979,000,000","3,716,000,000","4,275,000,000","4,437,000,000","3,560,000,000","3,118,000,000",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"155,000,000","177,000,000","257,000,000","236,000,000","215,000,000","208,000,000","188,000,000","151,000,000","113,000,000","8,000,000","4,000,000","1,000,000","1,000,000","200,000,000","203,000,000","277,000,000","318,000,000","369,000,000",,,,,,"2,357,000,000","2,352,000,000","2,243,000,000","2,255,000,000","2,339,000,000","2,316,000,000","1,931,000,000","1,525,000,000","1,170,000,000","1,029,000,000","886,000,000","790,000,000","650,000,000","543,000,000","494,000,000","459,000,000","441,000,000"
		DepreciationAndAmortizationInIncomeStatement,"155,000,000","177,000,000","257,000,000","236,000,000","215,000,000","208,000,000","188,000,000","151,000,000","113,000,000","8,000,000","4,000,000","1,000,000","1,000,000","200,000,000","203,000,000","277,000,000","318,000,000","369,000,000",,,,,,"2,357,000,000","2,352,000,000","2,243,000,000","2,255,000,000","2,339,000,000","2,316,000,000","1,931,000,000","1,525,000,000","1,170,000,000","1,029,000,000","886,000,000","790,000,000","650,000,000","543,000,000","494,000,000","459,000,000","441,000,000"
			Amortization,"155,000,000","177,000,000","257,000,000","236,000,000","215,000,000","208,000,000","188,000,000","151,000,000","113,000,000","8,000,000","4,000,000","1,000,000","1,000,000","200,000,000","203,000,000","277,000,000","318,000,000","369,000,000",,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"155,000,000","177,000,000","257,000,000","236,000,000","215,000,000","208,000,000","188,000,000","151,000,000","113,000,000","8,000,000","4,000,000","1,000,000","1,000,000","200,000,000","203,000,000","277,000,000","318,000,000","369,000,000",,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,"15,000,000",,,,"1,000,000","57,000,000","-47,000,000",,,"1,917,000,000",,,"1,000,000","-78,000,000","300,000,000","1,893,000,000","229,000,000","25,000,000","-407,000,000","175,000,000","-89,000,000","833,000,000","2,116,000,000","517,000,000",,,,,,,,,,,,,,,
OperatingIncome,"2,724,000,000","2,458,000,000","1,866,000,000","1,840,000,000","1,495,000,000","1,711,000,000","1,419,000,000","1,326,000,000","1,204,000,000","1,070,000,000","962,000,000","1,017,000,000","931,000,000","999,000,000","776,000,000","-492,000,000","-2,255,000,000","-167,000,000","4,092,000,000","4,608,000,000","2,966,000,000","1,328,000,000","-49,000,000","-3,945,000,000","1,491,000,000","1,421,000,000","764,000,000","1,947,000,000","1,960,000,000","2,931,000,000","2,579,000,000","1,666,000,000","957,000,000","742,000,000","799,000,000","776,000,000","710,000,000","495,000,000","351,000,000","121,000,000"
NetNonOperatingInterestIncomeExpense,"-218,000,000","-216,000,000","-226,000,000","-208,000,000","-220,000,000","-220,000,000","-222,000,000","-201,000,000","-205,000,000","-173,000,000","-126,000,000","-113,000,000","-66,000,000","-74,000,000","-129,000,000","-132,000,000","48,000,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"54,000,000","33,000,000","14,000,000","7,000,000","13,000,000","17,000,000","18,000,000","14,000,000","20,000,000","13,000,000","21,000,000","19,000,000","42,000,000","58,000,000","88,000,000","79,000,000","272,000,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"272,000,000","249,000,000","240,000,000","215,000,000","233,000,000","237,000,000","240,000,000","215,000,000","225,000,000","186,000,000","147,000,000","132,000,000","108,000,000","132,000,000","217,000,000","211,000,000","224,000,000",,,,,,,,,,,,,,,,,,,,,,,
