name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
OperatingCashFlow,"-46,320,046","-46,320,046","-154,037,992","-704,286,935","-106,253,254","-54,175,322","-101,200,526","-86,651,662","-179,768,316","-175,586,790","-269,097,406","-357,569,636","-489,190,063","-270,894,564","-247,551,589","-106,085,603","692,634,096","616,596,280","598,404,244.275","148,960,031.015","35,083,586.124","57,711,039.944","3,391,247.921","-13,373,734.925"
	CashFlowFromContinuingOperatingActivities,"-46,320,046","-46,320,046","-154,037,992","-704,286,935","-106,253,254","-54,175,322","-101,200,526","-86,651,662","-179,768,316","-175,586,790","-269,097,406","-357,569,636","-489,190,063","-270,894,564","-247,551,589","-106,085,603","692,634,096","616,596,280","598,404,244.275","148,960,031.015","35,083,586.124","57,711,039.944","3,391,247.921","-13,373,734.925"
		NetIncomeFromContinuingOperations,"12,576,379","12,576,379","-979,492,255","-416,825,268","393,433,738","-196,168,740","-239,284,796","-112,092,907","-667,089,945","-354,181,969","-128,942,408","-562,916,605","-559,826,125","-313,175,960","-518,710,723","-409,931,633","96,181,302","240,891,954","312,212,765.523","72,501,321.76","24,484,209.752","48,474,660.968","-26,341,007.844","-15,999,674.35"
		OperatingGainsLosses,"-395,441,034","-395,441,034","-50,674,351","-75,293,552","-524,919,683","-10,456,281","11,715,964","-28,981,971","78,592,833","25,680,379","-190,399,730","881,806","6,676,776","-28,183,516","8,511,199","2,065,146","2,211,418","5,678,407","-19,884,139.635","21,251,357.346","-14,340,545.537","-48,176,175.714","6,577,042.175","71,754.397"
			GainLossOnSaleOfBusiness,"-160,193,157","-160,193,157","3,036,803","-15,015,770","-475,763,098","-1,901,553","-10,473,159","-115,349","1,217,405","-3,339,394","-165,392,382","0","0","0","1,082,591",,,,,,,,,
			GainLossOnSaleOfPPE,"-49,858","-49,858","-8,839,140","-3,908,778","-29,793","-2,153,158","-183,767","18,460","1,765,367","1,563,518","1,346,972","13,137","-140,163","2,334,725","-984,264","-490,369","-29,717","-275",,,,,,
			NetForeignCurrencyExchangeGainLoss,"-36,725,900","-36,725,900","-7,622,038","4,152,704","8,319,669","5,474,002","20,331,430","-19,206,747","13,131,779","7,313,303","3,086,602","-1,507,157","-1,898,715","10,574,954","4,527,477",,,,,,,,,
			GainLossOnInvestmentSecurities,"-23,170,534","-23,170,534","-37,249,976","-62,246,860","-2,856,494","-14,722,832","-2,251,427","-12,615,466","-48,057,204","7,129,161","-33,153,452","0","-15,725,792","-44,434,802","-6,827,900",,"0",,,,,,,
			EarningsLossesFromEquityInvestments,"0","0","0","1,725,152","2,165,935","2,847,260","4,292,887","2,937,131","110,535,486","13,013,791","3,712,530","2,375,826","6,347,447","3,341,607","10,713,295","2,555,515","2,241,135","5,678,682",,,,,,
		DepreciationAmortizationDepletion,"86,865,803","86,865,803","91,380,588","47,435,448","447,782","4,219,460","5,571,171","7,219,969","19,390,186","32,621,319","46,440,982","43,972,129","32,849,932","18,794,284","35,790,083","174,431,163","298,594,944","211,964,448","166,304,643.34","73,285,403.933","3,527,866.073","3,444,231.923","3,864,729.263","3,443,482.606"
			DepreciationAndAmortization,"86,865,803","86,865,803","91,380,588","47,435,448","447,782","4,219,460","5,571,171","7,219,969","19,390,186","32,621,319","46,440,982","43,972,129","32,849,932","18,794,284","35,790,083","174,431,163","298,594,944","211,964,448","166,304,643.34","73,285,403.933","3,527,866.073","3,444,231.923","3,864,729.263","3,443,482.606"
				Depreciation,,,"91,380,588","47,435,448","447,782","2,778,778","3,650,261","5,299,059","7,317,920","13,484,477","15,665,588","19,035,455","20,266,129","14,914,744","23,856,884","123,028,739","207,787,590","122,658,272","76,094,476.925","39,479,519.956","3,359,041.482",,,
				AmortizationCashFlow,,,,"0","0","1,440,682","1,920,910","1,920,910","12,072,266","19,136,842","30,775,394","24,936,674","12,583,803","3,879,540","11,933,199","51,402,424","90,807,354","89,306,176","90,210,166.415","33,805,883.978","168,824.591",,,
