name,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
TotalAssets,"140,976,000,000","134,384,000,000","109,297,000,000","131,107,000,000","115,438,000,000","108,709,000,000","137,851,000,000","134,991,000,000","112,180,000,000","110,903,000,000","90,266,000,000","81,812,000,000","78,327,000,000","73,535,000,000","61,578,000,000","47,416,000,000","47,268,000,000","34,572,000,000","29,029,000,000","20,687,000,000","12,763,000,000","10,967,000,000","10,800,000,000","11,030,000,000","13,077,000,000","7,259,654,000","5,819,011,000","4,624,315,000","3,357,243,000","2,424,500,000","1,595,000,000","1,184,000,000","955,600,000","857,600,000","787,200,000","460,200,000","249,600,000","143,800,000","57,400,000"
	CurrentAssets,"22,554,000,000","21,004,000,000","31,633,000,000","55,567,000,000","52,140,000,000","46,386,000,000","76,159,000,000","74,515,000,000","64,313,000,000","62,520,000,000","48,128,000,000","41,692,000,000","40,023,000,000","39,174,000,000","27,004,000,000","18,581,000,000","18,103,000,000","12,883,000,000","11,974,000,000","8,448,000,000","11,336,000,000","9,227,000,000","8,728,000,000","8,963,000,000","10,883,000,000","5,447,274,000","4,323,050,000","3,271,096,000","2,284,465,000","1,617,200,000","1,075,600,000","842,300,000","640,700,000","586,200,000","569,300,000","336,900,000","191,800,000","109,100,000","41,500,000"
		CashCashEquivalentsAndShortTermInvestments,"10,661,000,000","10,187,000,000","21,902,000,000","46,554,000,000","43,057,000,000","37,827,000,000","67,261,000,000","66,078,000,000","56,125,000,000","54,368,000,000","38,819,000,000","32,216,000,000","30,676,000,000","28,848,000,000","18,469,000,000","12,624,000,000","11,043,000,000","7,020,000,000","7,605,000,000","4,771,000,000","8,587,000,000","6,519,000,000","5,841,000,000","5,887,000,000","7,762,000,000","2,562,764,000","1,919,199,000","1,213,190,000","840,908,000","585,900,000","404,800,000","284,600,000","153,300,000","101,500,000","44,800,000","49,400,000","48,600,000","37,600,000","12,500,000"
			CashAndCashEquivalents,"10,454,000,000","9,765,000,000","21,383,000,000","30,098,000,000","37,239,000,000","20,514,000,000","21,620,000,000","21,784,000,000","20,152,000,000","21,716,000,000","17,769,000,000","14,613,000,000","14,955,000,000","16,163,000,000","9,914,000,000","8,995,000,000","8,262,000,000","6,218,000,000","6,659,000,000","3,894,000,000","4,138,000,000","4,737,000,000","3,095,000,000","4,449,000,000","7,429,000,000","1,785,715,000","1,273,681,000","890,162,000","715,742,000","480,200,000","404,800,000","284,600,000","153,300,000","101,500,000","44,800,000","49,400,000","48,600,000","37,600,000","12,500,000"
			OtherShortTermInvestments,"207,000,000","422,000,000","519,000,000","16,456,000,000","5,818,000,000","17,313,000,000","45,641,000,000","44,294,000,000","35,973,000,000","32,652,000,000","21,050,000,000","17,603,000,000","15,721,000,000","12,685,000,000","8,555,000,000","3,629,000,000","2,781,000,000","802,000,000","946,000,000","877,000,000","4,449,000,000","1,782,000,000","2,746,000,000","1,438,000,000","333,000,000","777,049,000","645,518,000","323,028,000","125,166,000","105,700,000",,,,,,,,,
		Receivables,"7,874,000,000","6,915,000,000","5,953,000,000","5,409,000,000","5,551,000,000","5,134,000,000","5,136,000,000","5,300,000,000","5,385,000,000","5,618,000,000","6,087,000,000","6,049,000,000","6,377,000,000","6,628,000,000","5,585,000,000","4,430,000,000","5,127,000,000","4,589,000,000","3,420,000,000","2,900,000,000","2,334,000,000","2,221,000,000","2,329,000,000","2,714,000,000","2,790,000,000","2,478,996,000","2,065,024,000","1,708,939,000","1,084,858,000","764,700,000","575,600,000","478,800,000","401,000,000","386,000,000","497,000,000","278,200,000","139,400,000","69,200,000","27,700,000"
			AccountsReceivable,"7,874,000,000","6,915,000,000","5,953,000,000","5,409,000,000","5,551,000,000","5,134,000,000","5,136,000,000","5,300,000,000","5,385,000,000","5,618,000,000","6,087,000,000","6,049,000,000","6,377,000,000","6,628,000,000","5,585,000,000","4,430,000,000","5,127,000,000","4,074,000,000","3,022,000,000","2,570,000,000","2,012,000,000","1,920,000,000","2,036,000,000","2,432,000,000","2,534,000,000","2,238,204,000","1,857,480,000","1,540,470,000","1,084,858,000","764,700,000","575,600,000",,,,,,,,
				GrossAccountsReceivable,"8,359,000,000","7,343,000,000","6,315,000,000","5,782,000,000","5,960,000,000","5,505,000,000","5,506,000,000","5,619,000,000","5,712,000,000","5,903,000,000","6,393,000,000","6,345,000,000","6,700,000,000","7,000,000,000","5,890,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-485,000,000","-428,000,000","-362,000,000","-373,000,000","-409,000,000","-371,000,000","-370,000,000","-319,000,000","-327,000,000","-285,000,000","-306,000,000","-296,000,000","-323,000,000","-372,000,000","-305,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"672,000,000","515,000,000","398,000,000","330,000,000","322,000,000","301,000,000","293,000,000","282,000,000","256,000,000","240,792,000","207,544,000","168,469,000","119,118,000",,,,,,,,,,
