name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990
OperatingCashFlow,"19,126,000,000","18,673,000,000","17,165,000,000","9,539,000,000","15,887,000,000","13,139,000,000","14,551,000,000","15,386,000,000","14,126,000,000","13,685,000,000","14,580,000,000","14,921,000,000","14,224,000,000","13,743,000,000","11,214,000,000","8,681,000,000","8,255,000,000","7,402,000,000","5,520,000,000","4,541,000,000","3,552,000,000","3,195,000,000","3,023,000,000","3,135,000,000","2,124,000,000","2,924,000,000","1,807,099,000","1,610,279,000","1,030,504,000","889,157,000","568,700,000","443,500,000","317,500,000","242,300,000","89,400,000","28,600,000"
	CashFlowFromContinuingOperatingActivities,"19,126,000,000","18,673,000,000","17,165,000,000","9,539,000,000","15,887,000,000","13,139,000,000","14,551,000,000","15,386,000,000","14,126,000,000","13,685,000,000","14,580,000,000","14,921,000,000","14,224,000,000","13,743,000,000","11,214,000,000","8,681,000,000","8,255,000,000","7,402,000,000","5,520,000,000","4,541,000,000","3,552,000,000","3,195,000,000","3,023,000,000","3,135,000,000","2,124,000,000","2,924,000,000","1,807,099,000","1,610,279,000","1,030,504,000","889,157,000","568,700,000","443,500,000","317,500,000","242,300,000","89,400,000","28,600,000"
		NetIncomeFromContinuingOperations,"10,976,000,000","10,467,000,000","8,503,000,000","6,717,000,000","13,746,000,000","10,135,000,000","11,083,000,000","3,587,000,000","9,452,000,000","8,901,000,000","9,938,000,000","10,955,000,000","10,925,000,000","9,981,000,000","8,547,000,000","6,135,000,000","5,593,000,000","5,521,000,000","4,274,000,000","3,381,000,000","2,886,000,000","2,681,000,000","2,307,000,000","2,224,000,000","2,561,000,000","6,297,000,000","1,289,758,000","813,695,000","821,457,000","603,279,000","441,500,000","283,700,000","141,700,000","61,500,000","-12,400,000","117,400,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,"78,000,000","-6,000,000","200,000,000","80,000,000","86,000,000","181,000,000","239,000,000","439,000,000","273,000,000","-6,802,000,000","72,532,000","269,669,000","129,435,000","115,343,000","53,800,000","33,800,000","50,100,000","32,700,000","39,300,000","16,600,000"
		DepreciationAmortizationDepletion,"6,092,000,000","6,139,000,000","6,108,000,000","3,122,000,000","2,916,000,000","2,968,000,000","2,919,000,000","2,785,000,000","2,451,000,000","2,509,000,000","2,861,000,000","2,908,000,000","2,931,000,000","2,916,000,000","2,796,000,000","2,271,000,000","1,976,000,000","1,480,000,000","1,127,000,000","806,000,000","425,000,000","234,000,000","327,000,000","363,000,000","346,000,000","391,000,000","375,384,000","328,563,000","264,773,000","219,494,000","147,800,000","104,600,000","79,200,000","65,800,000","70,700,000","44,100,000"
			DepreciationAndAmortization,"6,092,000,000","6,139,000,000","6,108,000,000","3,122,000,000","2,916,000,000","2,968,000,000","2,919,000,000","2,785,000,000","2,451,000,000","2,509,000,000","2,861,000,000","2,908,000,000","2,931,000,000","2,916,000,000","2,796,000,000","2,271,000,000","1,976,000,000","1,480,000,000","1,127,000,000","806,000,000","425,000,000","234,000,000","327,000,000","363,000,000","346,000,000","391,000,000","375,384,000","328,563,000","264,773,000","219,494,000","147,800,000","104,600,000","79,200,000","65,800,000","70,700,000","44,100,000"
				Depreciation,"3,221,000,000","3,129,000,000","2,526,000,000","1,972,000,000","1,537,000,000","1,382,000,000","1,230,000,000","1,165,000,000","1,000,000,000","871,000,000","712,000,000","608,000,000","546,000,000","486,000,000","368,000,000","298,000,000","263,000,000","268,000,000","249,000,000","223,000,000","206,000,000","198,000,000","243,000,000","314,000,000","261,000,000","314,000,000","319,823,000","286,318,000","238,243,000",,,,,,,
				AmortizationCashFlow,"2,871,000,000","3,010,000,000","3,582,000,000","1,150,000,000","1,379,000,000","1,586,000,000","1,689,000,000","1,620,000,000","1,451,000,000","1,638,000,000","2,149,000,000","2,300,000,000","2,385,000,000","2,430,000,000","2,428,000,000","1,973,000,000","1,713,000,000","1,212,000,000","878,000,000","583,000,000","219,000,000","36,000,000","84,000,000","49,000,000","85,000,000","77,000,000","55,561,000","42,245,000","26,530,000",,,,,,,
					AmortizationOfIntangibles,"2,871,000,000","3,010,000,000","3,582,000,000","1,150,000,000","1,379,000,000","1,586,000,000","1,689,000,000","1,620,000,000","1,451,000,000","1,638,000,000","2,149,000,000","2,300,000,000","2,385,000,000","2,430,000,000","2,428,000,000","1,973,000,000","1,713,000,000","1,212,000,000","878,000,000","583,000,000","219,000,000","36,000,000","84,000,000","49,000,000","85,000,000","77,000,000","55,561,000","42,245,000","26,530,000",,,,,,,
		DeferredTax,"-1,773,000,000","-2,139,000,000","-2,167,000,000","-1,146,000,000","-2,425,000,000","-851,000,000","-1,191,000,000","-847,000,000","-440,000,000","-105,000,000","-548,000,000","-248,000,000","-117,000,000","9,000,000","-253,000,000","-511,000,000","-395,000,000","-135,000,000","56,000,000","-40,000,000","-66,000,000","58,000,000","90,000,000","-160,000,000","-159,000,000","-17,000,000","20,367,000","23,086,000","6,286,000","-25,351,000","-13,300,000","28,800,000","400,000","3,700,000","-15,400,000","7,700,000"
