name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
TotalRevenue,"53,815,000,000","52,961,000,000","49,954,000,000","42,440,000,000","40,479,000,000","39,068,000,000","39,506,000,000","39,383,000,000","37,792,000,000","37,047,000,000","38,226,000,000","38,275,000,000","37,180,000,000","37,121,000,000","35,622,000,000","26,820,000,000","23,252,000,000","22,430,000,000","17,996,000,000","14,380,000,000","11,799,000,000","10,156,000,000","9,475,000,000","9,673,000,000","10,961,000,000","10,231,000,000","8,827,252,000","7,143,866,000","5,684,336,000","4,223,300,000","2,966,900,000","2,001,100,000","1,502,800,000","1,178,500,000","1,027,900,000","970,800,000","583,700,000","282,100,000","131,300,000","55,400,000"
	OperatingRevenue,"53,815,000,000","52,961,000,000","49,954,000,000","42,440,000,000","40,479,000,000","39,068,000,000","39,506,000,000","39,383,000,000","37,792,000,000","37,047,000,000","38,226,000,000","38,275,000,000","37,180,000,000","37,121,000,000","35,622,000,000","26,820,000,000","23,252,000,000","22,430,000,000","17,996,000,000","14,380,000,000","11,799,000,000","10,156,000,000","9,475,000,000","9,673,000,000","10,961,000,000","10,231,000,000","8,827,252,000","7,143,866,000","5,684,336,000","4,223,300,000","2,966,900,000","2,001,100,000","1,502,800,000","1,178,500,000","1,027,900,000","970,800,000","583,700,000","282,100,000","131,300,000","55,400,000"
CostOfRevenue,"15,439,000,000","15,143,000,000","13,564,000,000","8,877,000,000","7,855,000,000","7,938,000,000","7,995,000,000","8,060,000,000","7,452,000,000","7,479,000,000","7,532,000,000","7,236,000,000","7,379,000,000","7,995,000,000","8,398,000,000","5,764,000,000","4,794,000,000","4,981,000,000","4,191,000,000","3,235,000,000","2,651,000,000","2,317,000,000","2,342,000,000","2,406,000,000","2,897,000,000","3,044,000,000","3,064,148,000","2,273,607,000","1,550,466,000","1,096,013,000","631,200,000","394,600,000","243,500,000","215,800,000","195,700,000","116,300,000","77,800,000","38,300,000","-5,300,000","-2,000,000"
GrossProfit,"38,376,000,000","37,818,000,000","36,390,000,000","33,563,000,000","32,624,000,000","31,130,000,000","31,511,000,000","31,323,000,000","30,340,000,000","29,568,000,000","30,694,000,000","31,039,000,000","29,801,000,000","29,126,000,000","27,224,000,000","21,056,000,000","18,458,000,000","17,449,000,000","13,805,000,000","11,145,000,000","9,148,000,000","7,839,000,000","7,133,000,000","7,267,000,000","8,064,000,000","7,187,000,000","5,763,104,000","4,870,259,000","4,133,870,000","3,127,287,000","2,335,700,000","1,606,500,000","1,259,300,000","962,700,000","832,200,000","854,500,000","505,900,000","243,800,000","136,600,000","57,400,000"
OperatingExpense,"21,673,000,000","21,747,000,000","22,617,000,000","17,733,000,000","16,842,000,000","16,928,000,000","17,489,000,000","17,419,000,000","16,861,000,000","16,464,000,000","16,405,000,000","16,056,000,000","15,369,000,000","15,069,000,000","14,496,000,000","11,218,000,000","9,903,000,000","9,440,000,000","7,672,000,000","6,187,000,000","4,771,000,000","3,921,000,000","3,693,000,000","3,696,000,000","4,287,000,000","4,107,000,000","3,890,223,000","3,459,005,000","2,834,085,000","2,171,465,000","1,685,900,000","1,186,600,000","1,018,300,000","849,000,000","814,300,000","664,700,000","382,900,000","180,000,000","108,200,000","46,500,000"
	SellingGeneralAndAdministration,"9,797,000,000","9,822,000,000","10,412,000,000","9,364,000,000","8,936,000,000","9,275,000,000","9,774,000,000","9,715,000,000","9,257,000,000","9,039,000,000","8,732,000,000","8,605,000,000","8,134,000,000","8,116,000,000","7,549,000,000","5,991,000,000","5,423,000,000","5,487,000,000","4,599,000,000","3,732,000,000","3,061,000,000","2,631,000,000","2,513,000,000","2,620,000,000","3,148,000,000","3,097,000,000","3,048,817,000","2,739,862,000","2,278,609,000","1,782,372,000","1,277,500,000","884,900,000","939,100,000","783,200,000","743,600,000","620,600,000","359,700,000","167,000,000","102,900,000","44,500,000"
		GeneralAndAdministrativeExpense,"1,513,000,000","1,548,000,000","1,579,000,000","1,317,000,000","1,254,000,000","1,181,000,000","1,265,000,000","1,282,000,000","1,172,000,000","1,155,000,000","1,077,000,000","1,038,000,000","1,072,000,000","1,126,000,000","970,000,000","911,000,000","785,000,000","808,000,000",,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,"136,000,000","119,000,000","172,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,513,000,000","1,548,000,000","1,579,000,000","1,317,000,000","1,254,000,000","1,181,000,000","1,265,000,000","1,282,000,000","1,172,000,000","1,155,000,000","1,077,000,000","1,038,000,000","1,072,000,000","1,126,000,000","970,000,000","911,000,000","785,000,000","808,000,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"8,284,000,000","8,274,000,000","8,833,000,000","8,047,000,000","7,682,000,000","8,094,000,000","8,509,000,000","8,433,000,000","8,085,000,000","7,884,000,000","7,655,000,000","7,567,000,000","7,062,000,000","6,990,000,000","6,579,000,000","5,080,000,000","4,638,000,000","4,679,000,000",,,,,,,,,,,,,,,,,,,,,,
