name,ttm,07/31/2024,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009
OperatingCashFlow,"3,257,600,000","3,257,600,000","2,777,500,000","1,984,700,000","1,503,000,000","1,035,700,000","1,055,600,000","1,038,100,000","868,800,000","658,600,000","352,800,000","88,400,000","114,519,000","77,368,000","32,102,000","-2,683,000","-13,523,000"
	CashFlowFromContinuingOperatingActivities,"3,257,600,000","3,257,600,000","2,777,500,000","1,984,700,000","1,503,000,000","1,035,700,000","1,055,600,000","1,038,100,000","868,800,000","658,600,000","352,800,000","88,400,000","114,519,000","77,368,000","32,102,000","-2,683,000","-13,523,000"
		NetIncomeFromContinuingOperations,"2,577,600,000","2,577,600,000","439,700,000","-267,000,000","-498,900,000","-267,000,000","-81,900,000","-122,200,000","-203,000,000","-192,700,000","-131,300,000","-226,500,000","-29,246,000","737,000","-12,528,000","-21,133,000","-19,005,000"
		OperatingGainsLosses,"55,300,000","55,300,000","49,900,000","54,400,000","44,500,000","47,400,000","2,600,000",,,,,"5,900,000",,"958,000","1,577,000","423,000","-7,000"
			GainLossOnSaleOfPPE,"55,300,000","55,300,000","49,900,000","54,400,000","44,500,000","47,400,000",,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"5,900,000",,"958,000","1,577,000","423,000","-7,000"
		DepreciationAmortizationDepletion,"283,300,000","283,300,000","282,200,000","282,600,000","260,400,000","206,100,000","153,800,000","96,400,000","59,800,000","42,800,000","28,900,000","19,400,000","9,892,000","6,134,000","2,189,000","1,123,000","1,180,000"
			DepreciationAndAmortization,"283,300,000","283,300,000","282,200,000","282,600,000","260,400,000","206,100,000","153,800,000","96,400,000","59,800,000","42,800,000","28,900,000","19,400,000","9,892,000","6,134,000","2,189,000","1,123,000","1,180,000"
				Depreciation,,,,,"304,900,000","253,500,000","153,800,000","96,400,000",,,,,,,,,
		DeferredTax,"-2,033,700,000","-2,033,700,000","12,500,000","-3,100,000",,,,,,,,,,,,,
			DeferredIncomeTax,"-2,033,700,000","-2,033,700,000","12,500,000","-3,100,000",,,,,,,,,,,,,
		AmortizationOfSecurities,"-60,100,000","-60,100,000","-52,200,000","13,500,000","13,100,000","-6,200,000","-17,500,000","500,000","2,700,000","3,000,000","3,200,000","1,500,000","1,943,000","0","0",,
		AssetImpairmentCharge,,,,,,"-3,100,000","7,000,000","41,100,000","20,900,000","0","0",,,,,,
		StockBasedCompensation,"1,075,400,000","1,075,400,000","1,074,500,000","1,011,100,000","894,500,000","658,400,000","567,700,000","496,700,000","474,500,000","392,800,000","221,300,000","99,800,000","43,704,000","13,837,000","4,733,000","869,000","374,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"-500,000","-2,455,000","-1,000,000","-6,762,000","-215,000","0",,
		OtherNonCashItems,"449,500,000","449,500,000","420,100,000","369,300,000","440,800,000","325,200,000","206,000,000","219,700,000","152,800,000","23,400,000","22,300,000","48,000,000","262,000","1,695,000","-10,951,000","-20,710,000",
		ChangeInWorkingCapital,"910,300,000","910,300,000","550,800,000","523,900,000","348,600,000","71,800,000","227,500,000","347,000,000","382,000,000","389,300,000","208,400,000","141,300,000","94,726,000","55,917,000","36,131,000","16,035,000","3,935,000"
			ChangeInReceivables,"-1,020,200,000","-1,020,200,000","-1,059,000,000","-932,100,000","-445,000,000","-435,600,000","-108,700,000","-33,700,000","-42,100,000","-136,400,000","-76,800,000","-47,900,000","-41,819,000","-15,965,000","-15,436,000","-10,712,000","-2,104,000"
				ChangesInAccountReceivables,"-154,300,000","-154,300,000","-320,300,000","-902,000,000","-172,400,000","-435,600,000","-108,700,000","-33,700,000","-42,100,000","-136,400,000","-76,800,000","-47,900,000","-41,819,000","-15,965,000","-15,436,000","-10,712,000","-2,104,000"
			ChangeInPrepaidAssets,"-134,100,000","-134,100,000","-270,600,000","-110,000,000","-26,500,000","-1,600,000","28,600,000","-299,100,000","-175,300,000","-31,200,000","-69,000,000","-10,300,000","-8,865,000","-11,063,000","-5,114,000","-1,163,000","2,000"
			ChangeInPayablesAndAccruedExpense,"373,300,000","373,300,000","10,600,000","54,800,000","64,800,000","23,100,000","78,500,000","97,200,000","102,800,000","29,800,000","63,200,000","26,300,000","31,988,000","13,691,000","9,074,000","9,382,000","1,891,000"
				ChangeInPayable,"-15,000,000","-15,000,000","1,000,000","69,300,000","-11,800,000","-12,800,000","32,300,000","3,700,000","5,900,000","15,100,000","-3,500,000","-1,100,000","5,830,000","3,779,000","2,734,000","894,000","171,000"
					ChangeInAccountPayable,"-15,000,000","-15,000,000","1,000,000","69,300,000","-11,800,000","-12,800,000","32,300,000","3,700,000","5,900,000","15,100,000","-3,500,000","-1,100,000","5,830,000","3,779,000","2,734,000","894,000","171,000"
				ChangeInAccruedExpense,"388,300,000","388,300,000","9,600,000","-14,500,000","76,600,000","35,900,000","46,200,000","93,500,000","96,900,000","14,700,000","66,700,000","27,400,000","26,158,000","9,912,000","6,340,000","8,488,000","1,720,000"
			ChangeInOtherWorkingCapital,"1,691,300,000","1,691,300,000","1,869,800,000","1,511,200,000","755,300,000","485,900,000","229,100,000","582,600,000","496,600,000","527,100,000","291,000,000","173,200,000","113,422,000","69,254,000","47,607,000","18,528,000","4,146,000"
InvestingCashFlow,"-1,509,900,000","-1,509,900,000","-2,033,800,000","-933,400,000","-1,480,600,000","288,000,000","-1,825,900,000","-520,000,000","-472,600,000","-338,900,000","-679,000,000","-320,300,000","-151,565,000","-14,565,000","-13,000,000","-1,685,000","-1,045,000"
