name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
OperatingCashFlow,"708,381,000","712,183,000","223,737,000","333,851,000","-296,608,000","-165,215,000","-39,012,000"
	CashFlowFromContinuingOperatingActivities,"708,381,000","712,183,000","223,737,000","333,851,000","-296,608,000","-165,215,000","-39,012,000"
		NetIncomeFromContinuingOperations,"411,993,000","217,375,000","-371,094,000","-520,379,000","-1,166,391,000","-579,646,000","-580,027,000"
		OperatingGainsLosses,,,,,"-811,000","227,000","-48,093,000"
			GainLossOnInvestmentSecurities,,,,,"-811,000","3,000","-48,093,000"
			EarningsLossesFromEquityInvestments,"1,663,000",,,,,"224,000","0"
		DepreciationAmortizationDepletion,"33,129,000","33,354,000","22,522,000","14,897,000","13,871,000","12,255,000","13,910,000"
			DepreciationAndAmortization,"33,129,000","33,354,000","22,522,000","14,897,000","13,871,000","12,255,000","13,910,000"
		DeferredTax,,"-4,806,000","-174,000","43,316,000","-20,385,000","-7,199,000",
			DeferredIncomeTax,,"-4,806,000","-174,000","43,316,000","-20,385,000","-7,199,000",
		AssetImpairmentCharge,,,,"0","674,000","23,407,000","23,700,000"
		UnrealizedGainLossOnInvestmentSecurities,"22,124,000","13,160,000","272,108,000","73,311,000","0","0",
		StockBasedCompensation,"514,403,000","475,903,000","564,798,000","778,215,000","1,270,702,000","241,970,000","248,503,000"
		OtherNonCashItems,"-28,913,000","-29,039,000","-3,206,000","36,588,000","38,655,000","2,772,000","420,000"
		ChangeInWorkingCapital,"-239,549,000","6,236,000","-261,217,000","-92,097,000","-433,734,000","141,226,000","302,575,000"
			ChangeInReceivables,"-290,807,000","-106,159,000","-72,819,000","-35,237,000","-108,476,000","-23,905,000","-10,483,000"
				ChangesInAccountReceivables,"-290,807,000","-106,159,000","-72,819,000","-35,237,000","-108,476,000","-23,905,000","-10,483,000"
			ChangeInPrepaidAssets,"-10,062,000","-6,197,000","-24,811,000","-10,974,000","-18,565,000","18,809,000","-19,361,000"
			ChangeInPayablesAndAccruedExpense,"69,164,000","21,063,000","-24,332,000","73,012,000","3,824,000","27,157,000","37,392,000"
				ChangeInPayable,"60,597,000","-31,832,000","-29,859,000","57,767,000","-34,681,000","23,424,000","10,968,000"
					ChangeInAccountPayable,"60,597,000","-31,832,000","-29,859,000","57,767,000","-34,681,000","23,424,000","10,968,000"
				ChangeInAccruedExpense,"8,567,000","52,895,000","5,527,000","15,245,000","38,505,000","3,733,000","26,424,000"
			ChangeInOtherCurrentAssets,"12,298,000","3,242,000","6,033,000","-3,345,000","-8,605,000","-22,251,000","-3,424,000"
			ChangeInOtherCurrentLiabilities,"-41,258,000","-49,572,000","-34,663,000","-35,341,000","-40,134,000","-3,414,000","0"
			ChangeInOtherWorkingCapital,"21,116,000","143,859,000","-110,625,000","-80,212,000","-261,778,000","144,830,000","298,451,000"
InvestingCashFlow,"-1,425,613,000","-2,711,180,000","-45,427,000","-397,912,000","-14,920,000","-21,964,000","-6,784,000"
	CashFlowFromContinuingInvestingActivities,"-1,425,613,000","-2,711,180,000","-45,427,000","-397,912,000","-14,920,000","-21,964,000","-6,784,000"
		NetPPEPurchaseAndSale,"-11,968,000","-15,114,000","-40,027,000","-12,627,000","-12,236,000","-13,096,000","-13,004,000"
			PurchaseOfPPE,"-11,968,000","-15,114,000","-40,027,000","-12,627,000","-12,236,000","-13,096,000","-13,004,000"
		NetBusinessPurchaseAndSale,,"0","66,708,000","0","-2,934,000","-8,868,000","0"
			PurchaseOfBusiness,,,,"0","-2,934,000","-25,868,000","0"
			SaleOfBusiness,,"0","66,708,000","0","0","17,000,000","0"
		NetInvestmentPurchaseAndSale,"-1,409,645,000","-2,696,066,000","-72,181,000","-381,414,000","0","0",
			PurchaseOfInvestment,"-4,483,582,000","-5,636,406,000","-124,500,000","-382,265,000","0","0",
			SaleOfInvestment,"3,073,937,000","2,940,340,000","52,319,000","851,000",,,
		NetOtherInvestingChanges,,,"73,000","-3,871,000","250,000",,"6,220,000"
FinancingCashFlow,"175,445,000","218,839,000","85,996,000","306,747,000","1,036,453,000","324,533,000","46,154,000"
	CashFlowFromContinuingFinancingActivities,"175,445,000","218,839,000","85,996,000","306,747,000","1,036,453,000","324,533,000","46,154,000"
		NetIssuancePaymentsOfDebt,,"0","0","-200,000,000","-200,631,000","394,413,000","-56,491,000"
			NetLongTermDebtIssuance,,"0","0","-200,000,000","-200,631,000","394,413,000","-56,491,000"
				LongTermDebtIssuance,,,"0","0","199,369,000","544,413,000","0"
				LongTermDebtPayments,,"0","0","-200,000,000","-400,000,000","-150,000,000","-56,491,000"
		NetCommonStockIssuance,,,"0","0","938,752,000","88,798,000","88,774,000"
			CommonStockIssuance,,,"0","0","942,529,000","100,000,000","96,480,000"
			CommonStockPayments,,,,"0","-3,777,000","-11,202,000","-7,706,000"
		NetPreferredStockIssuance,,,,"0","0","-174,373,000","0"
			PreferredStockIssuance,,,,"0","0","7,500,000","0"
			PreferredStockPayments,,,,"0","0","-181,873,000","0"
		ProceedsFromStockOptionExercised,"201,835,000","218,238,000","86,089,000","507,455,000","298,829,000","16,897,000","12,671,000"
		NetOtherFinancingCharges,"309,000","601,000","-93,000","-708,000","-497,000","-1,202,000","1,200,000"
EndCashPosition,"532,238,000","850,107,000","2,627,335,000","2,366,914,000","2,128,146,000","1,401,962,000","1,266,835,000"
	ChangesInCash,"-541,787,000","-1,780,158,000","264,306,000","242,686,000","724,925,000","137,354,000","358,000"
	EffectOfExchangeRateChanges,"-163,000","2,930,000","-3,885,000","-3,918,000","1,259,000","-2,227,000","-3,703,000"
	BeginningCashPosition,"1,074,025,000","2,627,335,000","2,366,914,000","2,128,146,000","1,401,962,000","1,266,835,000","1,270,180,000"
IncomeTaxPaidSupplementalData,,"13,515,000","2,904,000","4,131,000","14,283,000","8,579,000","17,098,000"
InterestPaidSupplementalData,,,"5,000","2,774,000","11,432,000","2,710,000","2,438,000"
CapitalExpenditure,"-11,968,000","-15,114,000","-40,027,000","-12,627,000","-12,236,000","-13,096,000","-13,004,000"
IssuanceOfCapitalStock,,,"0","0","942,529,000","107,500,000","96,480,000"
IssuanceOfDebt,,,"0","0","199,369,000","544,413,000","0"
RepaymentOfDebt,,"0","0","-200,000,000","-400,000,000","-150,000,000","-56,491,000"
RepurchaseOfCapitalStock,,,,"0","-3,777,000","-193,075,000","-7,706,000"
FreeCashFlow,"696,413,000","697,069,000","183,710,000","321,224,000","-308,844,000","-178,311,000","-52,016,000"
