name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
TotalAssets,"51,040,000,000","49,014,000,000","41,240,000,000","35,594,000,000","32,957,000,000","32,718,000,000","65,486,000,000","52,359,000,000","50,796,000,000","48,574,000,000","45,516,000,000","43,012,000,000","36,422,000,000","30,572,000,000","27,445,000,000","24,563,000,000","18,495,000,000","15,208,000,000","12,479,000,000","10,820,000,000","8,822,000,000","6,510,000,000","5,669,733,000","6,062,982,000","4,534,900,000","2,566,700,000","2,274,680,000","1,185,300,000","940,700,000","357,900,000","306,600,000","108,300,000","41,600,000","32,500,000"
	CurrentAssets,"22,464,000,000","20,724,000,000","20,075,000,000","18,519,000,000","16,765,000,000","17,384,000,000","43,593,000,000","22,981,000,000","22,099,000,000","22,413,000,000","19,555,000,000","15,645,000,000","14,293,000,000","12,133,000,000","12,570,000,000","11,723,000,000","8,821,000,000","7,049,000,000","7,791,000,000","7,227,000,000","5,949,000,000","3,941,000,000","3,054,758,000","2,729,980,000","2,978,200,000","1,537,200,000","1,549,595,000","751,200,000","704,600,000","220,600,000","241,500,000","86,700,000","23,400,000","19,500,000"
		CashCashEquivalentsAndShortTermInvestments,"11,324,000,000","6,382,000,000","12,414,000,000","11,214,000,000","12,260,000,000","12,088,000,000","37,308,000,000","18,648,000,000","17,321,000,000","17,565,000,000","14,966,000,000","12,374,000,000","11,652,000,000","10,279,000,000","11,069,000,000","6,411,000,000","6,581,000,000","5,721,000,000","6,548,000,000","5,982,000,000","4,561,000,000","2,795,000,000","2,283,179,000","1,772,393,000","1,614,400,000","175,800,000","697,072,000","110,100,000","500,600,000","45,000,000","97,500,000","40,200,000","100,000","3,800,000"
			CashAndCashEquivalents,"8,450,000,000","2,773,000,000","7,116,000,000","6,707,000,000","11,839,000,000","11,777,000,000","35,029,000,000","5,946,000,000","7,560,000,000","7,907,000,000","6,142,000,000","3,807,000,000","5,462,000,000","3,547,000,000","2,717,000,000","1,840,000,000","2,411,000,000","1,607,000,000","2,070,000,000","1,214,000,000","2,045,000,000","1,407,000,000","1,388,602,000","716,871,000","660,000,000","175,800,000","248,837,000","110,100,000","500,600,000","45,000,000","97,500,000","40,200,000","100,000","3,800,000"
			OtherShortTermInvestments,"2,874,000,000","3,609,000,000","5,298,000,000","4,507,000,000","421,000,000","311,000,000","2,279,000,000","12,702,000,000","9,761,000,000","9,658,000,000","8,824,000,000","8,567,000,000","6,190,000,000","6,732,000,000","8,352,000,000","4,571,000,000","4,170,000,000","4,114,000,000","4,478,000,000","4,768,000,000","2,516,000,000","1,388,000,000","894,577,000","1,055,522,000","954,400,000","127,478,000","448,235,000",,,,,,,
		Receivables,"3,183,000,000","5,643,000,000","3,579,000,000","4,003,000,000","2,471,000,000","2,904,000,000","3,632,000,000","2,219,000,000","1,964,000,000","2,412,000,000","2,142,000,000","1,459,000,000","993,000,000","730,000,000","700,000,000","4,038,000,000","715,000,000","700,000,000","544,000,000","581,000,000","490,000,000","925,000,000","527,902,000","735,494,000","910,000,000","668,400,000","556,883,000","217,400,000","82,700,000","62,900,000","34,100,000","24,700,000","16,800,000","9,900,000"
			AccountsReceivable,"1,923,000,000","4,175,000,000","2,214,000,000","2,687,000,000","1,046,000,000","2,667,000,000","3,576,000,000","2,194,000,000","1,941,000,000","2,362,000,000","2,066,000,000","1,418,000,000","951,000,000","697,000,000","639,000,000","4,038,000,000","715,000,000","700,000,000","544,000,000","581,000,000","484,000,000","537,000,000","517,557,000","606,979,000","910,000,000","668,400,000","445,382,000","217,400,000",,,,,,
				GrossAccountsReceivable,,,,,"1,093,000,000","2,723,000,000","3,587,000,000","2,195,000,000","1,947,000,000","2,367,000,000","2,068,000,000","1,419,000,000","953,000,000","700,000,000","643,000,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,"-47,000,000","-56,000,000","-11,000,000","-1,000,000","-6,000,000","-5,000,000","-2,000,000","-1,000,000","-2,000,000","-3,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,"1,260,000,000","1,468,000,000","1,365,000,000","1,316,000,000","1,425,000,000","237,000,000","56,000,000","25,000,000","23,000,000","50,000,000","76,000,000","41,000,000","42,000,000","33,000,000","61,000,000",,,,,,"6,000,000","388,000,000","10,345,000","128,515,000","26,377,000","56,201,000","111,501,000",,,,,,,
		Inventory,"6,422,000,000","6,341,000,000","3,228,000,000","2,598,000,000","1,400,000,000","1,693,000,000","2,035,000,000","1,556,000,000","1,492,000,000","1,458,000,000","1,302,000,000","1,030,000,000","765,000,000","528,000,000","453,000,000","521,000,000","469,000,000","250,000,000","177,000,000","154,000,000","110,000,000","88,000,000","95,863,000","85,366,000","257,900,000","386,500,000","225,156,000","171,500,000","44,000,000","15,600,000","14,100,000","6,500,000","5,900,000","5,400,000"
