name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"68,335,000,000","72,159,000,000","71,174,000,000","58,464,000,000","60,212,000,000","51,502,000,000","42,484,000,000","44,277,000,000","41,390,000,000","38,565,000,000","27,091,000,000","26,306,000,000","23,227,000,000","20,841,000,000","13,374,000,000","13,900,000,000","10,382,700,060","9,502,947,980","9,056,069,060","7,579,868,550.4","6,314,823,718.34","5,614,825,861.31","6,198,363,650","5,583,888,384.32","4,830,813,190","3,217,683,042","2,562,783,800.85","3,367,104,000"
	CurrentAssets,"20,571,000,000","18,522,000,000","20,044,000,000","15,069,000,000","15,213,000,000","16,620,000,000","11,930,000,000","11,564,000,000","9,739,000,000","8,999,000,000","7,351,000,000","6,928,000,000","9,669,000,000","7,143,000,000","5,255,000,000","5,571,000,000","6,418,371,460","6,323,680,740","6,323,881,900","5,680,943,759.6","4,376,636,189.84","3,484,136,463.54","3,359,366,990","3,573,552,790.32","3,518,016,600","2,303,290,458","1,911,075,361.65",
		CashCashEquivalentsAndShortTermInvestments,"11,468,000,000","9,861,000,000","11,656,000,000","6,946,000,000","5,611,000,000","9,075,000,000","5,001,000,000","3,898,000,000","3,438,000,000","3,369,000,000","2,786,000,000","2,492,000,000","5,365,000,000","3,676,000,000","2,370,000,000","1,868,000,000","2,209,187,270","3,330,047,550","3,420,299,810","3,204,337,334.72","1,339,401,565.2","1,150,856,126.44","964,314,780","1,181,864,594.22","711,553,640","620,480,682","588,607,593.21","902,285,000"
			CashAndCashEquivalents,"8,124,000,000","9,008,000,000","8,898,000,000","5,311,000,000","5,314,000,000","8,627,000,000","4,011,000,000","3,702,000,000","3,411,000,000","3,328,000,000","2,748,000,000","2,477,000,000","4,965,000,000","3,518,000,000","1,884,000,000","1,280,000,000","1,610,422,760","2,398,846,540","3,210,910,930","3,194,180,956.48","1,338,051,714.2","1,149,505,767.95","866,534,610","1,086,262,654.36","711,553,640","620,480,682","504,150,404.94","737,394,000"
				CashFinancial,"3,369,000,000","3,176,000,000","3,149,000,000","2,732,000,000","2,877,000,000","2,918,000,000","2,558,000,000",,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"4,755,000,000","5,831,000,000","5,748,000,000","2,579,000,000","2,437,000,000","5,709,000,000","1,453,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"3,344,000,000","853,000,000","2,758,000,000","1,635,000,000","297,000,000","448,000,000","990,000,000","196,000,000","27,000,000","41,000,000","38,000,000","15,000,000","400,000,000","158,000,000","486,000,000","588,000,000","598,764,510","931,201,010","209,388,880","10,156,378.24","1,349,851","1,350,358.49","97,780,170","95,601,939.86",,,"84,457,188.27","164,891,000"
		Receivables,"6,969,000,000","6,767,000,000","6,974,000,000","6,804,000,000","8,413,000,000","6,655,000,000","6,205,000,000","7,114,000,000","5,818,000,000","4,831,000,000","4,188,000,000","4,111,000,000","4,037,000,000","3,099,000,000","2,546,000,000","3,178,000,000","3,240,049,880","2,654,188,070","2,249,241,840","1,927,675,131.12","1,767,624,326.29","2,033,140,529.66","2,390,556,570","2,197,353,980.78","1,847,455,610","1,515,262,086","1,234,182,402.18","1,611,764,000"
			AccountsReceivable,"5,892,000,000","5,782,000,000","5,887,000,000","6,199,000,000","7,561,000,000","6,182,000,000","5,809,000,000","5,823,000,000","5,198,000,000","4,253,000,000","3,801,000,000","3,837,000,000","3,431,000,000","3,099,000,000","2,546,000,000","3,178,000,000","2,899,858,360","2,439,761,800","2,249,241,840","1,927,675,131.12","1,767,624,326.29","1,968,885,574.44","2,211,854,880","2,193,578,412.74","1,847,455,610",,"1,231,134,223.41","1,555,869,000"
			LoansReceivable,,,,,,,"793,000,000","834,000,000","195,000,000","173,000,000","90,000,000","35,000,000","269,000,000",,,"10,056,760","8,916,310","9,092,280",,,,,,,,,,
			TaxesReceivable,"648,000,000","531,000,000","622,000,000","210,000,000","506,000,000","293,000,000","306,000,000","356,000,000","348,000,000","316,000,000","234,000,000","159,000,000","275,000,000",,,,,,,,,,,,,,,
			OtherReceivables,"429,000,000","454,000,000","465,000,000","395,000,000","346,000,000","180,000,000","90,000,000","101,000,000","77,000,000","89,000,000","63,000,000","80,000,000","62,000,000",,,"459,737,600","331,275,210","205,333,990",,,,"64,254,955.22","178,701,690","3,775,568.04",,,"3,048,178.77","55,895,000"
		Inventory,,,,,,,,,,,,"59,000,000","11,000,000","12,000,000","11,000,000","5,000,000","4,801,090","3,788,450","19,419,130","11,683,375.84","10,356,533.29","10,739,018.93","4,495,640","5,798,574.04","2,981,370","18,843,786","3,798,178.02","7,799,000"
		PrepaidAssets,"844,000,000","828,000,000","588,000,000","495,000,000",,,"264,000,000","257,000,000","232,000,000","212,000,000","179,000,000","160,000,000","106,000,000",,,"84,045,780","76,131,570","75,011,310",,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,"2,873,360","550,753,610",,,,"754,245,920.88","89,510,566.16",,,,,,
		CurrentDeferredAssets,"1,246,000,000","1,036,000,000",,,,,"199,000,000","139,000,000","77,000,000","90,000,000","55,000,000","56,000,000",,,,"203,290,220","125,514,210","108,349,670",,,,,,,,,,"37,462,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,"203,290,220","125,514,210","108,349,670",,,,,,,,,,"37,462,000"
		HedgingAssetsCurrent,,,,,,,"158,000,000","94,000,000","129,000,000","464,000,000","123,000,000","104,000,000","148,000,000",,,,,,,,,,,,,,,
		OtherCurrentAssets,"44,000,000","30,000,000","826,000,000","1,319,000,000","1,189,000,000","890,000,000","724,000,000","62,000,000","45,000,000","33,000,000","20,000,000","5,000,000","2,000,000","356,000,000","328,000,000","520,000,000","211,933,830","152,295,690","634,921,120","537,247,917.92","505,007,844.18","199,890,222.35",,"188,535,641.28","956,025,980","148,703,904","84,487,188.24",
