name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
OperatingCashFlow,"7,389,000,000","6,332,000,000","5,647,000,000","6,223,000,000","7,195,000,000","3,495,000,000","4,302,000,000","5,046,000,000","4,628,000,000","3,636,000,000","3,499,000,000","3,832,000,000","3,822,000,000","3,775,000,000","2,922,000,000","3,015,000,000","2,158,000,000","1,941,697,970","1,847,248,220","1,606,721,930","1,825,595,710.4","1,502,288,879.4","1,688,226,379.74","989,040,800","679,723,627.56","640,000,760","626,875,632","422,206,850.52","483,497,000"
	CashFlowFromContinuingOperatingActivities,"7,352,000,000","6,211,000,000","5,674,000,000","6,182,000,000","7,195,000,000","3,495,000,000","4,302,000,000","5,046,000,000","4,628,000,000","3,636,000,000","3,499,000,000","3,832,000,000","3,822,000,000","3,775,000,000","2,922,000,000","3,015,000,000","2,158,000,000","1,938,954,490","1,844,975,150","1,605,033,310","1,825,595,710.4","1,502,288,879.4","1,688,226,379.74","989,040,800","679,723,627.56","640,000,760","626,875,632","422,206,850.52","483,497,000"
		NetIncomeFromContinuingOperations,"4,931,000,000","5,964,000,000","1,708,000,000","5,376,000,000","5,283,000,000","3,370,000,000","4,088,000,000","4,046,000,000","3,629,000,000","3,056,000,000","3,280,000,000","3,325,000,000","2,803,000,000","3,437,000,000","1,813,000,000","1,750,000,000","1,848,000,000","1,922,493,610","1,870,736,610","1,495,273,010","1,309,553,141.76","1,075,183,318.52","509,073,715.09","581,061,470","639,384,887.92","601,242,950","536,237,874","467,724,077.73","567,536,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-3,000,000","-11,000,000","-5,000,000","22,633,710","-78,042,070","3,377,240","2,079,519.92","21,509,478.67","576,902,307.81","312,446,980","-473,103,377.38","5,962,740","-25,665,066","932,726.34",
		DepreciationAmortizationDepletion,"1,285,000,000","1,373,000,000","1,569,000,000","1,537,000,000","1,831,000,000","1,872,000,000","1,362,000,000","1,272,000,000","1,268,000,000","1,289,000,000","1,010,000,000","951,000,000","863,000,000","724,000,000","534,000,000","499,000,000","539,000,000","261,316,470","213,668,580","203,478,710","209,514,398.24","215,140,840.44","221,414,002.77","279,853,590","223,214,223.08","172,919,460","138,642,516","98,725,355.82","164,591,000"
			DepreciationAndAmortization,"1,285,000,000","1,373,000,000","1,569,000,000","1,537,000,000","1,831,000,000","1,872,000,000","1,362,000,000","1,272,000,000","1,268,000,000","1,289,000,000","1,010,000,000","951,000,000","863,000,000","724,000,000","534,000,000","499,000,000","539,000,000","261,316,470","213,668,580","203,478,710","209,514,398.24","215,140,840.44","221,414,002.77","279,853,590","223,214,223.08","172,919,460","138,642,516","98,725,355.82","164,591,000"
		DeferredTax,"1,411,000,000","1,741,000,000","1,446,000,000","1,682,000,000","1,938,000,000","1,226,000,000","1,511,000,000","983,000,000","1,242,000,000","935,000,000","1,075,000,000","1,071,000,000","993,000,000","1,331,000,000","525,000,000","-39,000,000","-91,000,000","8,230,440","-2,273,070","-16,041,890","17,963,983.36","106,969,339.51","103,854,670.6","-144,984,390","-131,945,775.02","14,906,850","-511,596",,
			DeferredIncomeTax,"1,411,000,000","1,741,000,000","1,446,000,000","1,682,000,000","1,938,000,000","1,226,000,000","1,511,000,000","983,000,000","1,242,000,000","935,000,000","1,075,000,000","1,071,000,000","993,000,000","1,331,000,000","525,000,000","-39,000,000","-91,000,000","8,230,440","-2,273,070","-16,041,890","17,963,983.36","106,969,339.51","103,854,670.6","-144,984,390","-131,945,775.02","14,906,850","-511,596",,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,"10,000,000","15,000,000",,,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,"68,000,000","14,000,000","-67,000,000","-32,000,000","51,000,000","45,000,000","47,000,000","42,000,000","-25,000,000","-18,000,000","-49,000,000",,,,,,,,,,,,,,
