name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012
OperatingCashFlow,"-361,116,000","-180,113,000","31,284,000","214,129,000","222,655,000","259,000,000","189,079,000","136,665,000","52,530,000","12,054,000","-17,845,000","-23,107,000","-22,338,000"
	CashFlowFromContinuingOperatingActivities,"-361,116,000","-180,113,000","31,284,000","214,129,000","222,655,000","259,000,000","189,079,000","136,665,000","52,530,000","12,054,000","-17,845,000","-23,107,000","-22,338,000"
		NetIncomeFromContinuingOperations,"-511,688,000","34,329,000","93,779,000","169,170,000","140,322,000","144,957,000","128,046,000","84,172,000","76,609,000","21,121,000","-21,378,000","-28,180,000","-27,783,000"
		OperatingGainsLosses,"-8,620,000","-26,878,000","9,527,000","21,131,000","3,860,000","8,174,000","551,000","-994,000","-169,000","5,454,000","-53,000","40,000",
			GainLossOnSaleOfBusiness,,,"-7,719,000","0","0","5,269,000","0","0",,,,,
			GainLossOnSaleOfPPE,,,,,,,"445,000","0","0","104,000","0","0",
			NetForeignCurrencyExchangeGainLoss,"6,835,000","-26,878,000","9,527,000","21,131,000","3,860,000","8,174,000",,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"106,000","-994,000","-169,000","5,350,000","-53,000","40,000",
		DepreciationAmortizationDepletion,"60,901,000","57,196,000","49,676,000","39,535,000","31,834,000","26,895,000","12,619,000","7,155,000","3,847,000","2,253,000","1,978,000","1,842,000","1,283,000"
			DepreciationAndAmortization,"60,901,000","57,196,000","49,676,000","39,535,000","31,834,000","26,895,000","12,619,000","7,155,000","3,847,000","2,253,000","1,978,000","1,842,000","1,283,000"
				Depreciation,,"49,544,000","40,580,000","29,359,000","22,355,000","17,261,000","11,426,000","7,011,000","3,763,000","2,253,000","1,978,000","1,842,000","1,283,000"
				AmortizationCashFlow,,"7,652,000","9,096,000","10,176,000","9,479,000","9,634,000","1,193,000","144,000","84,000",,,,
					AmortizationOfIntangibles,,"7,652,000","9,096,000","10,176,000","9,479,000","9,634,000","1,193,000","144,000","84,000",,,,
		DeferredTax,"-86,278,000","-43,071,000","-11,055,000","-12,045,000","-2,738,000","-6,037,000","-7,093,000","-5,455,000",,,,,
			DeferredIncomeTax,"-86,278,000","-43,071,000","-11,055,000","-12,045,000","-2,738,000","-6,037,000","-7,093,000","-5,455,000",,,,,
		AmortizationOfSecurities,,,"9,310,000","9,462,000","1,168,000","92,000","1,242,000","2,061,000","532,000","0","0",,
		AssetImpairmentCharge,,"30,790,000","119,141,000","0","0",,,,,,,,
		StockBasedCompensation,"147,922,000","149,945,000","145,539,000","102,593,000","67,309,000","60,353,000","30,618,000","17,564,000","9,089,000","2,956,000","1,082,000","1,078,000","842,000"
		OtherNonCashItems,"6,721,000","8,164,000","4,382,000","11,931,000","3,185,000","713,000","551,000","-994,000",,"-992,000","475,000","774,000","15,000"
		ChangeInWorkingCapital,"-864,000","-390,588,000","-379,705,000","-118,186,000","-22,285,000","24,566,000","23,096,000","32,162,000","-37,378,000","-18,738,000","51,000","1,339,000","3,305,000"
			ChangeInReceivables,"849,089,000","296,429,000","-457,610,000","-247,723,000","86,538,000","-124,071,000","-60,514,000","-38,139,000","-37,271,000","-16,333,000","-9,911,000","-1,040,000","-3,930,000"
				ChangesInAccountReceivables,"849,089,000","296,429,000","-457,610,000","-247,723,000","86,538,000","-124,071,000","-60,514,000","-38,139,000","-37,271,000","-16,333,000","-9,911,000","-1,040,000","-3,930,000"
			ChangeInInventory,"-503,425,000","-690,854,000","-341,085,000","-43,051,000","-149,661,000","-22,544,000","-20,178,000","-15,690,000","-7,356,000","-48,507,000","-10,681,000","-1,161,000","-9,433,000"
			ChangeInPrepaidAssets,"-55,752,000","-91,523,000","-64,991,000","-39,444,000","-3,276,000","-67,323,000","-2,711,000","-20,943,000","10,814,000","-19,563,000","-7,409,000","3,776,000","-6,134,000"
			ChangeInPayablesAndAccruedExpense,"-300,670,000","-77,362,000","319,436,000","121,572,000","21,648,000","66,429,000","36,065,000","44,849,000","-28,922,000","45,309,000","20,749,000","-6,036,000","16,974,000"
				ChangeInPayable,"-291,103,000","-67,795,000","194,524,000","91,709,000","3,333,000","47,837,000","31,482,000","35,455,000","-32,200,000","41,111,000","19,441,000","-7,928,000","15,419,000"
					ChangeInAccountPayable,"-291,103,000","-67,795,000","194,524,000","91,709,000","3,333,000","47,837,000","31,482,000","35,455,000","-32,200,000","41,111,000","19,441,000","-7,928,000","15,419,000"
				ChangeInAccruedExpense,,"-9,567,000","124,912,000","29,863,000","18,315,000","18,592,000","4,583,000","9,394,000","3,278,000","4,198,000","1,308,000","1,892,000","1,555,000"
			ChangeInOtherCurrentLiabilities,"-11,876,000","133,090,000","120,169,000","60,524,000","43,904,000","88,938,000","33,393,000","47,979,000","23,159,000","13,698,000","7,803,000","3,866,000","3,649,000"
			ChangeInOtherWorkingCapital,"18,382,000","39,632,000","44,376,000","29,936,000","-21,438,000","83,137,000","37,041,000","14,106,000","2,198,000","6,658,000","-500,000","1,934,000","2,179,000"
InvestingCashFlow,"118,784,000","-268,894,000","-417,044,000","-484,211,000","-236,637,000","-152,853,000","-156,609,000","-85,407,000","-128,651,000","-13,937,000","-3,147,000","-2,778,000","-2,178,000"
	CashFlowFromContinuingInvestingActivities,"118,784,000","-268,894,000","-417,044,000","-484,211,000","-236,637,000","-152,853,000","-156,609,000","-85,407,000","-128,651,000","-13,937,000","-3,147,000","-2,778,000","-2,178,000"
		NetPPEPurchaseAndSale,"-134,983,000","-170,523,000","-169,341,000","-149,251,000","-126,790,000","-72,562,000","-38,608,000","-21,382,000","-15,690,000","-11,765,000","-2,990,000","-1,539,000","-4,013,000"
			PurchaseOfPPE,"-134,983,000","-170,523,000","-169,341,000","-149,251,000","-126,790,000","-72,562,000","-38,608,000","-21,382,000","-15,690,000","-11,765,000","-2,990,000","-1,539,000","-4,013,000"
		NetIntangiblesPurchaseAndSale,"-10,600,000","-10,600,000","0","0",,,"0","0","-800,000","0","0",,
			PurchaseOfIntangibles,"-10,600,000","-10,600,000","0","0",,,"0","0","-800,000","0","0",,
		NetBusinessPurchaseAndSale,"-37,249,000","-23,340,000","24,362,000","-16,643,000","0","-38,435,000","-94,737,000","0","0",,,,
			PurchaseOfBusiness,"-38,562,000","-24,653,000","0","-16,643,000","0","-38,435,000","-94,737,000","0","0",,,,
			SaleOfBusiness,,"1,313,000","24,362,000","0","0",,,,,,,,
		NetInvestmentPurchaseAndSale,"398,429,000","-16,207,000","-275,961,000","-317,093,000","-136,618,000","-12,450,000","-23,152,000","-63,406,000","-112,161,000","0","0",,
			PurchaseOfInvestment,"-327,592,000","-296,396,000","-507,171,000","-579,377,000","-278,457,000","-160,054,000","-152,497,000","-143,675,000","-118,511,000","0","0",,
			SaleOfInvestment,"726,021,000","280,189,000","231,210,000","262,284,000","141,839,000","147,604,000","129,345,000","80,269,000","6,350,000","0","0",,
		NetOtherInvestingChanges,"-96,813,000","-48,224,000","3,896,000","-1,224,000","26,771,000","-29,406,000","-112,000","-619,000","2,814,000","-2,172,000","-157,000","-1,239,000","1,835,000"
FinancingCashFlow,"-52,499,000","-11,956,000","654,607,000","-15,178,000","640,484,000","-73,021,000","-7,955,000","7,240,000","2,779,000","136,953,000","17,676,000","19,676,000","40,417,000"
	CashFlowFromContinuingFinancingActivities,"-52,499,000","-11,956,000","654,607,000","-15,178,000","640,484,000","-73,021,000","-7,955,000","7,240,000","2,779,000","136,953,000","17,676,000","19,676,000","40,417,000"
		NetIssuancePaymentsOfDebt,"22,802,000","-2,923,000","-2,972,000","-17,381,000","619,218,000","-9,265,000","-3,786,000","0","0","-19,245,000","6,965,000","9,326,000","3,500,000"
			NetLongTermDebtIssuance,"22,802,000","-2,923,000","-2,972,000","-17,381,000","619,218,000","-9,265,000","-3,786,000","0","0","-5,919,000","-2,401,000","8,931,000","0"
				LongTermDebtIssuance,,,"0","0","634,813,000","249,000","0",,,"0","0","9,900,000","0"
				LongTermDebtPayments,"-270,823,000","-2,923,000","-2,972,000","-17,381,000","-15,595,000","-9,514,000","-3,786,000","0","0","-5,919,000","-2,401,000","-969,000","0"
			NetShortTermDebtIssuance,,,,,,,,"0","0","-13,326,000","9,366,000","395,000","3,500,000"
				ShortTermDebtIssuance,,,,,,,,"0","0","23,000,000","21,813,000","17,880,000","5,700,000"
				ShortTermDebtPayments,,,,,,,,"0","0","-36,326,000","-12,447,000","-17,485,000","-2,200,000"
		NetCommonStockIssuance,"-50,015,000","0","650,526,000","0","0",,,"0","0","131,402,000","0","0",
			CommonStockIssuance,,"0","650,526,000","0","0",,,"0","0","131,402,000","0","0",
		NetPreferredStockIssuance,,,,,,,,"0","0","24,712,000","10,660,000","10,309,000","36,876,000"
			PreferredStockIssuance,,,,,,,,"0","0","24,712,000","10,660,000","10,309,000","36,876,000"
		ProceedsFromStockOptionExercised,,,"4,030,000","2,203,000","16,671,000","9,066,000","10,021,000","7,240,000","2,973,000","84,000","51,000","110,000","41,000"
		NetOtherFinancingCharges,"-25,286,000","-9,033,000","7,053,000","2,203,000","4,595,000","-72,822,000","-14,190,000",,"-194,000",,,"-69,000",
EndCashPosition,"262,913,000","338,468,000","783,112,000","530,089,000","827,146,000","223,901,000","187,764,000","163,163,000","74,960,000","144,750,000","9,754,000","13,142,000","19,437,000"
	ChangesInCash,"-294,831,000","-460,963,000","268,847,000","-285,260,000","626,502,000","33,126,000","24,515,000","58,498,000","-73,342,000","135,070,000","-3,316,000","-6,209,000","15,901,000"
