name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012
TotalRevenue,"1,511,153,000","2,976,528,000","3,110,279,000","1,963,865,000","1,459,271,000","1,425,660,000","937,237,000","607,045,000","489,843,000","325,078,000","133,217,000","79,035,000","75,351,000"
	OperatingRevenue,"1,555,791,000","2,976,528,000","3,110,279,000","1,963,865,000","1,459,271,000","1,425,660,000","937,237,000","607,045,000","489,843,000","325,078,000","133,217,000","79,035,000","75,351,000"
CostOfRevenue,"1,461,917,000","2,272,705,000","2,265,631,000","1,334,547,000","997,912,000","946,322,000","618,001,000","392,279,000","337,887,000","243,295,000","111,246,000","74,626,000","76,028,000"
GrossProfit,"49,236,000","703,823,000","844,648,000","629,318,000","461,359,000","479,338,000","319,236,000","214,766,000","151,956,000","81,783,000","21,971,000","4,409,000","-677,000"
OperatingExpense,"600,867,000","632,304,000","561,990,000","420,829,000","318,798,000","267,001,000","179,816,000","123,680,000","80,197,000","53,526,000","40,342,000","31,869,000","26,783,000"
	SellingGeneralAndAdministration,"301,630,000","310,822,000","272,176,000","201,196,000","159,104,000","145,650,000","97,571,000","68,714,000","46,966,000","31,508,000","22,086,000","16,046,000","13,000,000"
		GeneralAndAdministrativeExpense,"143,611,000","146,504,000","112,496,000","82,196,000","63,119,000","57,666,000","29,264,000","18,682,000","12,133,000","6,535,000","4,294,000","3,262,000","3,074,000"
			SalariesAndWages,,,,"0","0","8,305,000",,,,,,,
			OtherGandA,"143,611,000","146,504,000","112,496,000","82,196,000","63,119,000","49,361,000","29,264,000","18,682,000","12,133,000","6,535,000","4,294,000","3,262,000","3,074,000"
		SellingAndMarketingExpense,"158,019,000","164,318,000","159,680,000","119,000,000","95,985,000","87,984,000","68,307,000","50,032,000","34,833,000","24,973,000","17,792,000","12,784,000","9,926,000"
	ResearchAndDevelopment,"299,710,000","321,482,000","289,814,000","219,633,000","163,123,000","121,351,000","82,245,000","54,966,000","33,231,000","22,018,000","18,256,000","15,823,000","13,783,000"
	OtherOperatingExpenses,,,"116,538,000","1,350,000","-3,429,000","30,696,000",,,,,,,
OperatingIncome,"-551,631,000","71,519,000","282,658,000","208,489,000","142,561,000","212,337,000","139,420,000","91,086,000","71,759,000","28,257,000","-18,371,000","-27,460,000","-27,460,000"
NetNonOperatingInterestIncomeExpense,"-20,293,000","14,694,000","581,000","-6,938,000","-7,947,000","-1,001,000","2,428,000","2,687,000","1,112,000","-1,268,000","-2,043,000","-1,091,000","-58,000"
	InterestIncomeNonOperating,,"33,162,000","13,483,000","3,761,000","3,817,000","4,712,000","5,629,000","4,398,000","1,112,000","0","0",,
	InterestExpenseNonOperating,,"4,199,000","4,446,000","3,508,000","3,185,000","4,805,000","2,536,000","0","0","895,000","2,012,000","1,070,000","58,000"
	TotalOtherFinanceCost,"49,256,000","14,269,000","8,456,000","7,191,000","8,579,000","908,000","665,000","1,711,000",,"373,000","31,000","21,000",
OtherIncomeExpense,"8,313,000","-5,114,000","-106,084,000","-14,327,000","29,052,000","-32,733,000","-4,725,000","6,471,000","-641,000","-3,913,000","-744,000","479,000","-229,000"
