name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
TotalAssets,"8,223,383,000","7,722,322,000","6,649,698,000","5,921,739,000","1,012,720,000","764,288,000"
	CurrentAssets,"5,039,264,000","4,984,690,000","4,598,643,000","4,300,652,000","665,194,000","698,952,000"
		CashCashEquivalentsAndShortTermInvestments,"3,846,248,000","4,007,868,000","3,852,093,000","3,908,064,000","434,050,000","608,798,000"
			CashAndCashEquivalents,"1,762,749,000","939,902,000","1,085,729,000","820,177,000","127,206,000","116,541,000"
			OtherShortTermInvestments,"2,083,499,000","3,067,966,000","2,766,364,000","3,087,887,000","306,844,000","492,257,000"
		Receivables,"926,902,000","715,821,000","545,629,000","294,017,000","179,459,000","63,359,000"
			AccountsReceivable,"926,902,000","715,821,000","545,629,000","294,017,000","179,459,000","63,359,000"
				GrossAccountsReceivable,"929,402,000","718,021,000","546,929,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-2,500,000","-2,200,000","-1,300,000",,,
		PrepaidAssets,,,"149,523,000","66,200,000","25,327,000","15,188,000"
		CurrentDeferredAssets,"86,096,000","67,901,000","51,398,000","32,371,000","26,358,000","11,607,000"
		OtherCurrentAssets,"180,018,000","193,100,000","149,523,000","66,200,000","25,327,000","15,188,000"
	TotalNonCurrentAssets,"3,184,119,000","2,737,632,000","2,051,055,000","1,621,087,000","347,526,000","65,336,000"
		NetPPE,"499,592,000","392,089,000","295,435,000","255,786,000","223,112,000","22,756,000"
			GrossPPE,"574,233,000","438,935,000","318,882,000","267,740,000","228,044,000","26,558,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"140,674,000","78,909,000","34,377,000","23,299,000","7,835,000","6,755,000"
				OtherProperties,"252,128,000","231,266,000","190,356,000","186,818,000","195,976,000","15,541,000"
				ConstructionInProgress,"113,627,000","68,888,000","42,348,000","16,030,000","6,014,000","2,100,000"
				Leases,"67,804,000","59,872,000","51,801,000","41,593,000","18,219,000","2,162,000"
			AccumulatedDepreciation,"-74,641,000","-46,846,000","-23,447,000","-11,954,000","-4,932,000","-3,802,000"
		GoodwillAndOtherIntangibleAssets,"1,307,317,000","843,383,000","45,590,000","24,540,000","11,844,000","20,000"
			Goodwill,"975,906,000","657,370,000","8,449,000","8,449,000","7,049,000","0"
			OtherIntangibleAssets,"331,411,000","186,013,000","37,141,000","16,091,000","4,795,000","20,000"
		InvestmentsAndAdvances,"916,307,000","1,073,023,000","1,256,207,000","1,165,275,000","23,532,000","0"
			InvestmentinFinancialAssets,"916,307,000","1,073,023,000","1,256,207,000","1,165,275,000","23,532,000","0"
				AvailableForSaleSecurities,"916,307,000","1,073,023,000","1,256,207,000","1,165,275,000","23,532,000",
		NonCurrentDeferredAssets,"187,093,000","145,286,000","124,517,000","86,164,000","69,516,000","32,658,000"
		OtherNonCurrentAssets,"273,810,000","283,851,000","329,306,000","89,322,000","19,522,000","9,902,000"
TotalLiabilitiesNetMinorityInterest,"3,032,789,000","2,253,707,000","1,600,653,000","985,268,000","1,557,477,000","1,076,755,000"
	CurrentLiabilities,"2,731,230,000","1,993,517,000","1,397,093,000","789,264,000","416,455,000","144,905,000"
