name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"2,245,747,028,000","2,161,735,800,000","2,263,891,300,000","1,587,415,000,000","1,339,254,800,000","1,069,985,400,000","1,031,361,800,000","977,442,600,000","947,909,200,000","843,512,500,000","762,835,000,000","597,003,300,000","506,720,300,000","427,006,600,000","419,537,900,000","295,742,200,000","333,157,700,000","322,663,281,770","317,345,022,830","267,362,810,860","257,622,812,160","202,648,572,480","162,573,919,140","130,207,396,372.24","166,197,601,933.44","76,314,913,474.67","50,339,078,125","44,053,071,457.92"
	OperatingRevenue,"2,235,249,866,000","2,161,735,800,000","2,263,891,300,000","1,587,415,000,000","1,339,254,800,000","1,069,985,400,000","1,031,361,800,000","977,442,600,000","947,909,200,000","843,012,700,000","762,205,400,000","596,496,100,000","506,223,600,000","427,006,600,000","419,537,900,000","295,742,200,000","333,157,700,000","322,663,281,770","317,345,022,830","267,362,810,860","257,622,812,160","202,648,572,480","162,573,919,140","130,207,396,372.24","166,197,601,933.44","76,314,913,474.67","50,339,078,125","44,053,071,457.92"
CostOfRevenue,"1,042,631,551,000","986,625,200,000","915,536,500,000","767,877,700,000","628,124,700,000","577,283,500,000","533,487,500,000","482,616,200,000","473,077,100,000","433,117,600,000","385,113,000,000","315,642,500,000","262,592,500,000","232,937,400,000","212,484,300,000","166,413,600,000","191,408,100,000","180,287,987,070","161,588,866,230","148,806,170,595","141,616,476,960","127,911,724,620","110,191,308,480","99,823,091,297.6","89,681,747,433.62","46,243,338,746.27","31,028,202,331","22,907,206,460.32"
GrossProfit,"1,203,115,477,000","1,175,110,600,000","1,348,354,800,000","819,537,300,000","711,130,100,000","492,701,900,000","497,874,300,000","494,826,400,000","474,832,100,000","410,394,900,000","377,722,000,000","281,360,800,000","244,127,800,000","194,069,200,000","207,053,600,000","129,328,600,000","141,749,600,000","142,375,294,700","155,756,156,600","118,556,640,265","116,006,335,200","74,736,847,860","52,382,610,660","30,384,305,074.64","76,515,854,499.82","30,071,574,728.4","19,310,875,794","21,145,864,997.6"
OperatingExpense,"263,879,637,000","253,654,500,000","227,076,800,000","169,557,700,000","144,345,500,000","120,007,700,000","114,248,800,000","108,169,300,000","96,920,800,000","88,665,000,000","80,890,800,000","71,340,700,000","62,522,100,000","52,511,800,000","47,878,300,000","37,366,700,000","37,314,200,000","30,615,553,120","28,544,433,720","27,315,793,710","27,385,102,080","23,565,366,840","20,765,218,170","22,421,891,340.64","15,221,124,549.24","7,798,682,104.54","5,528,438,916","6,174,495,231.52"
	SellingGeneralAndAdministration,"74,559,537,000","71,463,500,000","63,445,300,000","44,488,200,000","35,570,400,000","28,085,800,000","26,253,700,000","27,169,200,000","25,696,400,000","22,921,900,000","24,020,800,000","23,387,000,000","22,129,200,000","18,681,900,000","18,171,600,000","15,773,300,000","15,833,300,000","12,680,806,430","12,480,043,510","13,257,357,555","14,833,596,960","10,865,875,200","9,008,695,990","10,865,316,249.92","10,089,668,026.64","4,707,532,650.49","2,287,407,710","3,661,975,184"
		GeneralAndAdministrativeExpense,"63,533,938,000","60,872,800,000","53,524,800,000","36,929,600,000","28,457,600,000","21,737,200,000","20,265,900,000","21,196,700,000","19,795,600,000","17,257,200,000","18,933,400,000","18,881,800,000","17,633,000,000","14,164,100,000","12,804,000,000","11,285,500,000","11,096,600,000",,,,,,,,,,,
			OtherGandA,"63,533,938,000","60,872,800,000","53,524,800,000","36,929,600,000","28,457,600,000","21,737,200,000","20,265,900,000","21,196,700,000","19,795,600,000","17,257,200,000","18,933,400,000","18,881,800,000","17,633,000,000","14,164,100,000","12,804,000,000","11,285,500,000","11,096,600,000",,,,,,,,,,,
		SellingAndMarketingExpense,"11,025,599,000","10,590,700,000","9,920,500,000","7,558,600,000","7,112,800,000","6,348,600,000","5,987,800,000","5,972,500,000","5,900,800,000","5,664,700,000","5,087,400,000","4,505,200,000","4,496,200,000","4,517,800,000","5,367,600,000","4,487,800,000","4,736,700,000",,,,,,,,,,,
	ResearchAndDevelopment,"189,322,100,000","182,370,200,000","163,262,200,000","124,734,800,000","109,486,000,000","91,418,700,000","85,895,600,000","80,732,500,000","71,207,700,000","65,544,600,000","56,828,800,000","47,952,000,000","40,387,100,000","33,829,900,000","29,706,700,000","21,593,400,000","21,480,900,000","17,934,746,690","16,064,390,210","14,058,436,155","12,551,505,120","12,699,491,640","11,756,522,180","11,280,351,274.72","5,131,489,635.18","3,091,180,806.04","3,241,031,206","2,512,520,047.52"
