name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"557,000,000","686,000,000","159,000,000","629,000,000","548,000,000","1,333,000,000","1,140,000,000","-267,000,000","798,000,000","1,611,000,000","2,063,000,000","2,375,000,000","2,580,000,000","1,961,000,000","2,726,000,000","2,208,000,000","939,000,000","1,871,000,000","1,617,000,000","1,420,000,000","1,750,000,000","1,879,000,000","1,876,000,000","1,566,000,000","207,000,000","1,294,000,000","-987,000,000","1,056,000,000","186,000,000","1,096,000,000","424,000,000","359,000,000","-506,000,000","19,000,000","900,000,000","-64,000,000"
	CashFlowFromContinuingOperatingActivities,"557,000,000","686,000,000","159,000,000","629,000,000","548,000,000","1,244,000,000","1,082,000,000","-249,000,000","716,000,000","1,078,000,000","1,333,000,000","2,375,000,000","2,580,000,000","1,961,000,000","2,726,000,000","2,208,000,000","939,000,000","1,871,000,000","1,617,000,000","1,420,000,000","1,750,000,000","1,879,000,000","1,876,000,000","1,566,000,000","207,000,000","1,294,000,000","-1,165,000,000","472,000,000","310,000,000","599,000,000","424,000,000","359,000,000","-506,000,000","19,000,000","900,000,000","-64,000,000"
		NetIncomeFromContinuingOperations,"-103,000,000","1,000,000","-322,000,000","-455,000,000","192,000,000","651,000,000","310,000,000","70,000,000","633,000,000","840,000,000","1,052,000,000","1,179,000,000","1,223,000,000","1,328,000,000","637,000,000","516,000,000","265,000,000","1,135,000,000","1,210,000,000","978,000,000","859,000,000","360,000,000","91,000,000","-94,000,000","-273,000,000","1,339,000,000","395,000,000","1,452,000,000","1,206,000,000","-472,000,000","794,000,000","-126,000,000","-256,000,000","454,000,000","243,000,000","704,000,000"
		OperatingGainsLosses,"71,000,000","-20,000,000","-68,000,000","-129,000,000","28,000,000","88,000,000","140,000,000","179,000,000","30,000,000","349,000,000","445,000,000","403,000,000","382,000,000","285,000,000","181,000,000","-163,000,000","-373,000,000","-308,000,000","-379,000,000","-333,000,000","-510,000,000","-265,000,000","784,000,000","131,000,000","650,000,000","-147,000,000","-788,000,000","-1,678,000,000","374,000,000","376,000,000","306,000,000","1,612,000,000","-286,000,000","259,000,000","49,000,000","-533,000,000"
			GainLossOnSaleOfBusiness,"13,000,000","-39,000,000","-56,000,000","-40,000,000","-30,000,000","-21,000,000","-35,000,000","-15,000,000","-22,000,000","-44,000,000","-51,000,000","-45,000,000","2,000,000","-9,000,000","-18,000,000","-16,000,000","-21,000,000",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,"-7,000,000","-18,000,000","-75,000,000","-53,000,000","-91,000,000","-92,000,000","-90,000,000","-86,000,000","-37,000,000","-25,000,000","-53,000,000",,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"58,000,000","19,000,000","-12,000,000","-89,000,000","58,000,000","109,000,000","175,000,000","194,000,000","127,000,000","141,000,000","74,000,000",,,"-426,000,000","-237,000,000","-122,000,000","-299,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"243,000,000","251,000,000","270,000,000","327,000,000","368,000,000","430,000,000","526,000,000","527,000,000","563,000,000","590,000,000","639,000,000","1,358,000,000","1,301,000,000","1,251,000,000","1,097,000,000","698,000,000","669,000,000","656,000,000","636,000,000","637,000,000","686,000,000","748,000,000","1,035,000,000","1,332,000,000","1,244,000,000","779,000,000","821,000,000","739,000,000","715,000,000","719,000,000","681,000,000","655,000,000","739,000,000","695,000,000","691,000,000","765,000,000"
			DepreciationAndAmortization,"243,000,000","251,000,000","270,000,000","327,000,000","368,000,000","430,000,000","526,000,000","527,000,000","563,000,000","590,000,000","639,000,000","1,358,000,000","1,301,000,000","1,251,000,000","1,097,000,000","698,000,000","669,000,000","656,000,000","636,000,000","637,000,000","686,000,000","748,000,000","1,035,000,000","1,332,000,000","1,244,000,000","779,000,000","821,000,000","739,000,000","715,000,000","719,000,000","681,000,000","655,000,000","739,000,000","695,000,000","691,000,000","765,000,000"
				Depreciation,,"208,000,000","228,000,000","272,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,"43,000,000","42,000,000","55,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,"43,000,000","42,000,000","55,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,"-68,000,000","-27,000,000","-89,000,000","34,000,000","124,000,000","135,000,000","399,000,000","-9,000,000","383,000,000","152,000,000","117,000,000","105,000,000","203,000,000","-2,000,000","120,000,000","-324,000,000","224,000,000","99,000,000","-15,000,000","155,000,000","-70,000,000","-178,000,000","-10,000,000","-130,000,000","234,000,000","-192,000,000","361,000,000","293,000,000","263,000,000","258,000,000","-359,000,000","41,000,000",,,
