Ticker,Sentiment Score Avg Past,Sentiment Score Avg Present,Change in Sentiment (%),Investor Sentiment Past,Investor Sentiment Present,Ratings Found Past,Ratings Found Present
CZR,0.14149037096774195,0.15037433548387094,6.278847382035598,Neutral,Somewhat Bullish,62,155
SONY,0.0,0.0,0.0,Neutral,Neutral,0,0
TSLA,0.16110022255192882,0.11739490490341743,-27.129271881130247,Somewhat Bullish,Neutral,674,673
LAZ,0.12886522222222224,0.09875966666666665,-23.362048194833704,Neutral,Neutral,18,24
MS,0.07444963584637262,0.05068941040462424,-31.914494748681964,Neutral,Neutral,703,692
UBS,0.20935489999999998,0.167785375,-19.856007574429796,Somewhat Bullish,Somewhat Bullish,40,48
ILMN,0.15364566000000002,0.13489442477876104,-12.204207459681516,Somewhat Bullish,Neutral,100,113
IQV,0.25767757142857145,0.19222836666666668,-25.399651256046884,Somewhat Bullish,Somewhat Bullish,28,30
ASML,0.10096773287671235,0.17727675999999995,75.57763672943824,Neutral,Somewhat Bullish,146,175
MSFT,0.12991374355300847,0.13218981831395324,1.751989190039908,Neutral,Neutral,698,688
NOW,0.1923455025380711,0.17969695624999998,-6.5759511168232585,Somewhat Bullish,Somewhat Bullish,197,320
NVDA,0.17924893598862035,0.1601358504398828,-10.662872466546876,Somewhat Bullish,Somewhat Bullish,703,682
